Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49	Gene_50
Cell_11	7.7925	7.5915	8.2056	7.5653	7.5595	10.627	10.84	7.8565	7.8864	8.085	8.3635	7.1452	6.9006	7.0752	7.1147	7.026	6.9355	7.3103	7.5994	7.6058	6.6871	6.6213	10.018	10.226	9.3159	8.7293	8.2599	7.8106	7.6306	7.3978	7.5288	8.3881	8.448	8.235	8.4932	8.1826	8.8043	6.9241	6.7651	7.2943	7.4578	7.476	7.3954	7.5051	8.9724	8.8236	7.7671	7.8022	8.5141	8.409
Cell_12	7.4508	7.5197	6.3409	6.5099	6.6561	6.823	6.751	6.6447	6.6647	6.3565	6.3099	9.8978	6.4076	6.7258	6.169	6.1354	5.9504	6.8404	6.926	7.442	6.9328	7.0195	6.6934	6.5816	6.3297	6.572	6.6379	7.6543	9.1911	6.503	6.5945	6.8339	6.8415	6.8489	6.2973	6.4906	6.5916	5.9787	6.1984	11.363	11.44	9.4617	9.4214	9.3219	6.2067	6.2993	6.788	6.5364	8.8514	8.4874
Cell_13	7.6958	7.6964	7.2778	7.2073	7.123	7.1757	7.2971	14.053	14.111	7.6532	7.4838	6.8269	9.6371	9.7099	9.3236	7.1915	7.4559	8.0847	7.8355	8.2339	7.9884	8.0077	7.223	7.2521	8.2555	7.7068	7.5779	7.2694	7.0051	7.6574	7.6043	7.847	7.7677	7.5032	7.5567	7.6894	7.6651	9.2123	9.4471	7.4372	7.5609	7.6851	7.5579	7.5984	7.5995	7.7835	7.5438	7.4457	7.1971	7.4339
Cell_14	8.6712	8.6176	8.0291	7.9725	8.0144	8.7081	8.8096	8.6349	8.6174	8.5005	8.3955	8.3158	7.4092	7.6779	7.6961	8.2267	7.9827	7.7569	7.6593	7.5823	8.0773	8.2013	8.7829	8.6075	9.335	8.3701	8.1971	8.7201	8.5761	8.4211	8.4258	8.3503	8.1203	8.4296	8.4268	8.4144	8.6492	8.1842	8.3879	8.2694	8.2119	7.7466	7.8048	7.907	8.3499	8.1866	8.171	8.7165	8.8691	8.7223
Cell_15	10.02	10.969	11.229	8.2924	8.8704	8.4863	11.228	11.367	9.9032	9.1088	11.246	8.6796	9.6184	11.362	8.4711	10.692	9.0145	8.3909	9.9713	8.5139	8.3331	10.259	8.877	8.7484	12.012	8.5285	10.238	10.599	10.168	11.363	10.763	10.595	8.521	8.4728	10.382	9.7857	11.009	10.859	11.673	10.666	8.59	10.649	10.822	8.0121	8.5277	11.49	10.329	8.2924	8.5206	8.3028
Cell_16	6.5252	6.5322	6.1271	6.2246	6.0375	6.8333	6.7236	6.2857	6.5662	7.9309	7.891	7.2805	6.1415	6.1526	5.7468	6.089	6.1062	5.9389	5.8842	6.0451	6.1951	6.1229	6.8816	6.9928	6.2351	8.359	8.2818	8.3969	7.5651	6.5091	6.8444	6.9274	6.911	6.858	7.8988	7.5469	7.8421	6.4755	6.7426	6.115	6.3079	6.1182	5.6239	5.9157	8.3962	8.918	8.2591	8.1975	7.9035	7.5106
Cell_17	10.876	10.691	9.8207	10.207	10.03	10.397	10.392	10.947	10.769	10.691	10.761	9.496	9.7344	9.7364	9.804	11.106	11.093	9.958	9.957	9.968	10.829	10.895	10.43	10.318	8.8396	10.802	10.663	9.5952	9.9861	10.166	10.201	8.42	8.1389	8.585	10.823	10.626	10.702	10.6	10.5	11.026	11.134	9.7712	9.7113	9.4953	10.937	10.854	8.9826	8.7194	10.96	10.809
Cell_18	7.658	7.8333	8.1185	7.9257	7.8301	8.0513	6.8504	8.1934	7.6848	7.8716	7.7207	8.6173	7.7842	7.934	7.6622	7.2918	7.4056	7.6725	7.7822	7.7094	7.3554	7.4332	7.998	7.9555	8.5726	8.0013	8.0086	8.9852	8.8585	7.6445	7.696	7.5863	8.3275	8.0303	8.4568	7.7963	6.858	7.4323	7.3236	7.9804	7.9842	7.7382	7.7777	7.1701	8.2758	8.1759	7.5515	7.4092	7.5529	7.7771
Cell_19	7.8911	7.9216	7.3589	7.2813	7.0581	7.4446	7.7916	7.8483	7.847	8.3372	8.339	9.3102	7.567	7.705	7.8171	8.2998	8.2812	7.2804	7.1493	7.0081	7.8733	7.7629	7.8148	7.9449	10.309	7.9489	7.9754	7.4069	9.3072	7.8061	7.6319	6.6782	6.6571	7.0244	8.2561	7.9602	7.449	8.0745	8.2478	7.6864	7.6291	8.0601	7.9898	7.1467	7.9965	8.1694	7.3734	8.3193	9.1346	9.0219
Cell_20	12.521	12.506	12.197	12.617	12.428	11.595	11.267	11.847	12.323	12.128	12.831	12.304	12.634	12.964	12.475	12.299	11.835	12.422	12.67	12.737	12.519	12.644	11.675	11.385	10.47	13.229	12.856	11.299	11.869	12.323	12.813	13.887	13.719	13.652	12.256	12.466	12.518	12.707	12.523	12.042	12.088	12.654	12.409	12.871	13.052	12.866	13.164	11.717	11.688	11.739
Cell_21	9.642	9.575	9.3142	9.3657	9.2376	8.619	8.1217	7.8647	7.722	8.5465	8.7303	7.4368	9.3214	9.2842	9.5451	9.5936	9.8458	9.9169	9.919	10.305	9.4215	9.547	8.337	8.4316	8.2766	8.4935	8.3648	8.0967	7.7604	8.8028	8.7492	8.0853	8.1477	8.2882	8.8877	8.6201	7.4722	8.987	8.9238	8.4933	8.6505	9.2755	9.121	9.5893	8.7538	8.8375	7.7455	8.2272	8.4619	8.4725
Cell_22	9.9453	9.8074	9.1585	9.345	9.2983	10.11	10.215	9.0661	9.0955	9.3976	9.628	8.8914	9.1611	9.0365	8.9679	9.6895	9.7781	9.2946	9.224	9.4743	10.092	10.237	9.6095	9.6232	9.7823	9.7155	9.6901	8.4917	9.1304	9.0384	8.9801	9.5996	9.39	9.3994	9.3705	9.2937	8.9555	9.2765	9.1199	9.1663	9.0771	9.5607	9.5474	9.7695	10.119	9.9326	9.9255	9.9473	9.4858	9.3778
Cell_23	11.723	11.623	12.296	12.031	12.018	11.088	11.333	8.2001	8.206	11.318	11.411	11.125	12.226	12.259	12.436	12.012	11.796	11.886	11.917	12.293	11.649	11.774	11.065	10.996	11.471	10.766	10.655	8.3346	10.904	11.597	11.639	8.6865	8.7259	8.8341	11.564	11.468	8.3412	11.853	11.676	9.737	9.9722	12.043	12.033	11.435	11.04	11.224	8.2297	11.028	10.654	10.502
Cell_24	9.9122	9.8436	9.1949	9.1492	9.1504	9.839	9.7355	11.991	12.011	9.8572	9.7381	9.8096	9.089	9.057	8.9477	9.5214	9.7075	8.6314	8.7637	8.631	9.4053	9.4208	9.7422	9.7349	10.696	9.939	9.8507	10.588	9.9292	9.5626	9.6903	10.246	10.143	9.6746	9.5461	9.7123	10.297	9.4017	9.3873	10.265	10.064	8.6036	8.6145	8.4026	9.8112	9.9479	9.9684	10.812	9.5258	9.5353
Cell_25	8.6045	8.5921	8.4821	8.1717	8.1351	8.3454	8.5541	8.7111	8.4987	8.7	8.5075	8.7191	8.1304	8.3346	8.0312	7.9496	8.2061	8.0037	8.0732	7.8137	8.1778	8.3129	8.7376	8.7588	8.4042	8.4349	8.3858	9.3336	8.8585	8.693	8.7303	8.0038	7.9615	7.8719	8.786	8.6602	7.8225	8.2616	8.5924	8.2951	8.306	7.5626	7.7247	7.2297	8.5389	8.4906	8.6502	8.6442	8.7663	8.7528
Cell_26	9.1613	9.1578	8.4024	8.4087	8.2527	9.3934	9.2938	8.2926	8.2371	9.9244	9.9383	8.5432	8.2285	8.2917	8.2789	9.1447	9.0765	8.5923	8.4262	8.5333	8.9389	9.0675	9.2568	9.362	8.5177	9.4542	9.5039	8.4899	8.8001	9.1058	9.0423	8.8811	8.4052	8.3289	9.5704	9.2619	9.6049	9.3678	9.3041	9.3004	9.1174	8.6988	8.4417	8.2433	9.8207	9.7551	9.1594	9.0938	10.171	9.936
Cell_27	8.9423	9.1819	10.299	9.9236	9.5105	9.6984	9.5343	10.645	10.73	10.245	10.56	10.922	9.6009	9.6077	9.6926	11.292	11.983	10.48	10.436	10.983	11.182	10.987	9.6918	9.8555	12	10.89	10.996	9.3842	10.409	9.0617	8.9922	11.801	11.747	11.838	10.288	9.9152	11.033	10.661	10.541	10.99	11.122	12.293	12.035	12.259	11.346	11.111	10.25	10.322	10.719	10.695
Cell_28	10.966	10.115	10.469	10.357	10.888	8.5513	10.954	11.273	10.795	8.7233	10.493	11.183	10.741	10.984	10.076	11.033	10.839	8.7532	8.5545	10.4	10.838	11.356	9.6874	10.624	10.689	9.4278	10.625	10.848	10.277	8.7337	10.928	11.667	10.122	10.841	10.962	10.59	11.457	10.926	11.834	9.7889	11.281	11.031	11.074	11.576	10.038	10.739	11.327	10.612	8.7812	10.258
Cell_29	10.443	10.438	9.4562	9.1744	9.3021	8.9019	8.9528	9.0983	9.033	9.5949	9.4755	8.0853	9.1509	9.1144	9.341	9.9104	10.158	10.071	9.8861	9.5964	9.7967	9.7021	9.2575	8.9403	8.6717	9.3792	9.0609	7.6062	8.649	9.9118	9.8586	7.3455	7.3831	6.7867	9.6	9.1928	9.236	9.4588	9.523	9.7057	10.027	8.6853	8.5351	8.1989	9.5915	9.3521	8.5329	9.7586	9.9369	9.5527
Cell_30	8.2864	8.059	10.139	8.5383	10.509	10.505	8.6089	9.5259	8.7075	7.9702	10.362	10.499	8.1551	10.13	7.8146	7.7389	8.1392	7.7359	9.7299	8.1551	9.0268	7.9654	9.5259	7.9158	9.3973	8.2204	8.4835	7.8867	8.8218	7.9404	8.3621	9.0281	7.6641	7.7246	9.3973	8.4223	9.3658	8.9422	7.9842	8.3133	9.3994	9.0075	8.1311	8.2775	8.3384	8.1473	8.7958	10.548	8.4534	7.9872
Cell_31	6.9731	7.0445	7.2638	7.2075	7.0562	7.3643	7.3857	7.2405	6.6331	7.444	7.3662	5.7315	6.7782	7.119	7.1866	7.9705	8.0992	7.5702	7.5013	7.1621	7.3193	7.2794	7.2191	7.2417	7.9334	7.3173	7.0998	7.0843	6.396	6.6328	6.488	6.4206	6.5134	6.6306	7.5	7.2754	7.4609	7.7301	7.5627	6.5672	6.5021	6.1232	6.2713	6.5255	7.308	7.2908	6.8165	7.0773	7.3262	7.2234
Cell_32	8.5432	8.494	8.5276	8.5165	8.5263	8.0616	8.1826	8.3141	8.2155	8.4895	8.3863	8.8656	8.3602	8.4083	8.2088	8.1696	8.5788	8.5006	8.4451	8.3877	8.2689	8.3999	7.916	8.0654	8.0988	8.4793	8.5361	8.6845	8.4878	8.1418	8.2159	8.8394	8.9544	8.641	8.4068	8.5149	8.2287	8.3594	8.172	9.293	9.234	9.0068	8.9294	8.6633	8.6867	8.5569	8.626	8.2333	8.5568	8.5399
Cell_33	6.7587	7.0591	6.981	7.0666	7.1434	7.4203	7.0869	7.466	7.2726	7.5882	7.7178	6.8993	7.1414	7.2622	7.03	6.7733	6.9841	6.7555	6.863	6.6446	7.0898	7.0084	7.5617	7.4745	7.2714	7.5371	7.6972	7.1575	7.4632	7.3165	7.3552	7.3164	7.2709	7.2008	7.7975	7.619	6.9493	7.2404	7.2621	7.1571	7.2395	7.0488	7.0222	6.9692	7.6364	7.7522	7.4305	6.9236	7.4294	7.2359
Cell_34	9.3698	9.2077	8.6327	8.8997	8.6156	9.3138	9.2017	9.2566	8.5879	8.719	9.6963	9.0751	9.0874	9.2449	8.9521	9.49	9.2042	8.7676	9.3933	9.8346	9.101	9.343	8.6156	9.382	8.128	9.4911	9.4797	9.4441	8.6576	8.5411	8.487	8.4827	9.0229	9.573	9.1683	8.4052	9.0768	9.5011	8.7951	9.0502	9.3424	8.6156	8.989	8.8853	9.5951	9.0966	9.1649	8.8999	9.1131	8.8487
Cell_35	8.9006	8.8398	8.418	7.9806	7.9201	8.4049	8.6907	9.0746	8.8958	8.9033	8.7095	8.6902	7.995	8.1299	8.156	8.3706	8.5283	8.3554	8.249	8.2373	8.2523	8.3343	8.7314	8.8005	8.9789	8.7224	8.9463	8.4561	8.823	8.5184	8.6569	8.3204	8.4403	8.4574	8.6925	8.816	8.7316	8.2942	8.2611	8.7014	8.6218	7.9901	7.9463	8.0588	8.7149	8.7838	8.9188	9.2128	8.7489	8.9302
Cell_36	7.4371	7.2781	8.3548	8.2523	8.2225	8.3802	8.1938	8.4653	8.2762	8.5915	8.7237	7.1305	8.1087	8.2045	8.22	8.18	8.0425	7.6274	7.5992	7.0311	7.7186	7.5183	8.2172	8.0547	7.2712	9.616	9.3121	8.4449	8.7843	7.8983	8.0617	9.1979	9.1088	9.4192	9.0766	8.8548	9.0958	7.8866	7.8903	7.3493	7.0982	6.8288	6.6736	7.1215	9.7039	9.7895	9.9368	9.1941	7.2021	7.3478
Cell_37	8.1442	8.0094	7.5695	7.4824	7.4519	8.0628	8.1516	8.4051	8.4584	8.0646	8.044	7.8243	7.2884	7.2556	7.354	7.8315	7.5582	6.8666	6.9048	7.0239	7.6981	7.7123	8.1953	7.9611	7.4467	8.1922	8.1523	8.7176	8.246	7.9768	8.0355	7.8888	8.0174	7.7022	7.8885	8.1952	8.4109	7.7009	8.0256	8.2502	8.0469	7.4894	7.3502	7.2725	8.0273	7.9839	8.3154	8.2046	7.7605	7.7423
Cell_38	8.1155	8.0134	7.5556	7.5505	7.5791	8.5127	8.7648	8.5681	8.4434	8.3449	8.5006	8.1487	7.2151	7.3098	7.0951	8.0189	7.9031	7.2963	7.2821	7.0797	7.7675	7.6525	8.5166	8.5499	9.1377	8.5923	8.3612	8.5321	8.4115	7.927	8.2351	8.1634	8.0621	7.778	8.3917	8.7816	8.6001	7.8509	7.9155	8.2003	8.038	7.8526	7.5772	7.0812	8.667	8.6233	8.9421	8.2912	8.4178	8.3913
Cell_39	9.0432	8.9031	9.0067	8.7529	8.737	9.5517	9.8576	8.5897	8.4118	8.9211	9.0229	8.8652	8.9804	8.8756	8.8098	9.0331	8.6689	8.893	8.7254	9.1479	8.9818	9.0792	9.6209	9.4616	8.3491	8.8607	8.8742	9.4755	9.0029	8.9068	8.9372	7.6173	7.678	7.7695	8.82	8.8265	9.0198	9.0022	9.0413	8.5688	8.4564	8.7725	8.6141	8.789	8.7221	8.7391	8.896	9.4817	9.1166	8.9974
Cell_40	5.5961	5.7145	6.2012	6.0303	6.1622	5.5771	5.2625	5.8799	5.6805	5.5003	5.4093	5.1939	5.5876	5.767	5.8749	5.2414	5.2781	5.7725	5.8677	5.8842	5.2994	5.4068	5.3495	5.5808	6.5871	5.7678	5.2857	5.6741	5.453	5.3184	5.3587	6.3321	6.6656	6.588	5.5347	5.804	5.3029	5.3739	5.3402	5.6429	5.7924	5.8446	5.97	5.7937	5.6243	5.7762	5.3406	5.2976	5.4381	5.3487
Cell_41	6.9646	7.0166	7.7571	7.2077	7.2444	6.8522	6.9596	8.4177	8.5209	7.5833	7.2611	6.5018	7.638	7.6687	7.9608	7.2802	7.3868	7.5392	7.2351	7.4862	6.5712	6.6051	6.7742	6.7808	8.623	8.2921	8.2234	7.2378	6.5648	6.8395	6.76	7.2376	6.7103	6.4393	7.3772	7.5404	8.206	6.6898	6.8326	7.149	7.1843	6.5885	6.5699	6.7686	8.1512	8.0372	7.1493	6.88	6.6351	6.7838
Cell_42	10.546	10.67	11.113	11.082	10.812	9.9951	9.8541	10.798	10.735	9.9877	10.091	10.122	10.47	10.677	10.885	10.5	10.487	11.075	10.916	11.181	10.201	10.361	9.9426	9.9875	11.141	9.9719	9.9265	9.2987	9.7696	10.502	10.484	11.485	11.507	11.455	10.003	9.8685	10.128	10.33	10.327	11.413	11.681	10.914	10.709	11.267	10.182	9.8586	9.1189	9.7085	10.265	10.126
Cell_43	7.8315	7.919	8.4961	8.231	8.0128	8.6348	8.4653	8.6901	8.9011	8.5076	8.6524	8.5604	7.8953	8.1537	7.8856	7.7399	7.9967	7.9273	7.7639	8.0365	8.2319	8.2838	8.7532	8.9499	8.6332	8.5648	8.9153	8.5912	8.8782	8.2848	8.3702	8.4037	8.6141	8.4841	8.5028	8.84	8.3512	8.1796	8.3222	8.6186	8.2874	8.5949	8.5514	8.8544	8.5091	8.582	9.0485	8.665	8.3181	8.5169
Cell_44	8.5322	8.4152	8.0571	7.9315	7.9484	8.1973	8.2598	8.5331	8.441	8.5383	8.4975	7.5145	7.7749	7.5813	7.761	8.2958	8.1384	8.0053	7.9379	7.6705	8.1899	8.1804	7.9906	7.9997	7.8414	8.3696	8.3062	7.8037	8.3017	8.4085	8.2856	7.8477	7.8337	7.486	8.4273	8.5155	8.5093	8.3621	8.4963	8.3456	8.3323	7.9338	7.688	7.2067	8.3566	8.4035	8.4851	8.194	8.2805	8.3005
Cell_45	8.5231	8.4353	8.0105	7.3371	7.5989	8.3751	8.5059	8.9683	8.5647	8.254	8.245	7.9112	7.004	7.0406	7.1505	8.226	8.0583	7.3342	7.2196	7.4038	7.9822	8.0664	8.4537	8.4139	8.3149	8.1515	8.036	8.2964	8.4598	8.3548	8.1723	7.9466	7.5653	7.7363	8.0782	8.3003	8.7236	8.1861	8.1646	8.4855	8.3577	8.0112	7.7691	7.7987	8.1236	8.2294	8.9184	8.4288	8.1348	8.2786
Cell_46	8.7454	8.5863	8.2918	8.1556	8.2716	8.4113	8.1001	8.9982	8.8886	8.3945	8.172	8.4923	8.1573	8.0026	7.5176	8.0382	8.4693	8.2137	8.1472	7.8312	8.1162	8.1844	8.3761	8.4089	8.7761	8.1929	8.4042	8.7831	8.3455	8.2646	8.3649	8.7305	8.5695	8.3583	8.3117	8.4251	7.7076	8.0116	7.8177	8.5522	8.6508	8.6159	8.5303	8.0413	8.4395	8.3435	8.8517	8.3837	8.2895	8.2212
Cell_47	8.0033	7.9712	7.8673	7.5816	7.3693	7.8385	7.3189	7.9191	7.7506	7.627	7.5606	7.2276	6.7938	7.2335	7.1971	7.355	7.6051	7.4728	7.3846	7.2362	7.2162	7.1649	7.4812	7.4295	8.3009	7.6089	7.7234	7.1612	7.4661	7.4891	7.44	8.1662	7.7856	8.0284	7.7119	7.701	7.6934	7.3036	7.2041	8.1155	8.0679	7.9142	8.015	7.5673	7.718	7.8905	7.5882	7.1326	7.8107	7.6648
Cell_48	7.6381	7.6575	8.6271	8.3732	7.9888	8.2876	7.6357	8.5021	8.3411	9.2229	9.3074	7.9042	8.0671	7.8978	8.0598	7.6927	7.7374	7.8267	7.5823	7.3137	7.5182	7.4559	8.1169	8.3841	8.5826	9.945	9.6993	8.1074	7.9672	8.2208	8.3818	8.1699	8.5662	8.5974	9.1916	9.0982	8.6702	7.9854	7.6298	7.778	7.8983	7.6315	7.4123	7.2778	10.14	10.142	9.374	8.6293	7.845	8.2261
Cell_49	8.9986	8.4281	7.6363	8.047	9.6779	7.454	10.753	8.3451	7.8442	7.6244	8.8645	11.384	7.8493	6.8426	8.3426	8.3143	8.3137	8.1209	10.204	7.7986	8.089	7.4375	7.5765	11.473	7.7332	7.8121	9.2961	7.8638	7.8576	8.1528	9.7178	7.2559	7.7986	11.086	7.6858	8.3167	7.5357	8.0424	7.2538	7.8316	8.1209	7.7465	7.3341	7.3545	8.7781	8.3426	7.4372	7.8576	8.2685	7.8161
Cell_50	11.463	8.4856	8.392	8.3585	9.7629	12.301	10.07	11.93	7.6591	11.261	8.4317	9.0687	11.412	11.221	8.4866	8.5275	8.5917	8.1326	9.4614	8.7697	9.8599	9.0366	12.044	12.197	8.982	8.4318	8.4423	8.574	12.176	8.4893	8.3999	8.1601	9.0523	8.9258	10.63	7.9699	8.3053	8.9809	8.7356	8.4497	12.278	11.221	8.6141	8.7437	12.207	8.4339	8.0207	8.5865	8.7437	10.031
Cell_51	7.7339	7.9494	7.3941	7.6816	7.5105	7.8791	7.1987	7.7422	7.4124	7.9037	7.997	7.5201	7.7203	7.9295	7.7457	7.7571	7.7893	7.8402	7.6049	7.9318	7.8671	7.8375	7.7387	8.0828	9.9101	7.7058	7.6606	7.7625	7.3443	7.6791	7.7478	7.2431	7.0681	7.0191	8.21	7.9432	7.4539	7.7913	7.5518	7.8015	7.6022	7.2783	7.1722	7.4986	7.8702	7.986	7.5639	7.8605	7.6932	7.6659
Cell_52	8.0289	8.3097	9.7241	9.7082	9.6574	8.9089	8.6384	8.2887	8.3559	8.5903	8.5709	8.314	9.923	9.8382	9.9707	9.7745	9.6849	10.408	10.433	10.72	9.569	9.4899	8.7614	8.8463	7.7919	8.5558	8.4836	7.7267	8.345	8.337	8.3886	9.0049	8.7507	8.7875	8.476	8.3527	8.1831	9.1061	8.9497	8.6557	8.6472	10.909	10.748	10.96	8.5505	8.4657	8.629	7.7683	8.9373	8.814
Cell_53	9.5534	9.4265	9.6075	9.346	9.5587	9.1535	9.3344	9.8073	9.9167	9.616	9.3859	9.7592	9.1475	9.212	9.213	10.033	10.474	9.3033	9.413	9.6016	10.556	10.576	9.6065	9.3664	9.5272	9.3463	9.4762	9.2905	9.8075	9.6666	9.3354	9.1359	9.1681	9.1931	9.3156	9.7491	9.8705	9.6075	10.017	9.803	9.7583	10.406	10.337	10.039	9.3652	9.2124	9.521	9.1245	8.8672	9.1672
Cell_54	8.2586	8.3516	7.7778	7.8384	8.0644	8.1662	7.8137	8.5825	8.7739	8.6969	8.6344	8.4142	7.7972	7.7322	7.4029	8.1608	8.2265	8.0633	7.8933	8.1769	7.9462	8.0679	8.1947	8.3175	8.9487	8.679	8.5503	8.5426	9.3791	8.0367	8.2247	8.4674	8.3691	8.1332	8.5639	8.6935	8.2367	8.138	8.0363	8.6607	8.6827	8.1978	8.1881	7.4856	8.7212	8.8772	8.8151	8.3408	8.2837	8.3248
