Cell_ID	SR_Value	SR_Category
Cell_81	0.621809736359864	Low
Cell_82	0.83402779372409	High
Cell_83	0.708823389839381	Medium
Cell_84	0.894097917014733	High
Cell_85	0.551432322128676	Low
Cell_86	0.717446370748803	Medium
Cell_87	0.992478489992209	High
Cell_88	0.946525557199493	High
Cell_89	0.943234530393966	High
Cell_90	0.587526325136423	Low
Cell_91	0.565347845782526	Low
Cell_92	0.826550962519832	Medium
Cell_93	0.6717582361307	Medium
Cell_94	0.828379063983448	Medium
Cell_95	0.660186621244065	Low
Cell_96	0.593845559633337	Low
Cell_97	0.891147150658071	High
Cell_98	0.54679749335628	Low
Cell_99	0.73338952078484	Medium
Cell_100	0.755752729950473	Medium
Cell_101	0.799994479632005	Medium
Cell_102	0.666411770158447	Low
Cell_103	0.744306516833603	Medium
Cell_104	0.977236913749948	High
Cell_105	0.7414511985844	Medium
Cell_106	0.945175111060962	High
Cell_107	0.957219093455933	High
Cell_108	0.804367491160519	Medium
Cell_109	0.705344888265245	Medium
Cell_110	0.573547345469706	Low
Cell_111	0.967649901635014	High
Cell_112	0.650614449987188	Low
Cell_113	0.530360285774805	Low
Cell_114	0.973863470018841	High
Cell_115	0.860298136714846	High
Cell_116	0.571147147798911	Low
Cell_117	0.774642328033224	Medium
Cell_118	0.977045619278215	High
Cell_119	0.792741676559672	Medium
Cell_120	0.702255140873604	Medium
Cell_121	0.82394673966337	Medium
Cell_122	0.659910308546387	Low
Cell_123	0.653860005433671	Low
Cell_124	0.609883815632202	Low
Cell_125	0.684744432917796	Medium
Cell_126	0.992109601735137	High
Cell_127	0.577101150411181	Low
Cell_128	0.545521999942139	Low
Cell_129	0.570953453890979	Low
Cell_130	0.845003550755791	High
Cell_131	0.809628241695464	Medium
Cell_132	0.945697058574297	High
Cell_133	0.836499546305276	High
Cell_134	0.868538868962787	High
Cell_135	0.760567862889729	Medium
Cell_136	0.829919224837795	Medium
Cell_137	0.910902730072848	High
Cell_138	0.893140775850043	High
Cell_139	0.98991095868405	High
Cell_140	0.719715768122114	Medium
Cell_141	0.655851101037115	Low
Cell_142	0.704737476306036	Medium
Cell_143	0.505233555915765	Low
Cell_144	0.591924762004055	Low
Cell_145	0.921364659443498	High
Cell_146	0.615580891026184	Low
Cell_147	0.619549977825955	Low
Cell_148	0.538345582666807	Low
Cell_149	0.622861839015968	Low
Cell_150	0.866067602764815	High
Cell_151	0.923726582550444	High
Cell_152	0.748763633542694	Medium
Cell_153	0.693954514921643	Medium
Cell_154	0.623224497074261	Low
Cell_155	0.555548230651766	Low
Cell_156	0.694997217622586	Medium
Cell_157	0.785967656993307	Medium
Cell_158	0.608446381404065	Low
Cell_159	0.72238400101196	Medium
Cell_160	0.60899533436168	Low
Cell_161	0.751149781630374	Medium
Cell_162	0.676952285924926	Medium
Cell_163	0.82499257940799	Medium
Cell_164	0.687356978305615	Medium
Cell_165	0.677722690394148	Medium
Cell_166	0.766843972727656	Medium
Cell_167	0.870167180197313	High
Cell_168	0.610551468911581	Low
Cell_169	0.706373059307225	Medium
Cell_170	0.632843343424611	Low
Cell_171	0.814986526733264	Medium
Cell_172	0.591914245393127	Low
Cell_173	0.93182205571793	High
Cell_174	0.873284002067521	High
Cell_175	0.834142324863933	High
Cell_176	0.809008936630562	Medium
Cell_177	0.686119030113332	Medium
Cell_178	0.764917842927389	Medium
Cell_179	0.937341171433218	High
Cell_180	0.790875049890019	Medium
Cell_181	0.91988388239406	High
Cell_182	0.656224082456902	Low
Cell_183	0.854145161109045	High
Cell_184	0.632508903043345	Low
Cell_185	0.797171597019769	Medium
Cell_186	0.740644900244661	Medium
Cell_187	0.632516365731135	Low
Cell_188	0.78229521738831	Medium
Cell_189	0.956594111514278	High
Cell_190	0.950937194749713	High
Cell_191	0.637083310750313	Low
Cell_192	0.660741378203966	Low
Cell_193	0.992820442188531	High
Cell_194	0.809996655094437	Medium
Cell_195	0.968657044577412	High
Cell_196	0.733266351162456	Medium
Cell_197	0.703416296630166	Medium
Cell_198	0.829615162103437	Medium
Cell_199	0.576173308421858	Low
Cell_200	0.786433529108763	Medium
Cell_201	0.619363013422117	Low
Cell_202	0.981179468217306	High
Cell_203	0.800682862987742	Medium
Cell_204	0.757514863624237	Medium
Cell_205	0.701286671101116	Medium
Cell_206	0.940123270615004	High
Cell_207	0.682045932393521	Medium
Cell_208	0.644119640346617	Low
Cell_209	0.585322617553174	Low
Cell_210	0.586085873190314	Low
Cell_211	0.74102130276151	Medium
Cell_212	0.626482464256696	Low
Cell_213	0.608127394807525	Low
Cell_214	0.837188194040209	High
Cell_215	0.523831813712604	Low
Cell_216	0.85042654373683	High
Cell_217	0.67594431922771	Medium
Cell_218	0.704471998964436	Medium
Cell_219	0.910475661978126	High
Cell_220	0.959428674075752	High
Cell_221	0.641264165053144	Low
Cell_222	0.980552396853454	High
Cell_223	0.864197214134037	High
Cell_224	0.843187541002408	High
Cell_225	0.526421971386299	Low
Cell_226	0.697610067320056	Medium
Cell_227	0.738922689924948	Medium
Cell_228	0.780126631841995	Medium
Cell_229	0.849130797432736	High
Cell_230	0.957841769210063	High
Cell_231	0.809175613685511	Medium
Cell_232	0.714210754376836	Medium
Cell_233	0.77104018360842	Medium
Cell_234	0.529239244293422	Low
Cell_235	0.63042842852883	Low
Cell_236	0.698575976653956	Medium
Cell_237	0.59887236834038	Low
Cell_238	0.915963781415485	High
Cell_239	0.576443611411378	Low
Cell_240	0.901709271012805	High
Cell_241	0.773413078277372	Medium
Cell_242	0.831158821005374	Medium
Cell_243	0.585849246941507	Low
Cell_244	0.816527679911815	Medium
Cell_245	0.655934873386286	Low
Cell_246	0.862277173204347	High
Cell_247	0.699469912331551	Medium
Cell_248	0.984678205568343	High
Cell_249	0.983699185308069	High
Cell_250	0.863351269508712	High
Cell_251	0.628608373226598	Low
Cell_252	0.610893967328593	Low
Cell_253	0.796522825839929	Medium
Cell_254	0.633760716067627	Low
Cell_255	0.765535199432634	Medium
Cell_256	0.892645835643634	High
Cell_257	0.584030405269004	Low
Cell_258	0.702199590508826	Medium
Cell_259	0.735788138816133	Medium
Cell_260	0.934053403441794	High
Cell_261	0.96285397792235	High
Cell_262	0.94098877965007	High
Cell_263	0.837093421258032	High
Cell_264	0.975083489669487	High
Cell_265	0.758222447126172	Medium
Cell_266	0.788259510649368	Medium
Cell_267	0.668165602954105	Medium
Cell_268	0.67366231570486	Medium
Cell_269	0.510012150276452	Low
Cell_270	0.751406522816978	Medium
Cell_271	0.935521706822328	High
Cell_272	0.503150391974486	Low
Cell_273	0.536028561997227	Low
Cell_274	0.582105612498708	Low
Cell_275	0.885167037136853	High
Cell_276	0.867592152906582	High
Cell_277	0.985937817837112	High
Cell_278	0.733236188418232	Medium
Cell_279	0.537192256655544	Low
Cell_280	0.824409062159248	Medium
Cell_281	0.87929658475332	High
Cell_282	0.568553040502593	Low
Cell_283	0.698292297311127	Medium
Cell_284	0.612492664600722	Low
Cell_285	0.528979280265048	Low
Cell_286	0.697946344153024	Medium
Cell_287	0.532464149990119	Low
Cell_288	0.612943216459826	Low
Cell_289	0.527314554550685	Low
Cell_290	0.835141019779257	High
Cell_291	0.648870891309343	Low
Cell_292	0.550360791152343	Low
Cell_293	0.535952048609033	Low
Cell_294	0.940220284392126	High
Cell_295	0.877123701036908	High
Cell_296	0.908302943804301	High
Cell_297	0.991070186835714	High
Cell_298	0.55179982248228	Low
Cell_299	0.549520914675668	Low
Cell_300	0.899415805586614	High
Cell_301	0.892287633265369	High
Cell_302	0.504714952548966	Low
Cell_303	0.889532941393554	High
Cell_304	0.864695325959474	High
Cell_305	0.815065926406533	Medium
Cell_306	0.740455414983444	Medium
Cell_307	0.57831842568703	Low
Cell_308	0.504107759916224	Low
Cell_309	0.726229197112843	Medium
Cell_310	0.746146664372645	Medium
Cell_311	0.694793555769138	Medium
Cell_312	0.732332970947027	Medium
Cell_313	0.856639500358142	High
Cell_314	0.527650963165797	Low
Cell_315	0.677391548757441	Medium
Cell_316	0.901406136457808	High
Cell_317	0.917854418512434	High
Cell_318	0.61887470248621	Low
Cell_319	0.676993051311001	Medium
Cell_320	0.928442710079253	High
Cell_321	0.926881686900742	High
Cell_322	0.647947727702558	Low
Cell_323	0.573524162289687	Low
Cell_324	0.851996030658484	High
Cell_325	0.551903344108723	Low
Cell_326	0.516863886499777	Low
Cell_327	0.999702263972722	High
Cell_328	0.51743740204256	Low
Cell_329	0.669195641879924	Medium
Cell_330	0.95753188082017	High
Cell_331	0.808617634815164	Medium
Cell_332	0.643142674351111	Low
Cell_333	0.868898701504804	High
Cell_334	0.917027154588141	High
Cell_335	0.657135390210897	Low
Cell_336	0.746283273911104	Medium
Cell_337	0.848686883109622	High
Cell_338	0.820731176994741	Medium
Cell_339	0.821961457491852	Medium
Cell_340	0.988926702411845	High
Cell_341	0.707367667229846	Medium
Cell_342	0.55970238998998	Low
Cell_343	0.763014830066822	Medium
Cell_344	0.612536675413139	Low
Cell_345	0.743205882026814	Medium
Cell_346	0.685107399243861	Medium
Cell_347	0.991675090393983	High
Cell_348	0.694159557577223	Medium
Cell_349	0.614622420165688	Low
Cell_350	0.811648773145862	Medium
Cell_351	0.568270098534413	Low
Cell_352	0.983734747162089	High
Cell_353	0.757535903947428	Medium
Cell_354	0.581535164616071	Low
Cell_355	0.810951147577725	Medium
Cell_356	0.992977082612924	High
Cell_357	0.834385758731514	High
Cell_358	0.709457948454656	Medium
Cell_359	0.661672496586107	Low
Cell_360	0.917627659975551	High
Cell_361	0.571908521815203	Low
Cell_362	0.596407973440364	Low
Cell_363	0.948369341320358	High
Cell_364	0.654059777152725	Low
Cell_365	0.681650271755643	Medium
Cell_366	0.89197323936969	High
Cell_367	0.596689339959994	Low
Cell_368	0.508882905938663	Low
Cell_369	0.703303933143616	Medium
Cell_370	0.741583834635094	Medium
Cell_371	0.710922475089319	Medium
Cell_372	0.671404400840402	Medium
Cell_373	0.933241657330655	High
Cell_374	0.72755402547773	Medium
Cell_375	0.766882436815649	Medium
Cell_376	0.981921665952541	High
Cell_377	0.887295771040954	High
Cell_378	0.604438174283132	Low
Cell_379	0.654393416363746	Low
Cell_380	0.985671225120313	High
Cell_381	0.792450046748854	Medium
Cell_382	0.880411812686361	High
Cell_383	0.686354697216302	Medium
Cell_384	0.884596955613233	High
Cell_385	0.7688385915244	Medium
Cell_386	0.956997724832036	High
Cell_387	0.592648220947012	Low
Cell_388	0.641109208692797	Low
Cell_389	0.547481206594966	Low
Cell_390	0.605243539554067	Low
Cell_391	0.988549498142675	High
Cell_392	0.648151087691076	Low
Cell_393	0.862991513451561	High
Cell_394	0.89284391712863	High
Cell_395	0.552708873059601	Low
Cell_396	0.6197973145172	Low
Cell_397	0.635272436193191	Low
Cell_398	0.55052924703341	Low
Cell_399	0.558956920634955	Low
Cell_400	0.995618277927861	High
Cell_401	0.99302714865189	High
Cell_402	0.56853373569902	Low
Cell_403	0.95265479083173	High
Cell_404	0.788150918786414	Medium
Cell_405	0.697724429541267	Medium
Cell_406	0.724901242065243	Medium
Cell_407	0.853250950574875	High
Cell_408	0.541251372895204	Low
Cell_409	0.669656290090643	Medium
Cell_410	0.840393775608391	High
Cell_411	0.658474624040537	Low
Cell_412	0.915784299024381	High
Cell_413	0.607586041325703	Low
Cell_414	0.748974468093365	Medium
Cell_415	0.638024836312979	Low
Cell_416	0.596011659363285	Low
Cell_417	0.975310632027686	High
Cell_418	0.660862768883817	Low
Cell_419	0.73922819190193	Medium
Cell_420	0.51399628596846	Low
Cell_421	0.773729734006338	Medium
Cell_422	0.822120110271499	Medium
Cell_423	0.798131772316992	Medium
Cell_424	0.660968687850982	Low
Cell_425	0.94555715622846	High
Cell_426	0.813128473702818	Medium
Cell_427	0.651452457648702	Low
Cell_428	0.694102331879549	Medium
Cell_429	0.580237546237186	Low
Cell_430	0.931275948765688	High
Cell_431	0.976550606894307	High
Cell_432	0.781822341727093	Medium
Cell_433	0.664773706695996	Low
Cell_434	0.998308609356172	High
Cell_435	0.617409837897867	Low
Cell_436	0.806335982633755	Medium
Cell_437	0.554089264711365	Low
Cell_438	0.743516284972429	Medium
Cell_439	0.549722911673598	Low
Cell_440	0.580582881346345	Low
Cell_441	0.641496435389854	Low
Cell_442	0.791936167981476	Medium
Cell_443	0.86585382942576	High
Cell_444	0.582760455552489	Low
Cell_445	0.933233881602064	High
Cell_446	0.854287068592384	High
Cell_447	0.880199768114835	High
Cell_448	0.573542054276913	Low
Cell_449	0.679028481710702	Medium
Cell_450	0.836666240706109	High
Cell_451	0.761911300825886	Medium
Cell_452	0.674900896381587	Medium
Cell_453	0.620265350793488	Low
Cell_454	0.529095898149535	Low
Cell_455	0.618309871060774	Low
Cell_456	0.945038956589997	High
Cell_457	0.90591370803304	High
Cell_458	0.873758161091246	High
Cell_459	0.577455862890929	Low
Cell_460	0.562371044303291	Low
Cell_461	0.987362904241309	High
Cell_462	0.718064998043701	Medium
Cell_463	0.732008313410915	Medium
Cell_464	0.58264904061798	Low
Cell_465	0.792468278668821	Medium
Cell_466	0.63538900972344	Low
Cell_467	0.615048460196704	Low
Cell_468	0.845603915746324	High
Cell_469	0.641426199814305	Low
Cell_470	0.905199033091776	High
Cell_471	0.54695830354467	Low
Cell_472	0.911015035584569	High
Cell_473	0.71371414035093	Medium
Cell_474	0.877943629864603	High
Cell_475	0.831192753277719	Medium
Cell_476	0.722263698466122	Medium
Cell_477	0.813573092222214	Medium
Cell_478	0.500232674530707	Low
Cell_479	0.608621757011861	Low
Cell_480	0.852436122833751	High
Cell_481	0.60758324409835	Low
Cell_482	0.906966860638931	High
Cell_483	0.653881937148981	Low
Cell_484	0.843871342833154	High
Cell_485	0.966340539511293	High
Cell_486	0.557889832416549	Low
Cell_487	0.563852843944915	Low
Cell_488	0.839111928711645	High
Cell_489	0.714474297943525	Medium
Cell_490	0.917200488969684	High
Cell_491	0.985719033400528	High
Cell_492	0.535244488855824	Low
Cell_493	0.72989259660244	Medium
Cell_494	0.850792559213005	High
Cell_495	0.543470083968714	Low
Cell_496	0.996472008060664	High
Cell_497	0.626549497013912	Low
Cell_498	0.524769217823632	Low
Cell_499	0.843162473407574	High
Cell_500	0.893463676329702	High
Cell_501	0.676803037989885	Medium
Cell_502	0.683220722479746	Medium
Cell_503	0.643550065346062	Low
Cell_504	0.539986456162296	Low
Cell_505	0.682727134786546	Medium
Cell_506	0.589006907306612	Low
Cell_507	0.768026860314421	Medium
Cell_508	0.751974356011488	Medium
Cell_509	0.972517551737837	High
Cell_510	0.670660641975701	Medium
Cell_511	0.732356887077913	Medium
Cell_512	0.541265590814874	Low
Cell_513	0.930053423042409	High
Cell_514	0.697830319986679	Medium
Cell_515	0.867949675186537	High
Cell_516	0.585871702991426	Low
Cell_517	0.727380815660581	Medium
Cell_518	0.885102379717864	High
Cell_519	0.531324999174103	Low
Cell_520	0.907540747546591	High
Cell_521	0.650571262231097	Low
Cell_522	0.682335513993166	Medium
Cell_523	0.656056395964697	Low
Cell_524	0.518684982438572	Low
Cell_525	0.75940246169921	Medium
Cell_526	0.839506707852706	High
Cell_527	0.951616780133918	High
Cell_528	0.512763349222951	Low
Cell_529	0.994539135368541	High
Cell_530	0.651443812297657	Low
Cell_531	0.969569200300612	High
Cell_532	0.843803790863603	High
Cell_533	0.723518497426994	Medium
Cell_534	0.908239069394767	High
Cell_535	0.519749598926865	Low
Cell_536	0.869515842758119	High
Cell_537	0.674359746859409	Medium
Cell_538	0.914625411736779	High
Cell_539	0.767770695849322	Medium
Cell_540	0.637272681808099	Low
Cell_541	0.900474105961621	High
Cell_542	0.545822347397916	Low
Cell_543	0.91605388710741	High
Cell_544	0.638427536236122	Low
Cell_545	0.876555049791932	High
Cell_546	0.982076285057701	High
Cell_547	0.54073328000959	Low
Cell_548	0.927182373241521	High
Cell_549	0.901119108544663	High
Cell_550	0.692586802295409	Medium
Cell_551	0.663798699504696	Low
Cell_552	0.602469351491891	Low
Cell_553	0.78469133132603	Medium
Cell_554	0.944027595221996	High
Cell_555	0.764857045724057	Medium
Cell_556	0.793479328393005	Medium
Cell_557	0.832867571269162	Medium
Cell_558	0.764946229290217	Medium
Cell_559	0.754921449697576	Medium
Cell_560	0.508080240455456	Low
Cell_561	0.523854992468841	Low
Cell_562	0.964675341267139	High
Cell_563	0.884642769349739	High
Cell_564	0.600540308048949	Low
Cell_565	0.825130750192329	Medium
Cell_566	0.826883341185749	Medium
Cell_567	0.697626880719326	Medium
Cell_568	0.906152414274402	High
Cell_569	0.773511708830483	Medium
Cell_570	0.942566325771622	High
Cell_571	0.776656993781216	Medium
Cell_572	0.953024055808783	High
Cell_573	0.793730683508329	Medium
Cell_574	0.711731825489551	Medium
Cell_575	0.974792661494575	High
Cell_576	0.854518951731734	High
Cell_577	0.706652704044245	Medium
Cell_578	0.509182041860186	Low
Cell_579	0.783367041382007	Medium
Cell_580	0.745031726546586	Medium
Cell_581	0.93933701061178	High
Cell_582	0.906426343950443	High
Cell_583	0.927049988764338	High
Cell_584	0.683947973884642	Medium
Cell_585	0.936974956421182	High
Cell_586	0.575669085723348	Low
Cell_587	0.640905834850855	Low
Cell_588	0.833352578920312	High
Cell_589	0.988691788399592	High
Cell_590	0.791369868326001	Medium
Cell_591	0.763295039767399	Medium
Cell_592	0.530391112435609	Low
Cell_593	0.984519431833178	High
Cell_594	0.560118564288132	Low
Cell_595	0.54418165050447	Low
Cell_596	0.940382057451643	High
Cell_597	0.754185314872302	Medium
Cell_598	0.668747498653829	Medium
Cell_599	0.947167312726378	High
Cell_600	0.515985814039595	Low
Cell_601	0.618614848703146	Low
Cell_602	0.843245175550692	High
Cell_603	0.612909211660735	Low
Cell_604	0.659247294068336	Low
Cell_605	0.586991908377968	Low
Cell_606	0.90071479184553	High
Cell_607	0.573141028988175	Low
Cell_608	0.911358695826493	High
Cell_609	0.665498914313503	Low
Cell_610	0.687084693927318	Medium
Cell_611	0.814872711896896	Medium
Cell_612	0.548316871514544	Low
Cell_613	0.510996857658029	Low
Cell_614	0.996522390167229	High
Cell_615	0.791969422833063	Medium
Cell_616	0.890911532565951	High
Cell_617	0.945948061300442	High
Cell_618	0.877432726789266	High
Cell_619	0.989601865061559	High
Cell_620	0.522073533968069	Low
Cell_621	0.951700442354195	High
Cell_622	0.932750407024287	High
Cell_623	0.887703795684502	High
Cell_624	0.688408208428882	Medium
Cell_625	0.521054024342448	Low
Cell_626	0.682205540826544	Medium
Cell_627	0.636875634896569	Low
Cell_628	0.925233740359545	High
Cell_629	0.681200856226496	Medium
Cell_630	0.652238895301707	Low
Cell_631	0.879567669704556	High
Cell_632	0.922417312161997	High
Cell_633	0.728960780543275	Medium
Cell_634	0.864815832232125	High
Cell_635	0.552039318019524	Low
Cell_636	0.609991588862613	Low
Cell_637	0.976975623867474	High
Cell_638	0.876018770621158	High
Cell_639	0.909477691631764	High
Cell_640	0.708888550871052	Medium
Cell_641	0.796919246553443	Medium
Cell_642	0.899411778897047	High
Cell_643	0.944204325205646	High
Cell_644	0.692595796659589	Medium
Cell_645	0.545161042129621	Low
Cell_646	0.812871818547137	Medium
Cell_647	0.872818108648062	High
Cell_648	0.542689228663221	Low
Cell_649	0.650258805602789	Low
Cell_650	0.807281078654341	Medium
Cell_651	0.876466028974392	High
Cell_652	0.958528566523455	High
Cell_653	0.737875252845697	Medium
Cell_654	0.783559733070433	Medium
Cell_655	0.868310173042119	High
Cell_656	0.928723712218925	High
Cell_657	0.954573252238333	High
Cell_658	0.528191112680361	Low
Cell_659	0.751454152050428	Medium
Cell_660	0.675272386521101	Medium
Cell_661	0.922778061474673	High
Cell_662	0.903217581915669	High
Cell_663	0.558665613643825	Low
Cell_664	0.856343277497217	High
Cell_665	0.617634429014288	Low
Cell_666	0.537478375597857	Low
Cell_667	0.967823073617183	High
Cell_668	0.578583912574686	Low
Cell_669	0.823528675013222	Medium
Cell_670	0.586758873076178	Low
Cell_671	0.510037004598416	Low
Cell_672	0.760656923172064	Medium
Cell_673	0.543138946639374	Low
Cell_674	0.641501173027791	Low
Cell_675	0.710217450512573	Medium
Cell_676	0.793639062088914	Medium
Cell_677	0.903347214800306	High
Cell_678	0.600997604429722	Low
Cell_679	0.729712335858494	Medium
Cell_680	0.724071556935087	Medium
Cell_681	0.866873879102059	High
Cell_682	0.857377405278385	High
Cell_683	0.915610989439301	High
Cell_684	0.943283060449176	High
Cell_685	0.976322286995128	High
Cell_686	0.775308360927738	Medium
Cell_687	0.761167883058079	Medium
Cell_688	0.585349127650261	Low
Cell_689	0.739635779988021	Medium
Cell_690	0.626910398248583	Low
Cell_691	0.51989031850826	Low
Cell_692	0.817400254891254	Medium
Cell_693	0.769780457019806	Medium
Cell_694	0.570051774964668	Low
Cell_695	0.641855888417922	Low
Cell_696	0.791515297605656	Medium
Cell_697	0.582512946100906	Low
Cell_698	0.548150555347092	Low
Cell_699	0.714306545676664	Medium
Cell_700	0.67788078286685	Medium
Cell_701	0.922466769930907	High
Cell_702	0.630066236830316	Low
Cell_703	0.511572246090509	Low
Cell_704	0.931199769838713	High
Cell_705	0.667293980601244	Medium
Cell_706	0.815894435858354	Medium
Cell_707	0.773213129374199	Medium
Cell_708	0.688222246593796	Medium
Cell_709	0.592936507542618	Low
Cell_710	0.714470295584761	Medium
Cell_711	0.815386799280532	Medium
Cell_712	0.760421175626107	Medium
Cell_713	0.829810668597929	Medium
Cell_714	0.864680465660058	High
Cell_715	0.743411436676979	Medium
Cell_716	0.692228307831101	Medium
Cell_717	0.503416754421778	Low
Cell_718	0.501842113793828	Low
Cell_719	0.997468220070004	High
Cell_720	0.553943440085277	Low
Cell_721	0.709334579179995	Medium
Cell_722	0.858942273305729	High
Cell_723	0.871269566123374	High
Cell_724	0.935999411856756	High
Cell_725	0.803933980525471	Medium
Cell_726	0.878101675654761	High
Cell_727	0.923620649031363	High
Cell_728	0.806389824487269	Medium
Cell_729	0.896612083888613	High
Cell_730	0.51142734172754	Low
Cell_731	0.708457274828106	Medium
Cell_732	0.937441193731502	High
Cell_733	0.823673507780768	Medium
Cell_734	0.962239493383095	High
Cell_735	0.58611254801508	Low
Cell_736	0.657906394568272	Low
Cell_737	0.902128139627166	High
Cell_738	0.994481705594808	High
Cell_739	0.661192775936797	Low
Cell_740	0.500595814199187	Low
Cell_741	0.996085309656337	High
Cell_742	0.574176195892505	Low
Cell_743	0.524682148592547	Low
Cell_744	0.798676741309464	Medium
Cell_745	0.660664221737534	Low
Cell_746	0.763964500161819	Medium
Cell_747	0.897711010184139	High
Cell_748	0.534466298413463	Low
Cell_749	0.847510348656215	High
Cell_750	0.974315753672272	High
Cell_751	0.638884658692405	Low
Cell_752	0.624703292618506	Low
Cell_753	0.579717740067281	Low
Cell_754	0.535815028008074	Low
Cell_755	0.778718791552819	Medium
Cell_756	0.74491852580104	Medium
Cell_757	0.747146180947311	Medium
Cell_758	0.944185792584904	High
Cell_759	0.518352179904468	Low
Cell_760	0.601871906779706	Low
Cell_761	0.756890569580719	Medium
Cell_762	0.618169944500551	Low
Cell_763	0.787717834929936	Medium
Cell_764	0.741128955734894	Medium
Cell_765	0.784676344366744	Medium
Cell_766	0.572076157550327	Low
Cell_767	0.57285438128747	Low
Cell_768	0.706141556496732	Medium
Cell_769	0.8415051412303	High
Cell_770	0.826713910209946	Medium
Cell_771	0.957993166521192	High
Cell_772	0.906556566245854	High
Cell_773	0.837945000617765	High
Cell_774	0.903749554650858	High
Cell_775	0.564032209804282	Low
Cell_776	0.625389266991988	Low
Cell_777	0.665773495798931	Low
Cell_778	0.703634644974954	Medium
Cell_779	0.8176837884821	Medium
Cell_780	0.904306022450328	High
Cell_781	0.629400600679219	Low
Cell_782	0.909733569948003	High
Cell_783	0.507738834479824	Low
Cell_784	0.827200383297168	Medium
Cell_785	0.905859792139381	High
Cell_786	0.730684463400394	Medium
Cell_787	0.601708550821058	Low
Cell_788	0.509384108590893	Low
Cell_789	0.641566348611377	Low
Cell_790	0.957636312814429	High
Cell_791	0.966848260257393	High
Cell_792	0.771265806863084	Medium
Cell_793	0.609711272991262	Low
Cell_794	0.744713902007788	Medium
Cell_795	0.900574368075468	High
Cell_796	0.703815328888595	Medium
Cell_797	0.551855783443898	Low
Cell_798	0.64028258738108	Low
Cell_799	0.680733110290021	Medium
Cell_800	0.629622420528904	Low
Cell_801	0.73534091678448	Medium
Cell_802	0.682922736625187	Medium
Cell_803	0.560636027134024	Low
Cell_804	0.52349684026558	Low
Cell_805	0.631398152094334	Low
Cell_806	0.984320583986118	High
Cell_807	0.744247741182335	Medium
Cell_808	0.738911014865153	Medium
Cell_809	0.874396440573037	High
Cell_810	0.833820115658455	High
Cell_811	0.524707798380405	Low
Cell_812	0.847552622202784	High
Cell_813	0.681630783365108	Medium
Cell_814	0.942066803690977	High
Cell_815	0.887648614821956	High
Cell_816	0.569601820665412	Low
Cell_817	0.647504635620862	Low
Cell_818	0.563041392713785	Low
Cell_819	0.794950811890885	Medium
Cell_820	0.780837804428302	Medium
Cell_821	0.844360560062341	High
