cell_id,Library,Well,Hours,Media,Mapped.Fragments
CELL_0074,LIB_074,WELL_074,24,DM,2082383
CELL_0075,LIB_075,WELL_075,48,GM,2770140
CELL_0076,LIB_076,WELL_076,72,DM,2504576
CELL_0077,LIB_077,WELL_077,0,GM,1640779
CELL_0078,LIB_078,WELL_078,24,DM,2148795
CELL_0079,LIB_079,WELL_079,48,GM,2579029
CELL_0080,LIB_080,WELL_080,72,DM,3154487
CELL_0081,LIB_081,WELL_081,0,GM,2961229
CELL_0082,LIB_082,WELL_082,24,DM,4949797
CELL_0083,LIB_083,WELL_083,48,GM,4016961
CELL_0084,LIB_084,WELL_084,72,DM,1534818
CELL_0085,LIB_085,WELL_085,0,GM,2890123
CELL_0086,LIB_086,WELL_086,24,DM,4243613
CELL_0087,LIB_087,WELL_087,48,GM,4017426
CELL_0088,LIB_088,WELL_088,72,DM,3281249
CELL_0089,LIB_089,WELL_089,0,GM,4848267
CELL_0090,LIB_090,WELL_090,24,DM,1965440
CELL_0091,LIB_091,WELL_091,48,GM,2457281
CELL_0092,LIB_092,WELL_092,72,DM,2686034
CELL_0093,LIB_093,WELL_093,0,GM,1927146
CELL_0094,LIB_094,WELL_094,24,DM,2573709
CELL_0095,LIB_095,WELL_095,48,GM,3313630
CELL_0096,LIB_096,WELL_096,72,DM,3746953
CELL_0097,LIB_097,WELL_097,0,GM,3015892
CELL_0098,LIB_098,WELL_098,24,DM,1242573
CELL_0099,LIB_099,WELL_099,48,GM,2356772
CELL_0100,LIB_100,WELL_100,72,DM,1062228
CELL_0101,LIB_101,WELL_101,0,GM,2694343
CELL_0102,LIB_102,WELL_102,24,DM,3703175
CELL_0103,LIB_103,WELL_103,48,GM,4697821
CELL_0104,LIB_104,WELL_104,72,DM,4212521
CELL_0105,LIB_105,WELL_105,0,GM,2374853
CELL_0106,LIB_106,WELL_106,24,DM,1554288
CELL_0107,LIB_107,WELL_107,48,GM,4009357
CELL_0108,LIB_108,WELL_108,72,DM,2557322
CELL_0109,LIB_109,WELL_109,0,GM,4373571
CELL_0110,LIB_110,WELL_110,24,DM,3789601
CELL_0111,LIB_111,WELL_111,48,GM,3763290
CELL_0112,LIB_112,WELL_112,72,DM,3837816
CELL_0113,LIB_113,WELL_113,0,GM,2195838
CELL_0114,LIB_114,WELL_114,24,DM,1959223
CELL_0115,LIB_115,WELL_115,48,GM,1504940
CELL_0116,LIB_116,WELL_116,72,DM,3307782
CELL_0117,LIB_117,WELL_117,0,GM,1354162
CELL_0118,LIB_118,WELL_118,24,DM,4029425
CELL_0119,LIB_119,WELL_119,48,GM,2952409
CELL_0120,LIB_120,WELL_120,72,DM,3407663
CELL_0121,LIB_121,WELL_121,0,GM,3388999
CELL_0122,LIB_122,WELL_122,24,DM,4152291
CELL_0123,LIB_123,WELL_123,48,GM,3092228
CELL_0124,LIB_124,WELL_124,72,DM,4423362
CELL_0125,LIB_125,WELL_125,0,GM,3406764
CELL_0126,LIB_126,WELL_126,24,DM,4273946
CELL_0127,LIB_127,WELL_127,48,GM,1566404
CELL_0128,LIB_128,WELL_128,72,DM,2586535
CELL_0129,LIB_129,WELL_129,0,GM,2306383
CELL_0130,LIB_130,WELL_130,24,DM,3831852
CELL_0131,LIB_131,WELL_131,48,GM,2347073
CELL_0132,LIB_132,WELL_132,72,DM,1904406
CELL_0133,LIB_133,WELL_133,0,GM,3358562
CELL_0134,LIB_134,WELL_134,24,DM,2087553
CELL_0135,LIB_135,WELL_135,48,GM,3547848
CELL_0136,LIB_136,WELL_136,72,DM,3897608
CELL_0137,LIB_137,WELL_137,0,GM,3649587
CELL_0138,LIB_138,WELL_138,24,DM,1482542
CELL_0139,LIB_139,WELL_139,48,GM,1158211
CELL_0140,LIB_140,WELL_140,72,DM,2048679
CELL_0141,LIB_141,WELL_141,0,GM,2307758
CELL_0142,LIB_142,WELL_142,24,DM,4413036
CELL_0143,LIB_143,WELL_143,48,GM,3274927
CELL_0144,LIB_144,WELL_144,72,DM,1336629
CELL_0145,LIB_145,WELL_145,0,GM,2844108
CELL_0146,LIB_146,WELL_146,24,DM,3625969
CELL_0147,LIB_147,WELL_147,48,GM,3193549
CELL_0148,LIB_148,WELL_148,72,DM,3103591
CELL_0149,LIB_149,WELL_149,0,GM,4126974
CELL_0150,LIB_150,WELL_150,24,DM,2192657
CELL_0151,LIB_151,WELL_151,48,GM,2786568
CELL_0152,LIB_152,WELL_152,72,DM,1969185
CELL_0153,LIB_153,WELL_153,0,GM,4010768
CELL_0154,LIB_154,WELL_154,24,DM,4400448
CELL_0155,LIB_155,WELL_155,48,GM,1807003
CELL_0156,LIB_156,WELL_156,72,DM,2511371
CELL_0157,LIB_157,WELL_157,0,GM,4351993
CELL_0158,LIB_158,WELL_158,24,DM,1030263
CELL_0159,LIB_159,WELL_159,48,GM,4881526
CELL_0160,LIB_160,WELL_160,72,DM,3936155
CELL_0161,LIB_161,WELL_161,0,GM,3955022
CELL_0162,LIB_162,WELL_162,24,DM,4062632
CELL_0163,LIB_163,WELL_163,48,GM,3313515
CELL_0164,LIB_164,WELL_164,72,DM,4891893
CELL_0165,LIB_165,WELL_165,0,GM,3700201
CELL_0166,LIB_166,WELL_166,24,DM,4167447
CELL_0167,LIB_167,WELL_167,48,GM,1299863
CELL_0168,LIB_168,WELL_168,72,DM,3248329
CELL_0169,LIB_169,WELL_169,0,GM,4238567
CELL_0170,LIB_170,WELL_170,24,DM,1390210
CELL_0171,LIB_171,WELL_171,48,GM,3988975
CELL_0172,LIB_172,WELL_172,72,DM,2116245
CELL_0173,LIB_173,WELL_173,0,GM,3582235
CELL_0174,LIB_174,WELL_174,24,DM,4505962
CELL_0175,LIB_175,WELL_175,48,GM,2786993
CELL_0176,LIB_176,WELL_176,72,DM,2808921
CELL_0177,LIB_177,WELL_177,0,GM,1255479
CELL_0178,LIB_178,WELL_178,24,DM,3963729
CELL_0179,LIB_179,WELL_179,48,GM,2859508
CELL_0180,LIB_180,WELL_180,72,DM,4024118
CELL_0181,LIB_181,WELL_181,0,GM,4882418
CELL_0182,LIB_182,WELL_182,24,DM,2323976
CELL_0183,LIB_183,WELL_183,48,GM,4148080
CELL_0184,LIB_184,WELL_184,72,DM,4482282
CELL_0185,LIB_185,WELL_185,0,GM,4280919
CELL_0186,LIB_186,WELL_186,24,DM,1641027
CELL_0187,LIB_187,WELL_187,48,GM,3692357
CELL_0188,LIB_188,WELL_188,72,DM,1268860
CELL_0189,LIB_189,WELL_189,0,GM,3999589
CELL_0190,LIB_190,WELL_190,24,DM,4675774
CELL_0191,LIB_191,WELL_191,48,GM,2286767
CELL_0192,LIB_192,WELL_192,72,DM,1348765
CELL_0193,LIB_193,WELL_193,0,GM,4571411
CELL_0194,LIB_194,WELL_194,24,DM,1657842
CELL_0195,LIB_195,WELL_195,48,GM,4866397
CELL_0196,LIB_196,WELL_196,72,DM,4588198
CELL_0197,LIB_197,WELL_197,0,GM,4022196
CELL_0198,LIB_198,WELL_198,24,DM,2994846
CELL_0199,LIB_199,WELL_199,48,GM,2381404
CELL_0200,LIB_200,WELL_200,72,DM,2170125
CELL_0201,LIB_201,WELL_201,0,GM,2905967
CELL_0202,LIB_202,WELL_202,24,DM,2145100
CELL_0203,LIB_203,WELL_203,48,GM,4681289
CELL_0204,LIB_204,WELL_204,72,DM,1691735
CELL_0205,LIB_205,WELL_205,0,GM,2340092
CELL_0206,LIB_206,WELL_206,24,DM,1414050
CELL_0207,LIB_207,WELL_207,48,GM,1135897
CELL_0208,LIB_208,WELL_208,72,DM,4219094
CELL_0209,LIB_209,WELL_209,0,GM,1215178
CELL_0210,LIB_210,WELL_210,24,DM,1589341
CELL_0211,LIB_211,WELL_211,48,GM,1879655
CELL_0212,LIB_212,WELL_212,72,DM,1570262
CELL_0213,LIB_213,WELL_213,0,GM,2433109
CELL_0214,LIB_214,WELL_214,24,DM,3712798
CELL_0215,LIB_215,WELL_215,48,GM,2134653
CELL_0216,LIB_216,WELL_216,72,DM,2486832
CELL_0217,LIB_217,WELL_217,0,GM,4552910
CELL_0218,LIB_218,WELL_218,24,DM,3382146
CELL_0219,LIB_219,WELL_219,48,GM,4555210
CELL_0220,LIB_220,WELL_220,72,DM,1708603
CELL_0221,LIB_221,WELL_221,0,GM,2888595
CELL_0222,LIB_222,WELL_222,24,DM,3298802
CELL_0223,LIB_223,WELL_223,48,GM,4948666
CELL_0224,LIB_224,WELL_224,72,DM,3003043
CELL_0225,LIB_225,WELL_225,0,GM,3191847
CELL_0226,LIB_226,WELL_226,24,DM,2639061
CELL_0227,LIB_227,WELL_227,48,GM,4987709
CELL_0228,LIB_228,WELL_228,72,DM,3722978
CELL_0229,LIB_229,WELL_229,0,GM,3103004
CELL_0230,LIB_230,WELL_230,24,DM,4673580
CELL_0231,LIB_231,WELL_231,48,GM,2238032
CELL_0232,LIB_232,WELL_232,72,DM,4339667
CELL_0233,LIB_233,WELL_233,0,GM,4353312
CELL_0234,LIB_234,WELL_234,24,DM,2312828
CELL_0235,LIB_235,WELL_235,48,GM,1554131
CELL_0236,LIB_236,WELL_236,72,DM,1386986
CELL_0237,LIB_237,WELL_237,0,GM,2554293
CELL_0238,LIB_238,WELL_238,24,DM,3243837
CELL_0239,LIB_239,WELL_239,48,GM,4402981
CELL_0240,LIB_240,WELL_240,72,DM,1216345
CELL_0241,LIB_241,WELL_241,0,GM,3589742
CELL_0242,LIB_242,WELL_242,24,DM,4738702
CELL_0243,LIB_243,WELL_243,48,GM,4880208
CELL_0244,LIB_244,WELL_244,72,DM,4048788
CELL_0245,LIB_245,WELL_245,0,GM,1929804
CELL_0246,LIB_246,WELL_246,24,DM,3328613
CELL_0247,LIB_247,WELL_247,48,GM,1367797
CELL_0248,LIB_248,WELL_248,72,DM,1134496
CELL_0249,LIB_249,WELL_249,0,GM,4399810
CELL_0250,LIB_250,WELL_250,24,DM,1826333
CELL_0251,LIB_251,WELL_251,48,GM,1276069
CELL_0252,LIB_252,WELL_252,72,DM,2629548
CELL_0253,LIB_253,WELL_253,0,GM,2603703
CELL_0254,LIB_254,WELL_254,24,DM,3976476
CELL_0255,LIB_255,WELL_255,48,GM,1507207
CELL_0256,LIB_256,WELL_256,72,DM,3557531
CELL_0257,LIB_257,WELL_257,0,GM,2969211
CELL_0258,LIB_258,WELL_258,24,DM,1102009
CELL_0259,LIB_259,WELL_259,48,GM,3130940
CELL_0260,LIB_260,WELL_260,72,DM,1589066
CELL_0261,LIB_261,WELL_261,0,GM,2599321
CELL_0262,LIB_262,WELL_262,24,DM,2655505
CELL_0263,LIB_263,WELL_263,48,GM,4252622
CELL_0264,LIB_264,WELL_264,72,DM,4773639
CELL_0265,LIB_265,WELL_265,0,GM,4215719
CELL_0266,LIB_266,WELL_266,24,DM,2105964
CELL_0267,LIB_267,WELL_267,48,GM,4757313
CELL_0268,LIB_268,WELL_268,72,DM,2692325
CELL_0269,LIB_269,WELL_269,0,GM,1042609
CELL_0270,LIB_270,WELL_270,24,DM,2529869
CELL_0271,LIB_271,WELL_271,48,GM,2883536
CELL_0272,LIB_272,WELL_272,72,DM,1795434
CELL_0273,LIB_273,WELL_273,0,GM,3956776
CELL_0274,LIB_274,WELL_274,24,DM,1105319
CELL_0275,LIB_275,WELL_275,48,GM,4141575
CELL_0276,LIB_276,WELL_276,72,DM,1693428
CELL_0277,LIB_277,WELL_277,0,GM,2775224
CELL_0278,LIB_278,WELL_278,24,DM,4281074
CELL_0279,LIB_279,WELL_279,48,GM,1801738
CELL_0280,LIB_280,WELL_280,72,DM,3666409
CELL_0281,LIB_281,WELL_281,0,GM,2024744
CELL_0282,LIB_282,WELL_282,24,DM,4932453
CELL_0283,LIB_283,WELL_283,48,GM,3021250
CELL_0284,LIB_284,WELL_284,72,DM,4237809
CELL_0285,LIB_285,WELL_285,0,GM,2035406
CELL_0286,LIB_286,WELL_286,24,DM,3030524
CELL_0287,LIB_287,WELL_287,48,GM,4147875
CELL_0288,LIB_288,WELL_288,72,DM,1494504
CELL_0289,LIB_289,WELL_289,0,GM,3405896
CELL_0290,LIB_290,WELL_290,24,DM,1034840
CELL_0291,LIB_291,WELL_291,48,GM,1853300
CELL_0292,LIB_292,WELL_292,72,DM,3260308
CELL_0293,LIB_293,WELL_293,0,GM,1023383
CELL_0294,LIB_294,WELL_294,24,DM,3603669
CELL_0295,LIB_295,WELL_295,48,GM,3201545
CELL_0296,LIB_296,WELL_296,72,DM,4179017
CELL_0297,LIB_297,WELL_297,0,GM,3548712
CELL_0298,LIB_298,WELL_298,24,DM,1015888
CELL_0299,LIB_299,WELL_299,48,GM,3234622
CELL_0300,LIB_300,WELL_300,72,DM,1931392
CELL_0301,LIB_301,WELL_301,0,GM,1679216
CELL_0302,LIB_302,WELL_302,24,DM,4502890
CELL_0303,LIB_303,WELL_303,48,GM,1731831
CELL_0304,LIB_304,WELL_304,72,DM,3715535
CELL_0305,LIB_305,WELL_305,0,GM,1869511
CELL_0306,LIB_306,WELL_306,24,DM,4479537
CELL_0307,LIB_307,WELL_307,48,GM,3993148
CELL_0308,LIB_308,WELL_308,72,DM,3265147
CELL_0309,LIB_309,WELL_309,0,GM,1580331
CELL_0310,LIB_310,WELL_310,24,DM,2895071
CELL_0311,LIB_311,WELL_311,48,GM,3608305
CELL_0312,LIB_312,WELL_312,72,DM,3534828
CELL_0313,LIB_313,WELL_313,0,GM,2691354
CELL_0314,LIB_314,WELL_314,24,DM,3721577
CELL_0315,LIB_315,WELL_315,48,GM,4420401
CELL_0316,LIB_316,WELL_316,72,DM,3851221
CELL_0317,LIB_317,WELL_317,0,GM,3581025
CELL_0318,LIB_318,WELL_318,24,DM,3001619
CELL_0319,LIB_319,WELL_319,48,GM,2425205
CELL_0320,LIB_320,WELL_320,72,DM,4134623
CELL_0321,LIB_321,WELL_321,0,GM,3487811
CELL_0322,LIB_322,WELL_322,24,DM,3623081
CELL_0323,LIB_323,WELL_323,48,GM,4957824
CELL_0324,LIB_324,WELL_324,72,DM,3421544
CELL_0325,LIB_325,WELL_325,0,GM,1004848
CELL_0326,LIB_326,WELL_326,24,DM,4349005
CELL_0327,LIB_327,WELL_327,48,GM,3082528
CELL_0328,LIB_328,WELL_328,72,DM,2090021
CELL_0329,LIB_329,WELL_329,0,GM,3779003
CELL_0330,LIB_330,WELL_330,24,DM,2556644
CELL_0331,LIB_331,WELL_331,48,GM,3842812
CELL_0332,LIB_332,WELL_332,72,DM,3327120
CELL_0333,LIB_333,WELL_333,0,GM,4208666
CELL_0334,LIB_334,WELL_334,24,DM,4615422
CELL_0335,LIB_335,WELL_335,48,GM,3804114
CELL_0336,LIB_336,WELL_336,72,DM,1794009
CELL_0337,LIB_337,WELL_337,0,GM,3022694
CELL_0338,LIB_338,WELL_338,24,DM,3377201
CELL_0339,LIB_339,WELL_339,48,GM,4573000
CELL_0340,LIB_340,WELL_340,72,DM,3082607
CELL_0341,LIB_341,WELL_341,0,GM,2768079
CELL_0342,LIB_342,WELL_342,24,DM,2846273
CELL_0343,LIB_343,WELL_343,48,GM,4050367
CELL_0344,LIB_344,WELL_344,72,DM,1324748
CELL_0345,LIB_345,WELL_345,0,GM,3657889
CELL_0346,LIB_346,WELL_346,24,DM,3092408
CELL_0347,LIB_347,WELL_347,48,GM,2403218
CELL_0348,LIB_348,WELL_348,72,DM,2430033
CELL_0349,LIB_349,WELL_349,0,GM,4857586
CELL_0350,LIB_350,WELL_350,24,DM,4902922
CELL_0351,LIB_351,WELL_351,48,GM,2957021
CELL_0352,LIB_352,WELL_352,72,DM,2722032
CELL_0353,LIB_353,WELL_353,0,GM,4159901
CELL_0354,LIB_354,WELL_354,24,DM,1545405
CELL_0355,LIB_355,WELL_355,48,GM,4452783
CELL_0356,LIB_356,WELL_356,72,DM,2149279
CELL_0357,LIB_357,WELL_357,0,GM,1193500
CELL_0358,LIB_358,WELL_358,24,DM,1101506
CELL_0359,LIB_359,WELL_359,48,GM,4420757
CELL_0360,LIB_360,WELL_360,72,DM,1473901
CELL_0361,LIB_361,WELL_361,0,GM,4055148
CELL_0362,LIB_362,WELL_362,24,DM,1384513
CELL_0363,LIB_363,WELL_363,48,GM,2314484
CELL_0364,LIB_364,WELL_364,72,DM,4844828
CELL_0365,LIB_365,WELL_365,0,GM,4468003
CELL_0366,LIB_366,WELL_366,24,DM,2649143
CELL_0367,LIB_367,WELL_367,48,GM,1713593
CELL_0368,LIB_368,WELL_368,72,DM,2607104
CELL_0369,LIB_369,WELL_369,0,GM,4492230
CELL_0370,LIB_370,WELL_370,24,DM,2902233
CELL_0371,LIB_371,WELL_371,48,GM,1288613
CELL_0372,LIB_372,WELL_372,72,DM,3672692
CELL_0373,LIB_373,WELL_373,0,GM,4767881
CELL_0374,LIB_374,WELL_374,24,DM,2178585
CELL_0375,LIB_375,WELL_375,48,GM,1676677
CELL_0376,LIB_376,WELL_376,72,DM,4561431
CELL_0377,LIB_377,WELL_377,0,GM,1444168
CELL_0378,LIB_378,WELL_378,24,DM,2645285
CELL_0379,LIB_379,WELL_379,48,GM,1609157
CELL_0380,LIB_380,WELL_380,72,DM,4062896
CELL_0381,LIB_381,WELL_381,0,GM,4772581
CELL_0382,LIB_382,WELL_382,24,DM,4522899
CELL_0383,LIB_383,WELL_383,48,GM,2792601
CELL_0384,LIB_384,WELL_384,72,DM,1960724
CELL_0385,LIB_385,WELL_385,0,GM,3267478
CELL_0386,LIB_386,WELL_386,24,DM,2635246
CELL_0387,LIB_387,WELL_387,48,GM,4430354
CELL_0388,LIB_388,WELL_388,72,DM,3057523
CELL_0389,LIB_389,WELL_389,0,GM,1585373
CELL_0390,LIB_390,WELL_390,24,DM,3737273
CELL_0391,LIB_391,WELL_391,48,GM,3148319
CELL_0392,LIB_392,WELL_392,72,DM,1962259
CELL_0393,LIB_393,WELL_393,0,GM,4859150
CELL_0394,LIB_394,WELL_394,24,DM,4258821
CELL_0395,LIB_395,WELL_395,48,GM,4784946
CELL_0396,LIB_396,WELL_396,72,DM,1998816
CELL_0397,LIB_397,WELL_397,0,GM,1714979
CELL_0398,LIB_398,WELL_398,24,DM,1784531
CELL_0399,LIB_399,WELL_399,48,GM,3090970
CELL_0400,LIB_400,WELL_400,72,DM,3851599
CELL_0401,LIB_401,WELL_401,0,GM,1542992
CELL_0402,LIB_402,WELL_402,24,DM,4057446
CELL_0403,LIB_403,WELL_403,48,GM,2895576
CELL_0404,LIB_404,WELL_404,72,DM,4174320
CELL_0405,LIB_405,WELL_405,0,GM,4342340
CELL_0406,LIB_406,WELL_406,24,DM,3646830
CELL_0407,LIB_407,WELL_407,48,GM,4012172
CELL_0408,LIB_408,WELL_408,72,DM,1565511
CELL_0409,LIB_409,WELL_409,0,GM,2132264
CELL_0410,LIB_410,WELL_410,24,DM,4463390
CELL_0411,LIB_411,WELL_411,48,GM,1863177
CELL_0412,LIB_412,WELL_412,72,DM,2880415
CELL_0413,LIB_413,WELL_413,0,GM,4542448
CELL_0414,LIB_414,WELL_414,24,DM,3338524
CELL_0415,LIB_415,WELL_415,48,GM,2621878
CELL_0416,LIB_416,WELL_416,72,DM,1805768
CELL_0417,LIB_417,WELL_417,0,GM,3663436
CELL_0418,LIB_418,WELL_418,24,DM,2258956
CELL_0419,LIB_419,WELL_419,48,GM,2898377
CELL_0420,LIB_420,WELL_420,72,DM,4969120
CELL_0421,LIB_421,WELL_421,0,GM,2900381
CELL_0422,LIB_422,WELL_422,24,DM,3987747
CELL_0423,LIB_423,WELL_423,48,GM,2388816
CELL_0424,LIB_424,WELL_424,72,DM,2321705
CELL_0425,LIB_425,WELL_425,0,GM,4573046
CELL_0426,LIB_426,WELL_426,24,DM,3024729
CELL_0427,LIB_427,WELL_427,48,GM,2587964
CELL_0428,LIB_428,WELL_428,72,DM,2931658
CELL_0429,LIB_429,WELL_429,0,GM,2270214
CELL_0430,LIB_430,WELL_430,24,DM,3856132
CELL_0431,LIB_431,WELL_431,48,GM,1520057
CELL_0432,LIB_432,WELL_432,72,DM,3243583
CELL_0433,LIB_433,WELL_433,0,GM,4783479
CELL_0434,LIB_434,WELL_434,24,DM,2420848
CELL_0435,LIB_435,WELL_435,48,GM,1892068
CELL_0436,LIB_436,WELL_436,72,DM,3298369
CELL_0437,LIB_437,WELL_437,0,GM,2316530
CELL_0438,LIB_438,WELL_438,24,DM,3450395
CELL_0439,LIB_439,WELL_439,48,GM,1880225
CELL_0440,LIB_440,WELL_440,72,DM,3005142
CELL_0441,LIB_441,WELL_441,0,GM,1286575
CELL_0442,LIB_442,WELL_442,24,DM,1901189
CELL_0443,LIB_443,WELL_443,48,GM,2783433
CELL_0444,LIB_444,WELL_444,72,DM,4920801
CELL_0445,LIB_445,WELL_445,0,GM,1063433
CELL_0446,LIB_446,WELL_446,24,DM,1589751
CELL_0447,LIB_447,WELL_447,48,GM,4079660
CELL_0448,LIB_448,WELL_448,72,DM,2741386
CELL_0449,LIB_449,WELL_449,0,GM,1423201
CELL_0450,LIB_450,WELL_450,24,DM,2891839
CELL_0451,LIB_451,WELL_451,48,GM,1636906
CELL_0452,LIB_452,WELL_452,72,DM,3336265
CELL_0453,LIB_453,WELL_453,0,GM,1844335
CELL_0454,LIB_454,WELL_454,24,DM,3095755
CELL_0455,LIB_455,WELL_455,48,GM,4142627
CELL_0456,LIB_456,WELL_456,72,DM,2813945
CELL_0457,LIB_457,WELL_457,0,GM,2365902
CELL_0458,LIB_458,WELL_458,24,DM,4104906
CELL_0459,LIB_459,WELL_459,48,GM,1765099
CELL_0460,LIB_460,WELL_460,72,DM,3482864
CELL_0461,LIB_461,WELL_461,0,GM,2612734
CELL_0462,LIB_462,WELL_462,24,DM,3890454
CELL_0463,LIB_463,WELL_463,48,GM,1572865
CELL_0464,LIB_464,WELL_464,72,DM,4134932
CELL_0465,LIB_465,WELL_465,0,GM,4589358
CELL_0466,LIB_466,WELL_466,24,DM,3705137
CELL_0467,LIB_467,WELL_467,48,GM,1182074
CELL_0468,LIB_468,WELL_468,72,DM,3179150
CELL_0469,LIB_469,WELL_469,0,GM,3177343
CELL_0470,LIB_470,WELL_470,24,DM,2571599
CELL_0471,LIB_471,WELL_471,48,GM,3387660
CELL_0472,LIB_472,WELL_472,72,DM,2636784
CELL_0473,LIB_473,WELL_473,0,GM,2942269
CELL_0474,LIB_474,WELL_474,24,DM,4632121
CELL_0475,LIB_475,WELL_475,48,GM,1599387
CELL_0476,LIB_476,WELL_476,72,DM,2217250
CELL_0477,LIB_477,WELL_477,0,GM,2347223
CELL_0478,LIB_478,WELL_478,24,DM,4549000
CELL_0479,LIB_479,WELL_479,48,GM,4553501
CELL_0480,LIB_480,WELL_480,72,DM,2095056
CELL_0481,LIB_481,WELL_481,0,GM,3969661
CELL_0482,LIB_482,WELL_482,24,DM,2522012
CELL_0483,LIB_483,WELL_483,48,GM,2346121
CELL_0484,LIB_484,WELL_484,72,DM,1871582
CELL_0485,LIB_485,WELL_485,0,GM,3470638
CELL_0486,LIB_486,WELL_486,24,DM,3200221
CELL_0487,LIB_487,WELL_487,48,GM,3243495
CELL_0488,LIB_488,WELL_488,72,DM,4999570
CELL_0489,LIB_489,WELL_489,0,GM,1915121
CELL_0490,LIB_490,WELL_490,24,DM,4137515
CELL_0491,LIB_491,WELL_491,48,GM,1498578
CELL_0492,LIB_492,WELL_492,72,DM,4919639
CELL_0493,LIB_493,WELL_493,0,GM,1850172
CELL_0494,LIB_494,WELL_494,24,DM,1227149
CELL_0495,LIB_495,WELL_495,48,GM,2674046
CELL_0496,LIB_496,WELL_496,72,DM,2533893
CELL_0497,LIB_497,WELL_497,0,GM,1386223
CELL_0498,LIB_498,WELL_498,24,DM,1732407
