gene1	gene2
G1009	G3724
G1009	G3729
G1009	G3762
G1009	G3763
G1009	G3772
G1009	G3791
G1009	G3802
G1009	G3818
G1009	G3826
G1009	G3830
G1009	G3837
G1009	G384
G1009	G3845
G1009	G3853
G1009	G3860
G1009	G3861
G1009	G3869
G1009	G387
G1009	G3889
G1009	G3901
G1009	G3909
G1009	G3911
G1009	G3945
G1009	G3947
G1009	G3961
G1009	G3969
G1009	G3981
G1009	G399
G1009	G4007
G1009	G4048
G1009	G405
G1009	G407
G1009	G4075
G1009	G4077
G1009	G4088
G1009	G4095
G1009	G4103
G1009	G4104
G1009	G4116
G1009	G4160
G1009	G4163
G1009	G4165
G1009	G4171
G1009	G4172
G1009	G4176
G1009	G4183
G1009	G4189
G1009	G4190
G1009	G420
G1009	G4200
G1009	G4219
G1009	G4223
G1009	G423
G1009	G4234
G1009	G4238
G1009	G4248
G1009	G4254
G1009	G4265
G1009	G4272
G1009	G4281
G1009	G4295
G1009	G4300
G1009	G4301
G1009	G4314
G1009	G4321
G1009	G4322
G1009	G433
G1009	G4344
G1009	G4352
G1009	G4371
G1009	G4388
G1009	G4406
G1009	G4421
G1009	G4423
G1009	G4447
G1009	G4461
G1009	G4466
G1009	G4467
G1009	G4473
G1009	G4475
G1009	G4486
G1009	G4491
G1009	G451
G1009	G455
G1009	G472
G1009	G473
G1009	G474
G1009	G489
G1009	G490
G1009	G499
G1009	G500
G1009	G513
G1009	G522
G1009	G550
G1009	G575
G1009	G585
G1009	G598
G1009	G611
G1009	G628
G1009	G629
G1009	G635
G1009	G636
G1009	G657
G1009	G662
G1009	G675
G1009	G676
G1009	G716
G1009	G724
G1009	G728
G1009	G75
G1009	G753
G1009	G755
G1009	G775
G1009	G778
G1009	G785
G1009	G788
G1009	G800
G1009	G801
G1009	G804
G1009	G809
G1009	G810
G1009	G826
G1009	G845
G1009	G862
G1009	G87
G1009	G882
G1009	G883
G1009	G890
G1009	G894
G1009	G900
G1009	G918
G1009	G921
G1009	G943
G1009	G960
G1009	G972
G1009	G979
G1009	G982
G1009	G992
G1009	G999
G101	G3486
G1010	G1013
G1010	G1052
G1010	G1078
G1010	G113
G1010	G1209
G1010	G1281
G1010	G1317
G1010	G1328
G1010	G1355
G1010	G1371
G1010	G1373
G1010	G1378
G1010	G1395
G1010	G1524
G1010	G1533
G1010	G1538
G1010	G156
G1010	G1561
G1010	G1652
G1010	G1679
G1010	G1726
G1010	G1744
G1010	G1817
G1010	G1820
G1010	G1821
G1010	G1864
G1010	G1878
G1010	G199
G1010	G1995
G1010	G1996
G1010	G200
G1010	G2005
G1010	G2028
G1010	G2049
G1010	G2055
G1010	G2124
G1010	G2141
G1010	G2151
G1010	G2162
G1010	G2186
G1010	G2223
G1010	G2230
G1010	G2239
G1010	G2290
G1010	G2295
G1010	G231
G1010	G2335
G1010	G2337
G1010	G2356
G1010	G2403
G1010	G2415
G1010	G2503
G1010	G2517
G1010	G2552
G1010	G2567
G1010	G2574
G1010	G2674
G1010	G2684
G1010	G2686
G1010	G2691
G1010	G2702
G1010	G2706
G1010	G2716
G1010	G2750
G1010	G2859
G1010	G2874
G1010	G292
G1010	G2943
G1010	G3007
G1010	G3048
G1010	G3082
G1010	G3103
G1010	G3123
G1010	G3143
G1010	G3148
G1010	G3227
G1010	G3228
G1010	G3310
G1010	G3317
G1010	G3388
G1010	G3409
G1010	G3458
G1010	G3478
G1010	G3489
G1010	G349
G1010	G3501
G1010	G3508
G1010	G3521
G1010	G3525
G1010	G3537
G1010	G3555
G1010	G3580
G1010	G3669
G1010	G3671
G1010	G3682
G1010	G3694
G1010	G3696
G1010	G372
G1010	G3744
G1010	G3760
G1010	G378
G1010	G3811
G1010	G3873
G1010	G3897
G1010	G3920
G1010	G3922
G1010	G3928
G1010	G3929
G1010	G3934
G1010	G3941
G1010	G401
G1010	G4023
G1010	G4029
G1010	G4031
G1010	G4034
G1010	G4088
G1010	G409
G1010	G4108
G1010	G412
G1010	G4129
G1010	G4226
G1010	G4245
G1010	G4275
G1010	G4291
G1010	G4294
G1010	G4333
G1010	G4359
G1010	G4433
G1010	G4461
G1010	G4468
G1010	G4474
G1010	G5
G1010	G514
G1010	G542
G1010	G544
G1010	G567
G1010	G599
G1010	G606
G1010	G625
G1010	G627
G1010	G629
G1010	G637
G1010	G652
G1010	G654
G1010	G706
G1010	G739
G1010	G750
G1010	G751
G1010	G753
G1010	G758
G1010	G768
G1010	G772
G1010	G785
G1010	G808
G1010	G809
G1010	G811
G1010	G825
G1010	G833
G1010	G872
G1010	G901
G1010	G959
G1010	G983
G1010	G990
G1012	G1013
G1012	G1065
G1012	G1143
G1012	G1147
G1012	G1164
G1012	G1310
G1012	G1352
G1012	G1355
G1012	G1360
G1012	G1373
G1012	G1465
G1012	G1484
G1012	G1527
G1012	G1531
G1012	G1540
G1012	G1606
G1012	G1626
G1012	G1706
G1012	G179
G1012	G1813
G1012	G1838
G1012	G1849
G1012	G1888
G1012	G1911
G1012	G1994
G1012	G2005
G1012	G2049
G1012	G2132
G1012	G2159
G1012	G2186
G1012	G2198
G1012	G2247
G1012	G231
G1012	G2335
G1012	G2405
G1012	G2415
G1012	G2428
G1012	G2577
G1012	G2683
G1012	G2716
G1012	G2717
G1012	G2733
G1012	G274
G1012	G276
G1012	G2771
G1012	G2827
G1012	G2850
G1012	G2852
G1012	G2874
G1012	G291
G1012	G2927
G1012	G2939
G1012	G2975
G1012	G3009
G1012	G3017
G1012	G3081
G1012	G3103
G1012	G3135
G1012	G3143
G1012	G3168
G1012	G3250
G1012	G3300
G1012	G3381
G1012	G3389
G1012	G3393
G1012	G3413
G1012	G3420
G1012	G3465
G1012	G3495
G1012	G3593
G1012	G361
G1012	G3664
G1012	G3669
G1012	G3690
G1012	G3696
G1012	G37
G1012	G3709
G1012	G3724
G1012	G3845
G1012	G3919
G1012	G3920
G1012	G3945
G1012	G3993
G1012	G4031
G1012	G4042
G1012	G4095
G1012	G412
G1012	G4148
G1012	G4160
G1012	G4223
G1012	G4321
G1012	G4348
G1012	G4352
G1012	G4406
G1012	G4433
G1012	G4461
G1012	G489
G1012	G523
G1012	G563
G1012	G614
G1012	G629
G1012	G753
G1012	G758
G1012	G775
G1012	G778
G1012	G816
G1012	G827
G1012	G859
G1012	G862
G1012	G87
G1012	G894
G1012	G981
G1012	G983
G1013	G1281
G1013	G1317
G1013	G1352
G1013	G1355
G1013	G1360
G1013	G1371
G1013	G1373
G1013	G1393
G1013	G1395
G1013	G1531
G1013	G1533
G1013	G1538
G1013	G156
G1013	G1582
G1013	G175
G1013	G1811
G1013	G1813
G1013	G1820
G1013	G1838
G1013	G1864
G1013	G1888
G1013	G1964
G1013	G1996
G1013	G2005
G1013	G2049
G1013	G206
G1013	G2095
G1013	G2124
G1013	G2131
G1013	G2132
G1013	G2141
G1013	G2151
G1013	G2162
G1013	G2186
G1013	G2198
G1013	G2251
G1013	G2290
G1013	G231
G1013	G236
G1013	G2415
G1013	G2428
G1013	G2503
G1013	G2517
G1013	G2521
G1013	G2552
G1013	G2574
G1013	G2577
G1013	G2691
G1013	G2702
G1013	G292
G1013	G2925
G1013	G2998
G1013	G301
G1013	G3016
G1013	G3082
G1013	G3100
G1013	G3101
G1013	G3137
G1013	G3228
G1013	G3284
G1013	G3317
G1013	G3388
G1013	G3389
G1013	G3409
G1013	G35
G1013	G3500
G1013	G3508
G1013	G3521
G1013	G3537
G1013	G3544
G1013	G3580
G1013	G3669
G1013	G37
G1013	G372
G1013	G3726
G1013	G3782
G1013	G3876
G1013	G3897
G1013	G392
G1013	G3934
G1013	G3946
G1013	G3993
G1013	G401
G1013	G4031
G1013	G406
G1013	G4061
G1013	G4093
G1013	G4104
G1013	G4108
G1013	G412
G1013	G4151
G1013	G4226
G1013	G424
G1013	G4245
G1013	G4250
G1013	G4260
G1013	G4275
G1013	G4291
G1013	G4294
G1013	G4359
G1013	G4418
G1013	G4433
G1013	G4468
G1013	G468
G1013	G514
G1013	G52
G1013	G520
G1013	G542
G1013	G563
G1013	G567
G1013	G739
G1013	G751
G1013	G758
G1013	G768
G1013	G772
G1013	G833
G1013	G859
G1013	G894
G1013	G983
G1016	G1142
G1016	G1509
G1016	G1620
G1016	G1696
G1016	G1731
G1016	G1971
G1016	G2236
G1016	G2264
G1016	G2354
G1016	G2371
G1016	G2447
G1016	G2617
G1016	G268
G1016	G2729
G1016	G2952
G1016	G3118
G1016	G333
G1016	G3502
G1016	G39
G1016	G4037
G1016	G4064
G1016	G478
G1016	G539
G1016	G540
G1017	G2183
G1017	G858
G1018	G1351
G1018	G1400
G1018	G1716
G1018	G1841
G1018	G2148
G1018	G2427
G1018	G2564
G1018	G2632
G1018	G2864
G1018	G3324
G1018	G3400
G1018	G464
G1018	G836
G1018	G942
G1019	G1580
G1019	G2470
G102	G1368
G102	G2348
G102	G2958
G102	G31
G102	G3126
G102	G3153
G102	G3783
G102	G931
G1020	G1050
G1020	G1065
G1020	G1138
G1020	G1209
G1020	G1321
G1020	G1328
G1020	G1355
G1020	G1443
G1020	G1540
G1020	G1621
G1020	G1624
G1020	G1729
G1020	G1736
G1020	G1763
G1020	G1816
G1020	G1817
G1020	G1821
G1020	G1838
G1020	G1869
G1020	G1913
G1020	G1958
G1020	G2005
G1020	G2049
G1020	G2055
G1020	G2223
G1020	G2230
G1020	G2346
G1020	G2405
G1020	G2415
G1020	G2418
G1020	G2425
G1020	G2591
G1020	G2593
G1020	G2653
G1020	G2675
G1020	G2683
G1020	G2702
G1020	G2771
G1020	G2819
G1020	G2850
G1020	G291
G1020	G2927
G1020	G2975
G1020	G3068
G1020	G3102
G1020	G3127
G1020	G3178
G1020	G3182
G1020	G3215
G1020	G3280
G1020	G3388
G1020	G3420
G1020	G3555
G1020	G3566
G1020	G3580
G1020	G3666
G1020	G3677
G1020	G3682
G1020	G3696
G1020	G3718
G1020	G3945
G1020	G3969
G1020	G3989
G1020	G4004
G1020	G4031
G1020	G4088
G1020	G4095
G1020	G4104
G1020	G4108
G1020	G412
G1020	G4249
G1020	G4265
G1020	G430
G1020	G4321
G1020	G4333
G1020	G4406
G1020	G4418
G1020	G4461
G1020	G4468
G1020	G586
G1020	G599
G1020	G652
G1020	G654
G1020	G662
G1020	G739
G1020	G758
G1020	G785
G1020	G794
G1020	G809
G1020	G825
G1020	G843
G1020	G87
G1020	G921
G1020	G983
G1022	G1052
G1022	G106
G1022	G1078
G1022	G1163
G1022	G1207
G1022	G1311
G1022	G1317
G1022	G1321
G1022	G1355
G1022	G1360
G1022	G1379
G1022	G1515
G1022	G1529
G1022	G1531
G1022	G1540
G1022	G1575
G1022	G158
G1022	G1679
G1022	G1721
G1022	G1817
G1022	G182
G1022	G1820
G1022	G1821
G1022	G1838
G1022	G184
G1022	G1853
G1022	G1868
G1022	G1878
G1022	G1945
G1022	G1955
G1022	G1994
G1022	G1996
G1022	G200
G1022	G2005
G1022	G2029
G1022	G2049
G1022	G206
G1022	G2151
G1022	G2186
G1022	G2223
G1022	G2230
G1022	G2239
G1022	G2240
G1022	G2295
G1022	G231
G1022	G2351
G1022	G236
G1022	G2415
G1022	G2425
G1022	G2454
G1022	G2539
G1022	G2574
G1022	G2577
G1022	G2593
G1022	G2667
G1022	G2702
G1022	G2706
G1022	G2790
G1022	G2840
G1022	G2867
G1022	G2888
G1022	G2995
G1022	G301
G1022	G3041
G1022	G3068
G1022	G3127
G1022	G3135
G1022	G3137
G1022	G3148
G1022	G3264
G1022	G3388
G1022	G3392
G1022	G3405
G1022	G3423
G1022	G3536
G1022	G3537
G1022	G3555
G1022	G3576
G1022	G3580
G1022	G3645
G1022	G3666
G1022	G3669
G1022	G3671
G1022	G3694
G1022	G3713
G1022	G372
G1022	G3774
G1022	G3858
G1022	G3883
G1022	G3897
G1022	G3923
G1022	G3928
G1022	G3946
G1022	G3969
G1022	G3989
G1022	G4004
G1022	G4023
G1022	G4031
G1022	G4060
G1022	G4061
G1022	G409
G1022	G4104
G1022	G4108
G1022	G412
G1022	G4151
G1022	G4245
G1022	G4264
G1022	G4267
G1022	G4273
G1022	G4275
G1022	G4291
G1022	G4294
G1022	G4321
G1022	G4333
G1022	G4461
G1022	G4468
G1022	G4500
G1022	G496
G1022	G5
G1022	G514
G1022	G516
G1022	G553
G1022	G56
G1022	G586
G1022	G610
G1022	G625
G1022	G627
G1022	G739
G1022	G751
G1022	G758
G1022	G778
G1022	G794
G1022	G909
G1022	G921
G1022	G928
G1022	G959
G1022	G983
G1022	G993
G1023	G1045
G1023	G1049
G1023	G1065
G1023	G1089
G1023	G113
G1023	G1138
