Gene1	Gene2	Type	Strength	Correlation	Score	Source	Region
6.9423	6.7092	eRegulon	0.7797916904094297	0.3352211944921679	0.2614027019141158	eRegulon	chr3:125000-126000
6.6246	6.5812	eRegulon	0.4934658907052556	0.5281474811825029	0.260622767225461	eRegulon	chr3:317000-318000
6.7691	6.6327	eRegulon	0.8065375534784972	0.3196604471867952	0.2578181550178802	eRegulon	chr4:328000-329000
7.031	7.581	TF_regulation	0.4458052632908437	0.5774916453700629	0.2574488150124634	TF_to_gene	
7.3854	8.016	TF_regulation	0.5089200915229464	0.5042916208030753	0.25664413781335604	TF_to_gene	
7.1474	7.7375	eRegulon	0.8275143616205899	0.3098960115823368	0.2564434001933244	eRegulon	chr2:10000-11000
7.327	9.9524	eRegulon	0.8754696902202864	0.2894595603676481	0.2534130716463652	eRegulon	chr1:0-1000
7.1287	9.9524	eRegulon	0.8754696902202864	0.2894595603676481	0.2534130716463652	eRegulon	chr1:0-1000
7.1287	7.9043	TF_regulation	1.299213169626188	0.1945679529407194	0.252785246847791	TF_to_gene	
7.3695	7.0855	TF_regulation	0.4021897640083889	0.6270014331462839	0.25217355843002554	TF_to_gene	
7.2791	6.8425	eRegulon	0.80533117321641	0.3131113899737134	0.2521583630349515	eRegulon	chr4:293000-294000
7.186	7.7121	TF_regulation	0.3483972876526858	0.7224699418971507	0.2517065681675608	TF_to_gene	
8.5945	6.8622	TF_regulation	0.4483167651205778	0.5550827539894808	0.24885290464278553	TF_to_gene	
6.7691	7.1277	eRegulon	0.6223912061876439	0.3980621014675751	0.2477503514699923	eRegulon	chr3:144000-145000
6.7521	6.8892	eRegulon	0.5862773752167483	0.4219979619770985	0.2474078574947504	eRegulon	chr2:469000-470000
6.6822	6.8892	eRegulon	0.5862773752167483	0.4219979619770985	0.2474078574947504	eRegulon	chr2:469000-470000
6.7057	6.8892	eRegulon	0.5862773752167483	0.4219979619770985	0.2474078574947504	eRegulon	chr2:469000-470000
6.6822	7.2304	TF_regulation	0.6405143655334483	0.3804713652642484	0.24369737512587494	TF_to_gene	
