Regulator	Target	Edge_Value	Source	Gold_Standard_Value
G188	G1768	1	IEntropy_True_Positive	1
G4	G1768	1	IEntropy_True_Positive	1
G197	G1768	1	IEntropy_True_Positive	1
G10	G1768	1	IEntropy_True_Positive	1
G23	G1768	1	IEntropy_True_Positive	1
G113	G1768	1	IEntropy_True_Positive	1
G183	G1768	1	IEntropy_True_Positive	1
G73	G1768	1	IEntropy_True_Positive	1
G151	G1768	1	IEntropy_True_Positive	1
G92	G1768	1	IEntropy_True_Positive	1
G281	G1768	1	IEntropy_True_Positive	1
G150	G1768	1	IEntropy_True_Positive	1
G244	G1768	1	IEntropy_True_Positive	1
G167	G1768	1	IEntropy_True_Positive	1
G19	G1768	1	IEntropy_True_Positive	1
G145	G1768	1	IEntropy_True_Positive	1
G22	G1768	1	IEntropy_True_Positive	1
G178	G1768	1	IEntropy_True_Positive	1
G209	G1768	1	IEntropy_True_Positive	1
G313	G1768	1	IEntropy_True_Positive	1
G31	G1768	1	IEntropy_True_Positive	1
G57	G1768	1	IEntropy_True_Positive	1
G277	G1768	1	IEntropy_True_Positive	1
G192	G1768	1	IEntropy_True_Positive	1
G305	G1768	1	IEntropy_True_Positive	1
G280	G1768	1	IEntropy_True_Positive	1
G268	G1768	1	IEntropy_True_Positive	1
G315	G1768	1	IEntropy_True_Positive	1
G48	G1768	1	IEntropy_True_Positive	1
G208	G1768	1	IEntropy_True_Positive	1
G55	G1768	1	IEntropy_True_Positive	1
G162	G1768	1	IEntropy_True_Positive	1
G193	G1768	1	IEntropy_True_Positive	1
G69	G1768	1	IEntropy_True_Positive	1
G282	G1768	1	IEntropy_True_Positive	1
G278	G1768	1	IEntropy_True_Positive	1
G264	G1768	1	IEntropy_True_Positive	1
G210	G1768	1	IEntropy_True_Positive	1
G328	G1768	1	IEntropy_True_Positive	1
G333	G1768	1	IEntropy_True_Positive	1
G125	G1768	1	IEntropy_True_Positive	1
G176	G1768	1	IEntropy_True_Positive	1
G121	G1768	1	IEntropy_True_Positive	1
G84	G1768	1	IEntropy_True_Positive	1
G202	G1768	1	IEntropy_True_Positive	1
G140	G1768	1	IEntropy_True_Positive	1
G66	G1768	1	IEntropy_True_Positive	1
G6	G1768	1	IEntropy_True_Positive	1
G168	G1768	1	IEntropy_True_Positive	1
G199	G1768	1	IEntropy_True_Positive	1
G220	G1768	1	IEntropy_True_Positive	1
G179	G1768	1	IEntropy_True_Positive	1
G86	G1768	1	IEntropy_True_Positive	1
G207	G1768	1	IEntropy_True_Positive	1
G235	G1768	1	IEntropy_True_Positive	1
G82	G1768	1	IEntropy_True_Positive	1
G323	G1768	1	IEntropy_True_Positive	1
G172	G1768	1	IEntropy_True_Positive	1
G259	G1891	1	IEntropy_True_Positive	1
G7	G1891	1	IEntropy_True_Positive	1
G76	G1891	1	IEntropy_True_Positive	1
G13	G1891	1	IEntropy_True_Positive	1
G187	G1891	1	IEntropy_True_Positive	1
G110	G1891	1	IEntropy_True_Positive	1
G309	G1891	1	IEntropy_True_Positive	1
G11	G1891	1	IEntropy_True_Positive	1
G254	G1891	1	IEntropy_True_Positive	1
G284	G1891	1	IEntropy_True_Positive	1
G219	G1891	1	IEntropy_True_Positive	1
G116	G1891	1	IEntropy_True_Positive	1
G36	G1891	1	IEntropy_True_Positive	1
G299	G1891	1	IEntropy_True_Positive	1
G89	G1891	1	IEntropy_True_Positive	1
G138	G1891	1	IEntropy_True_Positive	1
G216	G1891	1	IEntropy_True_Positive	1
G332	G1891	1	IEntropy_True_Positive	1
G188	G1891	1	IEntropy_True_Positive	1
G4	G1891	1	IEntropy_True_Positive	1
G197	G1891	1	IEntropy_True_Positive	1
G10	G1891	1	IEntropy_True_Positive	1
G23	G1891	1	IEntropy_True_Positive	1
G113	G1891	1	IEntropy_True_Positive	1
G183	G1891	1	IEntropy_True_Positive	1
G73	G1891	1	IEntropy_True_Positive	1
G151	G1891	1	IEntropy_True_Positive	1
G92	G1891	1	IEntropy_True_Positive	1
G281	G1891	1	IEntropy_True_Positive	1
G150	G1891	1	IEntropy_True_Positive	1
G244	G1891	1	IEntropy_True_Positive	1
G167	G1891	1	IEntropy_True_Positive	1
G19	G1891	1	IEntropy_True_Positive	1
G145	G1891	1	IEntropy_True_Positive	1
G22	G1891	1	IEntropy_True_Positive	1
G178	G1891	1	IEntropy_True_Positive	1
G209	G1891	1	IEntropy_True_Positive	1
G313	G1891	1	IEntropy_True_Positive	1
G31	G1891	1	IEntropy_True_Positive	1
G57	G1891	1	IEntropy_True_Positive	1
G277	G1891	1	IEntropy_True_Positive	1
G192	G1891	1	IEntropy_True_Positive	1
G305	G1891	1	IEntropy_True_Positive	1
G280	G1891	1	IEntropy_True_Positive	1
G268	G1891	1	IEntropy_True_Positive	1
G315	G1891	1	IEntropy_True_Positive	1
G48	G1891	1	IEntropy_True_Positive	1
G208	G1891	1	IEntropy_True_Positive	1
G55	G1891	1	IEntropy_True_Positive	1
G162	G1891	1	IEntropy_True_Positive	1
G193	G1891	1	IEntropy_True_Positive	1
G69	G1891	1	IEntropy_True_Positive	1
G282	G1891	1	IEntropy_True_Positive	1
G278	G1891	1	IEntropy_True_Positive	1
G264	G1891	1	IEntropy_True_Positive	1
G210	G1891	1	IEntropy_True_Positive	1
G328	G1891	1	IEntropy_True_Positive	1
G333	G1891	1	IEntropy_True_Positive	1
G125	G1891	1	IEntropy_True_Positive	1
G176	G1891	1	IEntropy_True_Positive	1
G121	G1891	1	IEntropy_True_Positive	1
G84	G1891	1	IEntropy_True_Positive	1
G202	G1891	1	IEntropy_True_Positive	1
G140	G1891	1	IEntropy_True_Positive	1
G66	G1891	1	IEntropy_True_Positive	1
G6	G1891	1	IEntropy_True_Positive	1
G168	G1891	1	IEntropy_True_Positive	1
G199	G1891	1	IEntropy_True_Positive	1
G220	G1891	1	IEntropy_True_Positive	1
G179	G1891	1	IEntropy_True_Positive	1
G86	G1891	1	IEntropy_True_Positive	1
G207	G1891	1	IEntropy_True_Positive	1
G235	G1891	1	IEntropy_True_Positive	1
G82	G1891	1	IEntropy_True_Positive	1
G323	G1891	1	IEntropy_True_Positive	1
G172	G1891	1	IEntropy_True_Positive	1
G259	G525	1	IEntropy_True_Positive	1
G7	G525	1	IEntropy_True_Positive	1
G76	G525	1	IEntropy_True_Positive	1
G13	G525	1	IEntropy_True_Positive	1
G187	G525	1	IEntropy_True_Positive	1
G110	G525	1	IEntropy_True_Positive	1
G309	G525	1	IEntropy_True_Positive	1
G11	G525	1	IEntropy_True_Positive	1
G254	G525	1	IEntropy_True_Positive	1
G284	G525	1	IEntropy_True_Positive	1
G219	G525	1	IEntropy_True_Positive	1
G116	G525	1	IEntropy_True_Positive	1
G36	G525	1	IEntropy_True_Positive	1
G299	G525	1	IEntropy_True_Positive	1
G89	G525	1	IEntropy_True_Positive	1
G138	G525	1	IEntropy_True_Positive	1
G216	G525	1	IEntropy_True_Positive	1
G332	G525	1	IEntropy_True_Positive	1
G188	G525	1	IEntropy_True_Positive	1
G4	G525	1	IEntropy_True_Positive	1
G197	G525	1	IEntropy_True_Positive	1
G10	G525	1	IEntropy_True_Positive	1
G23	G525	1	IEntropy_True_Positive	1
G113	G525	1	IEntropy_True_Positive	1
G183	G525	1	IEntropy_True_Positive	1
G73	G525	1	IEntropy_True_Positive	1
G151	G525	1	IEntropy_True_Positive	1
G92	G525	1	IEntropy_True_Positive	1
G281	G525	1	IEntropy_True_Positive	1
G150	G525	1	IEntropy_True_Positive	1
G244	G525	1	IEntropy_True_Positive	1
G167	G525	1	IEntropy_True_Positive	1
G19	G525	1	IEntropy_True_Positive	1
G145	G525	1	IEntropy_True_Positive	1
G22	G525	1	IEntropy_True_Positive	1
G178	G525	1	IEntropy_True_Positive	1
G209	G525	1	IEntropy_True_Positive	1
G313	G525	1	IEntropy_True_Positive	1
G31	G525	1	IEntropy_True_Positive	1
G57	G525	1	IEntropy_True_Positive	1
G277	G525	1	IEntropy_True_Positive	1
G192	G525	1	IEntropy_True_Positive	1
G305	G525	1	IEntropy_True_Positive	1
G280	G525	1	IEntropy_True_Positive	1
G268	G525	1	IEntropy_True_Positive	1
G315	G525	1	IEntropy_True_Positive	1
G48	G525	1	IEntropy_True_Positive	1
G208	G525	1	IEntropy_True_Positive	1
G55	G525	1	IEntropy_True_Positive	1
G162	G525	1	IEntropy_True_Positive	1
G193	G525	1	IEntropy_True_Positive	1
G69	G525	1	IEntropy_True_Positive	1
G282	G525	1	IEntropy_True_Positive	1
G278	G525	1	IEntropy_True_Positive	1
G264	G525	1	IEntropy_True_Positive	1
G210	G525	1	IEntropy_True_Positive	1
G328	G525	1	IEntropy_True_Positive	1
G333	G525	1	IEntropy_True_Positive	1
G125	G525	1	IEntropy_True_Positive	1
G176	G525	1	IEntropy_True_Positive	1
G121	G525	1	IEntropy_True_Positive	1
G84	G525	1	IEntropy_True_Positive	1
G202	G525	1	IEntropy_True_Positive	1
G140	G525	1	IEntropy_True_Positive	1
G66	G525	1	IEntropy_True_Positive	1
G6	G525	1	IEntropy_True_Positive	1
G168	G525	1	IEntropy_True_Positive	1
G199	G525	1	IEntropy_True_Positive	1
G220	G525	1	IEntropy_True_Positive	1
G179	G525	1	IEntropy_True_Positive	1
G86	G525	1	IEntropy_True_Positive	1
G207	G525	1	IEntropy_True_Positive	1
G235	G525	1	IEntropy_True_Positive	1
G82	G525	1	IEntropy_True_Positive	1
G323	G525	1	IEntropy_True_Positive	1
G172	G525	1	IEntropy_True_Positive	1
G259	G4271	1	IEntropy_True_Positive	1
G7	G4271	1	IEntropy_True_Positive	1
G76	G4271	1	IEntropy_True_Positive	1
G13	G4271	1	IEntropy_True_Positive	1
G187	G4271	1	IEntropy_True_Positive	1
G110	G4271	1	IEntropy_True_Positive	1
G309	G4271	1	IEntropy_True_Positive	1
G11	G4271	1	IEntropy_True_Positive	1
G254	G4271	1	IEntropy_True_Positive	1
G284	G4271	1	IEntropy_True_Positive	1
G219	G4271	1	IEntropy_True_Positive	1
G116	G4271	1	IEntropy_True_Positive	1
G36	G4271	1	IEntropy_True_Positive	1
G299	G4271	1	IEntropy_True_Positive	1
G89	G4271	1	IEntropy_True_Positive	1
G138	G4271	1	IEntropy_True_Positive	1
G216	G4271	1	IEntropy_True_Positive	1
G332	G4271	1	IEntropy_True_Positive	1
G188	G4271	1	IEntropy_True_Positive	1
G4	G4271	1	IEntropy_True_Positive	1
G197	G4271	1	IEntropy_True_Positive	1
G10	G4271	1	IEntropy_True_Positive	1
G23	G4271	1	IEntropy_True_Positive	1
G113	G4271	1	IEntropy_True_Positive	1
G183	G4271	1	IEntropy_True_Positive	1
G73	G4271	1	IEntropy_True_Positive	1
G151	G4271	1	IEntropy_True_Positive	1
G92	G4271	1	IEntropy_True_Positive	1
G281	G4271	1	IEntropy_True_Positive	1
G150	G4271	1	IEntropy_True_Positive	1
G244	G4271	1	IEntropy_True_Positive	1
G167	G4271	1	IEntropy_True_Positive	1
G19	G4271	1	IEntropy_True_Positive	1
G145	G4271	1	IEntropy_True_Positive	1
G22	G4271	1	IEntropy_True_Positive	1
G178	G4271	1	IEntropy_True_Positive	1
G209	G4271	1	IEntropy_True_Positive	1
G313	G4271	1	IEntropy_True_Positive	1
G31	G4271	1	IEntropy_True_Positive	1
G57	G4271	1	IEntropy_True_Positive	1
G277	G4271	1	IEntropy_True_Positive	1
G192	G4271	1	IEntropy_True_Positive	1
G305	G4271	1	IEntropy_True_Positive	1
G280	G4271	1	IEntropy_True_Positive	1
G268	G4271	1	IEntropy_True_Positive	1
G315	G4271	1	IEntropy_True_Positive	1
G48	G4271	1	IEntropy_True_Positive	1
G208	G4271	1	IEntropy_True_Positive	1
G55	G4271	1	IEntropy_True_Positive	1
G162	G4271	1	IEntropy_True_Positive	1
G193	G4271	1	IEntropy_True_Positive	1
G69	G4271	1	IEntropy_True_Positive	1
G282	G4271	1	IEntropy_True_Positive	1
G278	G4271	1	IEntropy_True_Positive	1
G264	G4271	1	IEntropy_True_Positive	1
G210	G4271	1	IEntropy_True_Positive	1
G328	G4271	1	IEntropy_True_Positive	1
G333	G4271	1	IEntropy_True_Positive	1
G125	G4271	1	IEntropy_True_Positive	1
G176	G4271	1	IEntropy_True_Positive	1
G121	G4271	1	IEntropy_True_Positive	1
G84	G4271	1	IEntropy_True_Positive	1
G202	G4271	1	IEntropy_True_Positive	1
G140	G4271	1	IEntropy_True_Positive	1
G66	G4271	1	IEntropy_True_Positive	1
G6	G4271	1	IEntropy_True_Positive	1
G168	G4271	1	IEntropy_True_Positive	1
G199	G4271	1	IEntropy_True_Positive	1
G220	G4271	1	IEntropy_True_Positive	1
G179	G4271	1	IEntropy_True_Positive	1
G86	G4271	1	IEntropy_True_Positive	1
G207	G4271	1	IEntropy_True_Positive	1
G235	G4271	1	IEntropy_True_Positive	1
G82	G4271	1	IEntropy_True_Positive	1
G323	G4271	1	IEntropy_True_Positive	1
G172	G4271	1	IEntropy_True_Positive	1
G259	G1792	1	IEntropy_True_Positive	1
G7	G1792	1	IEntropy_True_Positive	1
G76	G1792	1	IEntropy_True_Positive	1
G13	G1792	1	IEntropy_True_Positive	1
G187	G1792	1	IEntropy_True_Positive	1
G110	G1792	1	IEntropy_True_Positive	1
G309	G1792	1	IEntropy_True_Positive	1
G11	G1792	1	IEntropy_True_Positive	1
G254	G1792	1	IEntropy_True_Positive	1
G284	G1792	1	IEntropy_True_Positive	1
G219	G1792	1	IEntropy_True_Positive	1
G116	G1792	1	IEntropy_True_Positive	1
G36	G1792	1	IEntropy_True_Positive	1
G299	G1792	1	IEntropy_True_Positive	1
G89	G1792	1	IEntropy_True_Positive	1
G138	G1792	1	IEntropy_True_Positive	1
G216	G1792	1	IEntropy_True_Positive	1
G332	G1792	1	IEntropy_True_Positive	1
G188	G1792	1	IEntropy_True_Positive	1
G4	G1792	1	IEntropy_True_Positive	1
G197	G1792	1	IEntropy_True_Positive	1
G10	G1792	1	IEntropy_True_Positive	1
G23	G1792	1	IEntropy_True_Positive	1
G113	G1792	1	IEntropy_True_Positive	1
G183	G1792	1	IEntropy_True_Positive	1
G73	G1792	1	IEntropy_True_Positive	1
G151	G1792	1	IEntropy_True_Positive	1
G92	G1792	1	IEntropy_True_Positive	1
G281	G1792	1	IEntropy_True_Positive	1
G150	G1792	1	IEntropy_True_Positive	1
G244	G1792	1	IEntropy_True_Positive	1
G167	G1792	1	IEntropy_True_Positive	1
G19	G1792	1	IEntropy_True_Positive	1
G145	G1792	1	IEntropy_True_Positive	1
G22	G1792	1	IEntropy_True_Positive	1
G178	G1792	1	IEntropy_True_Positive	1
G209	G1792	1	IEntropy_True_Positive	1
G313	G1792	1	IEntropy_True_Positive	1
G31	G1792	1	IEntropy_True_Positive	1
G57	G1792	1	IEntropy_True_Positive	1
G277	G1792	1	IEntropy_True_Positive	1
G192	G1792	1	IEntropy_True_Positive	1
G305	G1792	1	IEntropy_True_Positive	1
G280	G1792	1	IEntropy_True_Positive	1
G268	G1792	1	IEntropy_True_Positive	1
G315	G1792	1	IEntropy_True_Positive	1
G48	G1792	1	IEntropy_True_Positive	1
G208	G1792	1	IEntropy_True_Positive	1
G55	G1792	1	IEntropy_True_Positive	1
G162	G1792	1	IEntropy_True_Positive	1
G193	G1792	1	IEntropy_True_Positive	1
G69	G1792	1	IEntropy_True_Positive	1
G282	G1792	1	IEntropy_True_Positive	1
G278	G1792	1	IEntropy_True_Positive	1
G264	G1792	1	IEntropy_True_Positive	1
G210	G1792	1	IEntropy_True_Positive	1
G328	G1792	1	IEntropy_True_Positive	1
G333	G1792	1	IEntropy_True_Positive	1
G125	G1792	1	IEntropy_True_Positive	1
G176	G1792	1	IEntropy_True_Positive	1
G121	G1792	1	IEntropy_True_Positive	1
G84	G1792	1	IEntropy_True_Positive	1
G202	G1792	1	IEntropy_True_Positive	1
G140	G1792	1	IEntropy_True_Positive	1
G66	G1792	1	IEntropy_True_Positive	1
G6	G1792	1	IEntropy_True_Positive	1
G168	G1792	1	IEntropy_True_Positive	1
G199	G1792	1	IEntropy_True_Positive	1
G220	G1792	1	IEntropy_True_Positive	1
G179	G1792	1	IEntropy_True_Positive	1
G86	G1792	1	IEntropy_True_Positive	1
G207	G1792	1	IEntropy_True_Positive	1
G235	G1792	1	IEntropy_True_Positive	1
G82	G1792	1	IEntropy_True_Positive	1
G323	G1792	1	IEntropy_True_Positive	1
G172	G1792	1	IEntropy_True_Positive	1
G259	G2327	1	IEntropy_True_Positive	1
G7	G2327	1	IEntropy_True_Positive	1
G76	G2327	1	IEntropy_True_Positive	1
G13	G2327	1	IEntropy_True_Positive	1
G187	G2327	1	IEntropy_True_Positive	1
G110	G2327	1	IEntropy_True_Positive	1
G309	G2327	1	IEntropy_True_Positive	1
G11	G2327	1	IEntropy_True_Positive	1
G254	G2327	1	IEntropy_True_Positive	1
G284	G2327	1	IEntropy_True_Positive	1
G219	G2327	1	IEntropy_True_Positive	1
G116	G2327	1	IEntropy_True_Positive	1
G36	G2327	1	IEntropy_True_Positive	1
G299	G2327	1	IEntropy_True_Positive	1
G89	G2327	1	IEntropy_True_Positive	1
G138	G2327	1	IEntropy_True_Positive	1
G216	G2327	1	IEntropy_True_Positive	1
G332	G2327	1	IEntropy_True_Positive	1
G188	G2327	1	IEntropy_True_Positive	1
G4	G2327	1	IEntropy_True_Positive	1
G197	G2327	1	IEntropy_True_Positive	1
G10	G2327	1	IEntropy_True_Positive	1
G23	G2327	1	IEntropy_True_Positive	1
G113	G2327	1	IEntropy_True_Positive	1
G183	G2327	1	IEntropy_True_Positive	1
G73	G2327	1	IEntropy_True_Positive	1
G151	G2327	1	IEntropy_True_Positive	1
G92	G2327	1	IEntropy_True_Positive	1
G281	G2327	1	IEntropy_True_Positive	1
G150	G2327	1	IEntropy_True_Positive	1
G244	G2327	1	IEntropy_True_Positive	1
G167	G2327	1	IEntropy_True_Positive	1
G19	G2327	1	IEntropy_True_Positive	1
G145	G2327	1	IEntropy_True_Positive	1
G22	G2327	1	IEntropy_True_Positive	1
G178	G2327	1	IEntropy_True_Positive	1
G209	G2327	1	IEntropy_True_Positive	1
G313	G2327	1	IEntropy_True_Positive	1
G31	G2327	1	IEntropy_True_Positive	1
G57	G2327	1	IEntropy_True_Positive	1
G277	G2327	1	IEntropy_True_Positive	1
G192	G2327	1	IEntropy_True_Positive	1
G305	G2327	1	IEntropy_True_Positive	1
G280	G2327	1	IEntropy_True_Positive	1
G268	G2327	1	IEntropy_True_Positive	1
G315	G2327	1	IEntropy_True_Positive	1
G48	G2327	1	IEntropy_True_Positive	1
G208	G2327	1	IEntropy_True_Positive	1
G55	G2327	1	IEntropy_True_Positive	1
G162	G2327	1	IEntropy_True_Positive	1
G193	G2327	1	IEntropy_True_Positive	1
G69	G2327	1	IEntropy_True_Positive	1
G282	G2327	1	IEntropy_True_Positive	1
G278	G2327	1	IEntropy_True_Positive	1
G264	G2327	1	IEntropy_True_Positive	1
G210	G2327	1	IEntropy_True_Positive	1
G328	G2327	1	IEntropy_True_Positive	1
G333	G2327	1	IEntropy_True_Positive	1
G125	G2327	1	IEntropy_True_Positive	1
G176	G2327	1	IEntropy_True_Positive	1
G121	G2327	1	IEntropy_True_Positive	1
G84	G2327	1	IEntropy_True_Positive	1
G202	G2327	1	IEntropy_True_Positive	1
G140	G2327	1	IEntropy_True_Positive	1
G66	G2327	1	IEntropy_True_Positive	1
G6	G2327	1	IEntropy_True_Positive	1
G168	G2327	1	IEntropy_True_Positive	1
G199	G2327	1	IEntropy_True_Positive	1
G220	G2327	1	IEntropy_True_Positive	1
G179	G2327	1	IEntropy_True_Positive	1
G86	G2327	1	IEntropy_True_Positive	1
G207	G2327	1	IEntropy_True_Positive	1
G235	G2327	1	IEntropy_True_Positive	1
G82	G2327	1	IEntropy_True_Positive	1
G323	G2327	1	IEntropy_True_Positive	1
G172	G2327	1	IEntropy_True_Positive	1
G259	G329	1	IEntropy_True_Positive	1
G7	G329	1	IEntropy_True_Positive	1
G76	G329	1	IEntropy_True_Positive	1
G13	G329	1	IEntropy_True_Positive	1
G187	G329	1	IEntropy_True_Positive	1
