gene_id,mean_expression,std_expression,min_expression,max_expression,median_expression,cells_expressed,total_cells,expression_rate
GENE_000050,8.607896829971182,1.542439399162809,3.8752,14.937,8.4586,4511,4511,1.0
GENE_000051,8.602005652848591,1.5853395155465608,3.7053,14.935,8.4716,4511,4511,1.0
GENE_000052,8.630726313455995,1.5729977638731787,3.6314,14.887,8.4936,4511,4511,1.0
GENE_000053,8.587276679228552,1.5359073767824318,3.7106,14.969,8.451,4511,4511,1.0
GENE_000054,8.557277610285968,1.5600564371491843,3.7684,14.917,8.4286,4511,4511,1.0
GENE_000055,8.595355796940812,1.5170678178005716,3.7135,14.948,8.5154,4511,4511,1.0
GENE_000056,8.544839215251606,1.5473946561118062,3.5991,14.955,8.4262,4511,4511,1.0
GENE_000057,8.553370339170916,1.5082751606159688,3.6825,14.938,8.4422,4511,4511,1.0
GENE_000058,8.55285741520727,1.5444845862012297,3.7018,14.893,8.4357,4511,4511,1.0
GENE_000059,8.521082841941919,1.3072653407409038,3.6198,15.004,8.4772,4511,4511,1.0
GENE_000060,8.523530525382398,1.4136307898886504,3.6645,14.946,8.4302,4511,4511,1.0
GENE_000061,8.601003037020616,1.5891999637121237,3.7245,14.914,8.4501,4511,4511,1.0
GENE_000062,8.584887874085569,1.5539409352385032,3.6114,14.838,8.4587,4511,4511,1.0
GENE_000063,8.577457171358901,1.5315322722812323,3.6261,14.922,8.4757,4511,4511,1.0
GENE_000064,8.600587076036355,1.5508884189304606,3.6192,14.898,8.4935,4511,4511,1.0
GENE_000065,8.55533564619818,1.5167152795108159,3.5477,14.915,8.464,4511,4511,1.0
GENE_000066,8.546107758811795,1.5190518779210995,3.6656,14.913,8.451,4511,4511,1.0
GENE_000067,8.581109687430725,1.5021837703547523,3.5886,14.912,8.488,4511,4511,1.0
GENE_000068,8.559683883839503,1.5243069370740434,3.8168,14.944,8.4496,4511,4511,1.0
GENE_000069,8.57383354023498,1.515068627710649,3.5901,14.939,8.494,4511,4511,1.0
GENE_000070,8.560494236311241,1.5288162443494404,3.6473,14.85,8.4576,4511,4511,1.0
GENE_000071,8.510444358235425,1.5157083614823095,3.5864,14.893,8.4028,4511,4511,1.0
GENE_000072,8.429881068499224,1.4580639905161037,3.5331,14.949,8.3469,4511,4511,1.0
GENE_000073,8.435859787186875,1.3574786541036639,3.592,14.948,8.3725,4511,4511,1.0
GENE_000074,8.42789904677455,1.3416115604529495,3.6185,14.959,8.3518,4511,4511,1.0
GENE_000075,8.433466880957658,1.3093779941379027,3.5243,14.809,8.4476,4511,4511,1.0
GENE_000076,8.391212591443137,1.4710784985909442,3.4795,14.783,8.2877,4511,4511,1.0
GENE_000077,8.364440678341829,1.2827451393269267,3.5539,14.792,8.3869,4511,4511,1.0
GENE_000078,8.506886277987142,1.5505134851729014,3.5399,14.799,8.3754,4511,4511,1.0
GENE_000079,8.545673309687432,1.5242721003742294,3.602,14.829,8.4489,4511,4511,1.0
GENE_000080,8.548449589891376,1.4653155398694404,3.6256,14.87,8.4586,4511,4511,1.0
GENE_000081,8.541665018842828,1.3937810536096853,3.6208,14.916,8.4709,4511,4511,1.0
GENE_000082,8.433042097095989,1.2451768825305172,3.6043,14.977,8.4082,4511,4511,1.0
GENE_000083,8.338745510973176,1.3254277634154585,3.545,14.843,8.2527,4511,4511,1.0
GENE_000084,8.329089403679893,1.1903321206899484,3.5152,14.837,8.2821,4511,4511,1.0
GENE_000085,8.671257570383506,1.552719748620423,3.6334,14.735,8.5588,4511,4511,1.0
GENE_000086,8.62990527599202,1.5530081162186158,3.6036,14.66,8.4906,4511,4511,1.0
GENE_000087,8.49290432276657,1.4145407114664263,3.8456,14.876,8.4401,4511,4511,1.0
GENE_000088,8.556371780093107,1.4289222503397794,3.6347,14.84,8.4899,4511,4511,1.0
GENE_000089,8.546603170028817,1.4326607273018763,3.7139,14.858,8.4797,4511,4511,1.0
GENE_000090,8.499264952338729,1.4546692942774793,3.65,14.886,8.4229,4511,4511,1.0
GENE_000091,8.63614668587896,1.529944570631086,3.7543,14.8,8.5346,4511,4511,1.0
GENE_000092,8.63029813788517,1.4968094212934413,3.6848,14.89,8.5338,4511,4511,1.0
GENE_000093,8.625406273553535,1.4022729190976668,3.6812,14.792,8.5716,4511,4511,1.0
GENE_000094,8.705449301706938,1.4980504391591871,3.6455,14.809,8.6069,4511,4511,1.0
GENE_000095,8.630145023276436,1.5080234086199882,3.5894,14.868,8.5229,4511,4511,1.0
GENE_000096,8.637609310574152,1.434270738092473,3.7193,14.908,8.5673,4511,4511,1.0
GENE_000097,8.555415318111283,1.549275157633467,3.6564,14.742,8.4326,4511,4511,1.0
GENE_000098,8.589058878297497,1.5946083211318833,3.6246,14.554,8.4374,4511,4511,1.0
GENE_000099,8.63228242074928,1.595269036148172,3.603,14.538,8.4983,4511,4511,1.0
GENE_000100,8.711961205941034,1.6164637118320513,3.6031,14.562,8.5575,4511,4511,1.0
GENE_000101,8.650979295056528,1.5484717462221815,3.6316,14.449,8.5016,4511,4511,1.0
GENE_000102,8.699058013744182,1.4512183566966275,3.6888,14.696,8.6044,4511,4511,1.0
GENE_000103,8.619233008202173,1.567456511778939,3.7151,14.295,8.4578,4511,4511,1.0
GENE_000104,8.695630902238971,1.5097551220928638,3.6713,14.709,8.5937,4511,4511,1.0
GENE_000105,8.649538239858124,1.51811166920194,3.7336,14.71,8.522,4511,4511,1.0
GENE_000106,8.635028840611836,1.4971660178741453,3.5921,14.854,8.5181,4511,4511,1.0
GENE_000107,8.543310596320106,1.5945263622276404,3.5924,14.7,8.4013,4511,4511,1.0
GENE_000108,8.569743693194413,1.6117857078682216,3.5851,14.556,8.4249,4511,4511,1.0
GENE_000109,8.611714919086676,1.5279008504610028,3.8412,14.649,8.4992,4511,4511,1.0
GENE_000110,8.633262491686988,1.525621047941851,3.6129,14.795,8.5294,4511,4511,1.0
GENE_000111,8.543524340500996,1.6150886461147385,3.5866,14.66,8.3985,4511,4511,1.0
GENE_000112,8.676548880514298,1.5550648290855742,3.6631,14.348,8.561,4511,4511,1.0
GENE_000113,8.580390866770118,1.548505086545167,3.7285,14.74,8.469,4511,4511,1.0
GENE_000114,8.552466659277322,1.5630908590389068,3.6738,14.873,8.429,4511,4511,1.0
GENE_000115,8.579507537131455,1.5550661077315853,3.6869,14.881,8.469,4511,4511,1.0
GENE_000116,8.579151385502108,1.5244344219080699,3.6944,14.852,8.4687,4511,4511,1.0
GENE_000117,8.578897339835956,1.5652437481220138,3.6186,14.831,8.4697,4511,4511,1.0
GENE_000118,8.55048667701175,1.5811276771185099,3.5435,14.852,8.4417,4511,4511,1.0
GENE_000119,8.547306207049434,1.5511227179079818,3.7493,14.848,8.4227,4511,4511,1.0
GENE_000120,8.571690733761915,1.5676366362422258,3.692,14.848,8.4261,4511,4511,1.0
GENE_000121,8.57462771004212,1.5154931494135315,3.7983,14.827,8.4669,4511,4511,1.0
GENE_000122,8.539809288406119,1.5489275160346359,3.774,14.848,8.421,4511,4511,1.0
GENE_000123,8.541347107071601,1.551503922449011,3.6536,14.814,8.4058,4511,4511,1.0
GENE_000124,8.571751961870982,1.5129470910757947,3.6606,14.847,8.4454,4511,4511,1.0
GENE_000125,8.586034227444024,1.5600351708096307,3.7732,14.88,8.4613,4511,4511,1.0
GENE_000126,8.568104633119043,1.5531203161256122,3.7276,14.853,8.4428,4511,4511,1.0
GENE_000127,8.558349722899578,1.6047797232141487,3.8219,14.779,8.4,4511,4511,1.0
GENE_000128,8.546429062292175,1.5999434225986289,3.8429,14.838,8.4074,4511,4511,1.0
GENE_000129,8.583013522500554,1.5355219952559007,3.569,14.714,8.4561,4511,4511,1.0
GENE_000130,8.581725315894479,1.6231623462547105,3.6178,14.711,8.4394,4511,4511,1.0
GENE_000131,8.394178386167146,1.2314563728457122,3.5422,14.797,8.3469,4511,4511,1.0
GENE_000132,8.545689581024163,1.3449484266878708,3.5466,14.799,8.4662,4511,4511,1.0
GENE_000133,8.643996253602305,1.4638178668758879,3.6669,14.692,8.5796,4511,4511,1.0
GENE_000134,8.569727953890489,1.5519177285327175,3.6608,14.672,8.4569,4511,4511,1.0
GENE_000135,8.223876213699844,1.15588004277116,3.5409,14.822,8.1712,4511,4511,1.0
GENE_000136,8.215706606074042,1.2352110593948107,3.5605,14.852,8.1645,4511,4511,1.0
GENE_000137,8.698545267124805,1.5609021852375886,3.6676,14.417,8.5636,4511,4511,1.0
GENE_000138,8.695981201507426,1.5210722713488976,3.6371,14.488,8.5759,4511,4511,1.0
GENE_000139,8.558288782974952,1.6334470689327434,3.8235,14.839,8.3992,4511,4511,1.0
GENE_000140,8.497481534027933,1.6254346959440316,3.7473,14.824,8.3523,4511,4511,1.0
GENE_000141,8.588209133229881,1.6288477856431565,3.6754,14.83,8.4273,4511,4511,1.0
GENE_000142,8.519974129904677,1.6384595348272377,3.6213,14.816,8.3421,4511,4511,1.0
GENE_000143,8.589565994236311,1.6209942997504327,3.8378,14.84,8.4407,4511,4511,1.0
GENE_000144,8.556535313677676,1.6148585077134423,3.6766,14.882,8.3888,4511,4511,1.0
GENE_000145,8.558405564176457,1.5954951081653856,3.7632,14.862,8.3959,4511,4511,1.0
GENE_000146,8.509728663267568,1.5344593936755018,3.7896,14.824,8.3643,4511,4511,1.0
GENE_000147,8.579033207714478,1.6320232468199898,3.752,14.829,8.4298,4511,4511,1.0
GENE_000148,8.572723675459986,1.6224192770678025,3.6234,14.906,8.4103,4511,4511,1.0
GENE_000149,8.585009997783196,1.5977396116578428,3.8939,14.855,8.4424,4511,4511,1.0
GENE_000150,8.53790348038129,1.591831330491743,3.6047,14.794,8.3882,4511,4511,1.0
GENE_000151,8.547566481933053,1.6212382258783684,3.6709,14.843,8.3944,4511,4511,1.0
GENE_000152,8.575059831522944,1.5897912539638426,3.7872,14.738,8.4248,4511,4511,1.0
GENE_000153,8.566324872533807,1.614262405100518,3.7195,14.845,8.4261,4511,4511,1.0
GENE_000154,8.55775320328087,1.5487684933084782,3.5255,14.784,8.4357,4511,4511,1.0
GENE_000155,8.507471225892264,1.553908067368408,3.7305,14.811,8.3803,4511,4511,1.0
GENE_000156,8.57877018399468,1.565092534270486,3.6104,14.835,8.436,4511,4511,1.0
GENE_000157,8.539128884947905,1.5415453342935148,3.6583,14.818,8.4186,4511,4511,1.0
GENE_000158,8.60430959875859,1.5037541909889105,3.6379,14.774,8.5256,4511,4511,1.0
GENE_000159,8.56392813123476,1.5425579970999093,3.6293,14.473,8.4538,4511,4511,1.0
GENE_000160,8.466352227887386,1.534863904075665,3.5987,14.762,8.331,4511,4511,1.0
GENE_000161,8.499838594546663,1.4876344252551243,3.6005,14.763,8.3757,4511,4511,1.0
GENE_000162,8.461514852582576,1.5953280467760698,3.55,14.596,8.2869,4511,4511,1.0
GENE_000163,8.483817956107293,1.5729653067660077,3.5983,14.549,8.324,4511,4511,1.0
GENE_000164,8.52886484149856,1.5732873893199923,3.5789,14.602,8.42,4511,4511,1.0
GENE_000165,8.644511593881623,1.581698093480158,3.6301,14.651,8.5259,4511,4511,1.0
GENE_000166,8.628851961870982,1.5681906901870664,3.6787,14.559,8.5108,4511,4511,1.0
GENE_000167,8.652187231212592,1.5744077213770968,3.6149,14.598,8.5214,4511,4511,1.0
GENE_000168,8.55127095987586,1.5860768839300998,3.7343,14.714,8.4179,4511,4511,1.0
GENE_000169,8.598294568831744,1.5714158977587094,3.6833,14.8,8.4833,4511,4511,1.0
GENE_000170,8.607822700066505,1.556589367552858,3.7317,14.778,8.468,4511,4511,1.0
GENE_000171,8.656226357792063,1.5552950535765988,3.7216,14.629,8.5346,4511,4511,1.0
GENE_000172,8.573249811571714,1.5856917758083924,3.6747,14.593,8.4041,4511,4511,1.0
GENE_000173,8.539518621148304,1.6021475067325888,3.6706,14.531,8.3845,4511,4511,1.0
GENE_000174,8.562726069607626,1.5894413429648764,3.641,14.636,8.3992,4511,4511,1.0
GENE_000175,8.55383713145644,1.6072476868252088,3.5593,14.644,8.3902,4511,4511,1.0
GENE_000176,8.547704078918201,1.591126120467486,3.7348,14.678,8.3935,4511,4511,1.0
GENE_000177,8.57803161161605,1.599937573401909,3.6619,14.601,8.4337,4511,4511,1.0
GENE_000178,8.560184415872312,1.5545196550899094,3.6652,14.591,8.4188,4511,4511,1.0
GENE_000179,8.515673464863665,1.5613032728145724,3.534,14.569,8.3617,4511,4511,1.0
GENE_000180,8.480044469075592,1.5945878169816827,3.7224,14.348,8.3238,4511,4511,1.0
GENE_000181,8.529526158279761,1.5977062969617004,3.6272,14.786,8.3754,4511,4511,1.0
GENE_000182,8.498657991576147,1.5607504841746194,3.7306,14.858,8.362,4511,4511,1.0
GENE_000183,8.56875790290401,1.5573062601924315,3.6415,14.734,8.42,4511,4511,1.0
GENE_000184,8.628986433163378,1.5737012813858329,3.6629,14.794,8.4798,4511,4511,1.0
GENE_000185,8.591162779871425,1.5930887169005707,3.5917,14.747,8.4208,4511,4511,1.0
GENE_000186,8.555940567501663,1.6133074224436532,3.6982,14.837,8.389,4511,4511,1.0
GENE_000187,8.571644491243626,1.6010493456984873,3.6371,14.791,8.4426,4511,4511,1.0
GENE_000188,8.410561649301709,1.6076072353582973,3.5717,14.693,8.2418,4511,4511,1.0
GENE_000189,8.595269142097095,1.574853513890697,3.6256,14.778,8.4651,4511,4511,1.0
GENE_000190,8.56563083573487,1.5496746956254424,3.6721,14.802,8.446,4511,4511,1.0
GENE_000191,8.551105431168255,1.586429631047465,3.631,14.88,8.4307,4511,4511,1.0
GENE_000192,8.490193859454665,1.579217892429471,3.7428,14.69,8.3141,4511,4511,1.0
GENE_000193,8.602380359122144,1.5762300306114236,3.5439,14.644,8.4286,4511,4511,1.0
GENE_000194,8.541520926623809,1.585150664008417,3.6614,14.659,8.351,4511,4511,1.0
GENE_000195,8.570039902460652,1.6128550798569292,3.5312,14.659,8.4043,4511,4511,1.0
GENE_000196,8.596894967856352,1.5698808846318704,3.6584,14.772,8.4443,4511,4511,1.0
GENE_000197,8.442784393704278,1.5165845071320685,3.6567,14.753,8.2958,4511,4511,1.0
GENE_000198,8.591263467080468,1.6102774892005496,3.607,14.802,8.4368,4511,4511,1.0
GENE_000199,8.577580248281977,1.5908194399926612,3.6406,14.688,8.4137,4511,4511,1.0
GENE_000200,8.651751784526711,1.4431327511884697,3.8707,14.724,8.5748,4511,4511,1.0
GENE_000201,8.538424362669032,1.5275825041753548,3.6856,14.666,8.373,4511,4511,1.0
GENE_000202,8.549385812458436,1.5102504985118963,3.6273,14.683,8.4015,4511,4511,1.0
GENE_000203,8.567814963422745,1.5583107272309644,3.612,14.739,8.417,4511,4511,1.0
GENE_000204,8.612881534027933,1.5978628285559,3.8451,14.75,8.4517,4511,4511,1.0
GENE_000205,8.591148924850366,1.5667273738261849,3.581,14.807,8.454,4511,4511,1.0
GENE_000206,8.600465528707604,1.6287686149290093,3.8662,14.747,8.4305,4511,4511,1.0
GENE_000207,8.59287288849479,1.5879712360974256,3.6332,14.811,8.4465,4511,4511,1.0
GENE_000208,8.61754950121924,1.5740141664303295,3.6016,14.674,8.4772,4511,4511,1.0
GENE_000209,8.578196719131013,1.4797851524339458,3.6379,14.711,8.467,4511,4511,1.0
GENE_000210,8.598542717800932,1.587272669933563,3.6036,14.67,8.4362,4511,4511,1.0
GENE_000211,8.599848038129018,1.6362708223938132,3.5901,14.676,8.4607,4511,4511,1.0
GENE_000212,8.658416182664599,1.6271897443123433,3.5836,14.809,8.5253,4511,4511,1.0
GENE_000213,8.63130485479938,1.6064458231675398,3.7444,14.798,8.475,4511,4511,1.0
GENE_000214,8.603969851474174,1.6456895522300816,3.6309,14.779,8.4444,4511,4511,1.0
GENE_000215,8.586644823764132,1.5996422775036552,3.6184,14.752,8.4425,4511,4511,1.0
GENE_000216,8.569471957437377,1.6518377256138423,3.6646,14.703,8.3907,4511,4511,1.0
GENE_000217,8.583697605852363,1.5957883980792622,3.6232,14.765,8.4216,4511,4511,1.0
GENE_000218,8.630031988472622,1.623982656863888,3.6044,14.709,8.475,4511,4511,1.0
GENE_000219,8.597645843493682,1.5635810737702969,3.6745,14.751,8.4332,4511,4511,1.0
GENE_000220,8.599420749279538,1.6330416110126718,3.6417,14.48,8.4216,4511,4511,1.0
GENE_000221,8.660300997561516,1.6301646848006084,3.6355,14.741,8.5055,4511,4511,1.0
GENE_000222,8.646579516736864,1.5787368162200268,3.6159,14.798,8.5188,4511,4511,1.0
GENE_000223,8.620846841055199,1.5694073229654217,3.6671,14.591,8.4525,4511,4511,1.0
GENE_000224,8.615741299046773,1.6046768918676466,3.7172,14.737,8.4832,4511,4511,1.0
GENE_000225,8.609243050321437,1.6018548018412078,3.6577,14.642,8.4557,4511,4511,1.0
GENE_000226,8.680431766792285,1.53146737752708,3.6144,14.802,8.5722,4511,4511,1.0
GENE_000227,8.615373265351362,1.5420356585165407,3.5917,14.775,8.5152,4511,4511,1.0
GENE_000228,8.608528751939703,1.6153512216088448,3.6866,14.734,8.4583,4511,4511,1.0
GENE_000229,8.628919064508977,1.5725520368901542,3.6383,14.699,8.4896,4511,4511,1.0
GENE_000230,8.60927439592108,1.5671808226793733,3.6073,14.77,8.4779,4511,4511,1.0
GENE_000231,8.650835025493238,1.5351284217891727,3.6317,14.757,8.5323,4511,4511,1.0
GENE_000232,8.591201972955,1.6055513424684038,3.6527,14.622,8.4247,4511,4511,1.0
GENE_000233,8.613041786743517,1.6025261125125303,3.6003,14.611,8.4594,4511,4511,1.0
GENE_000234,8.564992595876745,1.5814615290037892,3.5611,14.667,8.4124,4511,4511,1.0
GENE_000235,8.593668565728219,1.5432248583195491,3.5928,14.733,8.4518,4511,4511,1.0
GENE_000236,8.587420328086898,1.6367937138800723,3.715,14.817,8.4191,4511,4511,1.0
GENE_000237,8.562975703835068,1.6150402701765827,3.5758,14.775,8.4056,4511,4511,1.0
GENE_000238,8.623708490356906,1.613776621988726,3.6402,14.838,8.46,4511,4511,1.0
GENE_000239,8.559331988472621,1.6238295670711476,3.6073,14.755,8.4131,4511,4511,1.0
GENE_000240,8.568527444025715,1.6183809461059973,3.5914,14.826,8.4102,4511,4511,1.0
GENE_000241,8.543319219685214,1.599015439234375,3.676,14.829,8.391,4511,4511,1.0
GENE_000242,8.572520549767235,1.5898520851226206,3.6631,14.894,8.4121,4511,4511,1.0
GENE_000243,8.588816337840834,1.5816592203318425,3.6361,14.877,8.4289,4511,4511,1.0
GENE_000244,8.559985568610063,1.616625242512811,3.6396,14.819,8.3891,4511,4511,1.0
GENE_000245,8.475668033695412,1.5244697994309504,3.7754,14.897,8.2777,4511,4511,1.0
GENE_000246,8.471623187763244,1.5348496805800302,3.7578,14.912,8.2598,4511,4511,1.0
GENE_000247,8.54101079583241,1.4747709702381793,3.5847,14.944,8.3544,4511,4511,1.0
GENE_000248,8.48045909997783,1.532588404634008,3.6123,14.909,8.2529,4511,4511,1.0
GENE_000249,8.499488406118378,1.5136137589367018,3.7289,14.924,8.2867,4511,4511,1.0
GENE_000250,8.508519175349145,1.4822188490762207,3.7412,14.912,8.2856,4511,4511,1.0
GENE_000251,8.453661981822211,1.4955005911917798,3.6186,14.901,8.2444,4511,4511,1.0
GENE_000252,8.500573088007094,1.481654784045493,3.871,14.904,8.2866,4511,4511,1.0
GENE_000253,8.506194058966969,1.4927828353058477,3.7543,14.858,8.2871,4511,4511,1.0
GENE_000254,8.457710751496343,1.436343945032683,3.7472,14.915,8.3034,4511,4511,1.0
GENE_000255,8.479720084238528,1.4604681899993857,3.6782,14.88,8.2881,4511,4511,1.0
GENE_000256,8.43947497228996,1.4702692535077655,3.6394,14.895,8.2393,4511,4511,1.0
GENE_000257,8.475233074706274,1.420476756615687,3.7151,14.878,8.3151,4511,4511,1.0
GENE_000258,8.458266016404345,1.4504369260250545,3.7497,14.89,8.2946,4511,4511,1.0
GENE_000259,8.462260540900022,1.4412059835234319,3.7389,14.937,8.2855,4511,4511,1.0
GENE_000260,8.554911992906229,1.6340412077352149,3.7434,14.805,8.4051,4511,4511,1.0
GENE_000261,8.484671514076702,1.6254414773092662,3.6545,14.591,8.3092,4511,4511,1.0
GENE_000262,8.421676413212149,1.6083330345678164,3.6332,14.606,8.2502,4511,4511,1.0
GENE_000263,8.558601995123032,1.6000014200798884,3.588,14.598,8.4155,4511,4511,1.0
GENE_000264,8.544698692086012,1.5986759486340822,3.5734,14.574,8.4052,4511,4511,1.0
GENE_000265,8.51325595211705,1.5705845417105824,3.6072,14.647,8.3845,4511,4511,1.0
GENE_000266,8.438281733540235,1.5568465656779278,3.6048,14.632,8.3159,4511,4511,1.0
GENE_000267,8.253773730880072,1.1242161172236962,3.5447,14.804,8.2386,4511,4511,1.0
GENE_000268,8.187763843937041,1.1752626215462472,3.5344,14.818,8.1316,4511,4511,1.0
GENE_000269,8.251645377964977,1.2250414586351652,3.5747,14.798,8.1729,4511,4511,1.0
GENE_000270,8.560810418975835,1.266518384109886,3.9353,14.812,8.5705,4511,4511,1.0
GENE_000271,8.376897051651518,1.3582575334955047,3.491,14.745,8.2433,4511,4511,1.0
GENE_000272,8.248320195078696,1.1065043805575083,3.5119,14.785,8.2092,4511,4511,1.0
GENE_000273,8.445281090667258,1.2487638833834047,3.5479,14.855,8.3737,4511,4511,1.0
GENE_000274,8.283116648193305,1.2919911822703125,3.5322,14.906,8.1852,4511,4511,1.0
GENE_000275,8.298208246508535,1.3074590119595157,3.5226,14.894,8.1751,4511,4511,1.0
GENE_000276,8.415967701174905,1.2415652869866025,3.6027,14.935,8.3863,4511,4511,1.0
GENE_000277,8.350210574152072,1.303843809181844,3.5307,14.904,8.2352,4511,4511,1.0
GENE_000278,8.257959920195079,1.2832199141027207,3.5347,14.88,8.1609,4511,4511,1.0
GENE_000279,8.446599201950786,1.4168545645717918,3.5274,15.016,8.342,4511,4511,1.0
GENE_000280,8.438157747727777,1.4158422223398508,3.6009,15.05,8.3205,4511,4511,1.0
GENE_000281,8.473109044557749,1.3566424850121372,3.5333,14.909,8.4052,4511,4511,1.0
GENE_000282,8.527139215251607,1.4963883197395498,3.6192,14.855,8.4706,4511,4511,1.0
GENE_000283,8.523103679893593,1.4291750659987341,3.6352,14.893,8.5027,4511,4511,1.0
GENE_000284,8.584990888938151,1.4124386876849122,3.6974,14.955,8.5391,4511,4511,1.0
GENE_000285,8.508176634892486,1.406139473601007,3.6404,14.937,8.4576,4511,4511,1.0
GENE_000286,8.452753469297273,1.5223508250391513,3.5451,14.913,8.3658,4511,4511,1.0
GENE_000287,8.45160977610286,1.4910869015943302,3.5444,14.809,8.3742,4511,4511,1.0
GENE_000288,8.38984852582576,1.183094806906999,3.5363,14.835,8.3775,4511,4511,1.0
GENE_000289,8.359483285302593,1.1958296399869561,3.5625,14.828,8.3579,4511,4511,1.0
GENE_000290,8.378748481489692,1.1735829372973785,3.5457,14.914,8.4037,4511,4511,1.0
GENE_000291,8.35341979605409,1.3113873113292451,3.5435,14.89,8.2846,4511,4511,1.0
