cell_id,pseudotime,cell_type,hours,media,library
CELL_0056,5.09887075853881,Tipo_3_Final,72,DM,LIB_056
CELL_0057,0.18531091790623125,Tipo_0_Inicial,0,GM,LIB_057
CELL_0058,0.4362693892625349,Tipo_0_Inicial,24,DM,LIB_058
CELL_0059,0.09256393137366391,Tipo_0_Inicial,48,GM,LIB_059
CELL_0060,0.7870641736061736,Tipo_1_Intermediario_1,72,DM,LIB_060
CELL_0061,0.9842605835884372,Tipo_1_Intermediario_1,0,GM,LIB_061
CELL_0062,0.6331208864176514,Tipo_1_Intermediario_1,24,DM,LIB_062
CELL_0063,3.529115730481868,Tipo_3_Final,48,GM,LIB_063
CELL_0064,0.8824539990597403,Tipo_1_Intermediario_1,72,DM,LIB_064
CELL_0065,0.6596056802684984,Tipo_1_Intermediario_1,0,GM,LIB_065
CELL_0066,1.564814166415492,Tipo_2_Intermediario_2,24,DM,LIB_066
CELL_0067,0.3037962956412577,Tipo_0_Inicial,48,GM,LIB_067
CELL_0068,3.2409671915494624,Tipo_3_Final,72,DM,LIB_068
CELL_0069,0.15495173762261802,Tipo_0_Inicial,0,GM,LIB_069
CELL_0070,8.66829267917464,Tipo_3_Final,24,DM,LIB_070
CELL_0071,2.958967552483023,Tipo_3_Final,48,GM,LIB_071
CELL_0072,0.4430788810117719,Tipo_0_Inicial,72,DM,LIB_072
CELL_0073,0.01107484075187095,Tipo_0_Inicial,0,GM,LIB_073
CELL_0074,3.379793554972252,Tipo_3_Final,24,DM,LIB_074
CELL_0075,2.4541918147740893,Tipo_2_Intermediario_2,48,GM,LIB_075
CELL_0076,2.611325817575998,Tipo_2_Intermediario_2,72,DM,LIB_076
CELL_0077,2.950429052087027,Tipo_3_Final,0,GM,LIB_077
CELL_0078,0.1538585310275927,Tipo_0_Inicial,24,DM,LIB_078
CELL_0079,0.887785344832465,Tipo_1_Intermediario_1,48,GM,LIB_079
CELL_0080,0.2463002092088993,Tipo_0_Inicial,72,DM,LIB_080
CELL_0081,3.9770591433164455,Tipo_3_Final,0,GM,LIB_081
CELL_0082,1.9526023834247481,Tipo_2_Intermediario_2,24,DM,LIB_082
CELL_0083,0.803637602502602,Tipo_1_Intermediario_1,48,GM,LIB_083
CELL_0084,0.13133613160956578,Tipo_0_Inicial,72,DM,LIB_084
CELL_0085,0.7449767008207074,Tipo_1_Intermediario_1,0,GM,LIB_085
CELL_0086,0.7866284263682627,Tipo_1_Intermediario_1,24,DM,LIB_086
CELL_0087,2.6157515679154817,Tipo_2_Intermediario_2,48,GM,LIB_087
CELL_0088,2.02977871785204,Tipo_2_Intermediario_2,72,DM,LIB_088
CELL_0089,4.3645038248030295,Tipo_3_Final,0,GM,LIB_089
CELL_0090,1.2781322667526196,Tipo_1_Intermediario_1,24,DM,LIB_090
CELL_0091,0.2547447872310038,Tipo_0_Inicial,48,GM,LIB_091
CELL_0092,2.498252688633199,Tipo_2_Intermediario_2,72,DM,LIB_092
CELL_0093,2.860785506153728,Tipo_3_Final,0,GM,LIB_093
CELL_0094,1.6477749897716576,Tipo_2_Intermediario_2,24,DM,LIB_094
CELL_0095,2.947779933442729,Tipo_3_Final,48,GM,LIB_095
CELL_0096,1.3616294630205559,Tipo_1_Intermediario_1,72,DM,LIB_096
CELL_0097,1.479357677554534,Tipo_2_Intermediario_2,0,GM,LIB_097
CELL_0098,1.1156283878168547,Tipo_1_Intermediario_1,24,DM,LIB_098
CELL_0099,0.05149554798022746,Tipo_0_Inicial,48,GM,LIB_099
CELL_0100,0.22833487038373168,Tipo_0_Inicial,72,DM,LIB_100
CELL_0101,0.06386736258610765,Tipo_0_Inicial,0,GM,LIB_101
CELL_0102,2.023459101855099,Tipo_2_Intermediario_2,24,DM,LIB_102
CELL_0103,0.7547934175901997,Tipo_1_Intermediario_1,48,GM,LIB_103
CELL_0104,1.4208743542683802,Tipo_2_Intermediario_2,72,DM,LIB_104
CELL_0105,4.762531059691951,Tipo_3_Final,0,GM,LIB_105
CELL_0106,0.5734776459665967,Tipo_1_Intermediario_1,24,DM,LIB_106
CELL_0107,1.0565639497653452,Tipo_1_Intermediario_1,48,GM,LIB_107
CELL_0108,2.8174982950771668,Tipo_3_Final,72,DM,LIB_108
CELL_0109,0.5196103138347881,Tipo_0_Inicial,0,GM,LIB_109
CELL_0110,0.16020855710035273,Tipo_0_Inicial,24,DM,LIB_110
CELL_0111,0.6842806077741141,Tipo_1_Intermediario_1,48,GM,LIB_111
CELL_0112,0.3516167170001257,Tipo_0_Inicial,72,DM,LIB_112
CELL_0113,5.3099001717612495,Tipo_3_Final,0,GM,LIB_113
CELL_0114,3.301774160969139,Tipo_3_Final,24,DM,LIB_114
CELL_0115,2.006988381041062,Tipo_2_Intermediario_2,48,GM,LIB_115
CELL_0116,4.103039461041626,Tipo_3_Final,72,DM,LIB_116
CELL_0117,3.255937881481113,Tipo_3_Final,0,GM,LIB_117
CELL_0118,0.41299095271727815,Tipo_0_Inicial,24,DM,LIB_118
CELL_0119,4.461626810471122,Tipo_3_Final,48,GM,LIB_119
CELL_0120,1.550199803932344,Tipo_2_Intermediario_2,72,DM,LIB_120
CELL_0121,3.2946965826071324,Tipo_3_Final,0,GM,LIB_121
CELL_0122,4.528485298572463,Tipo_3_Final,24,DM,LIB_122
CELL_0123,0.7654614328366369,Tipo_1_Intermediario_1,48,GM,LIB_123
CELL_0124,0.23318432024770167,Tipo_0_Inicial,72,DM,LIB_124
CELL_0125,0.5173734922787627,Tipo_0_Inicial,0,GM,LIB_125
CELL_0126,1.1141153854972288,Tipo_1_Intermediario_1,24,DM,LIB_126
CELL_0127,3.40765945327789,Tipo_3_Final,48,GM,LIB_127
CELL_0128,3.9426899437596665,Tipo_3_Final,72,DM,LIB_128
CELL_0129,0.013952818363301294,Tipo_0_Inicial,0,GM,LIB_129
CELL_0130,1.4297523186771115,Tipo_2_Intermediario_2,24,DM,LIB_130
CELL_0131,1.0805466418373426,Tipo_1_Intermediario_1,48,GM,LIB_131
CELL_0132,0.502334676551649,Tipo_0_Inicial,72,DM,LIB_132
CELL_0133,0.2553607830912936,Tipo_0_Inicial,0,GM,LIB_133
CELL_0134,0.8238171597248649,Tipo_1_Intermediario_1,24,DM,LIB_134
CELL_0135,5.726242245382299,Tipo_3_Final,48,GM,LIB_135
CELL_0136,0.7807676057629488,Tipo_1_Intermediario_1,72,DM,LIB_136
CELL_0137,1.4629056115203039,Tipo_2_Intermediario_2,0,GM,LIB_137
CELL_0138,2.4281739537617097,Tipo_2_Intermediario_2,24,DM,LIB_138
CELL_0139,0.9039489979339247,Tipo_1_Intermediario_1,48,GM,LIB_139
CELL_0140,7.135596276583399,Tipo_3_Final,72,DM,LIB_140
CELL_0141,6.564019729082796,Tipo_3_Final,0,GM,LIB_141
CELL_0142,0.5801225899844106,Tipo_1_Intermediario_1,24,DM,LIB_142
CELL_0143,1.3753185569276944,Tipo_1_Intermediario_1,48,GM,LIB_143
CELL_0144,0.7158609201580935,Tipo_1_Intermediario_1,72,DM,LIB_144
CELL_0145,0.6704993527621634,Tipo_1_Intermediario_1,0,GM,LIB_145
CELL_0146,0.07516895553104506,Tipo_0_Inicial,24,DM,LIB_146
CELL_0147,1.8809841419651863,Tipo_2_Intermediario_2,48,GM,LIB_147
CELL_0148,1.397039265659277,Tipo_2_Intermediario_2,72,DM,LIB_148
CELL_0149,0.10570217476078496,Tipo_0_Inicial,0,GM,LIB_149
CELL_0150,0.6532518420207387,Tipo_1_Intermediario_1,24,DM,LIB_150
CELL_0151,4.777721902178681,Tipo_3_Final,48,GM,LIB_151
CELL_0152,0.5477211042841541,Tipo_0_Inicial,72,DM,LIB_152
CELL_0153,0.3130617219709395,Tipo_0_Inicial,0,GM,LIB_153
CELL_0154,1.3445442189472725,Tipo_1_Intermediario_1,24,DM,LIB_154
CELL_0155,8.48807396523052,Tipo_3_Final,48,GM,LIB_155
CELL_0156,0.5542896271194524,Tipo_0_Inicial,72,DM,LIB_156
CELL_0157,2.2303100205945867,Tipo_2_Intermediario_2,0,GM,LIB_157
CELL_0158,2.8677752524789257,Tipo_3_Final,24,DM,LIB_158
CELL_0159,0.5426663446716116,Tipo_0_Inicial,48,GM,LIB_159
CELL_0160,2.6054978569846323,Tipo_2_Intermediario_2,72,DM,LIB_160
CELL_0161,0.917045598528608,Tipo_1_Intermediario_1,0,GM,LIB_161
CELL_0162,2.0010074954635426,Tipo_2_Intermediario_2,24,DM,LIB_162
CELL_0163,2.0076756542752765,Tipo_2_Intermediario_2,48,GM,LIB_163
CELL_0164,1.5347704999046976,Tipo_2_Intermediario_2,72,DM,LIB_164
CELL_0165,0.1892583176232419,Tipo_0_Inicial,0,GM,LIB_165
CELL_0166,3.607289588492594,Tipo_3_Final,24,DM,LIB_166
CELL_0167,0.7736205873347932,Tipo_1_Intermediario_1,48,GM,LIB_167
CELL_0168,0.4128642132151131,Tipo_0_Inicial,72,DM,LIB_168
CELL_0169,0.0832595195886904,Tipo_0_Inicial,0,GM,LIB_169
CELL_0170,1.787556809189167,Tipo_2_Intermediario_2,24,DM,LIB_170
CELL_0171,2.2637034685346977,Tipo_2_Intermediario_2,48,GM,LIB_171
CELL_0172,0.03345389511694124,Tipo_0_Inicial,72,DM,LIB_172
CELL_0173,1.4352611690989767,Tipo_2_Intermediario_2,0,GM,LIB_173
CELL_0174,0.5136482941099153,Tipo_0_Inicial,24,DM,LIB_174
CELL_0175,2.072248683095384,Tipo_2_Intermediario_2,48,GM,LIB_175
CELL_0176,0.3832084450782675,Tipo_0_Inicial,72,DM,LIB_176
CELL_0177,2.348425055135438,Tipo_2_Intermediario_2,0,GM,LIB_177
CELL_0178,0.9779174019622036,Tipo_1_Intermediario_1,24,DM,LIB_178
CELL_0179,5.520687635608614,Tipo_3_Final,48,GM,LIB_179
CELL_0180,0.2958888268785579,Tipo_0_Inicial,72,DM,LIB_180
CELL_0181,0.8342648679903435,Tipo_1_Intermediario_1,0,GM,LIB_181
CELL_0182,0.24088857007399284,Tipo_0_Inicial,24,DM,LIB_182
CELL_0183,5.172380794301447,Tipo_3_Final,48,GM,LIB_183
CELL_0184,4.196667414321988,Tipo_3_Final,72,DM,LIB_184
CELL_0185,0.5966547401229778,Tipo_1_Intermediario_1,0,GM,LIB_185
CELL_0186,2.157525478087829,Tipo_2_Intermediario_2,24,DM,LIB_186
CELL_0187,3.3989681452784426,Tipo_3_Final,48,GM,LIB_187
CELL_0188,1.6202647213730161,Tipo_2_Intermediario_2,72,DM,LIB_188
CELL_0189,1.5085588203878921,Tipo_2_Intermediario_2,0,GM,LIB_189
CELL_0190,0.5537540908758063,Tipo_0_Inicial,24,DM,LIB_190
CELL_0191,0.19545228094988146,Tipo_0_Inicial,48,GM,LIB_191
CELL_0192,4.550246450389046,Tipo_3_Final,72,DM,LIB_192
CELL_0193,4.6135488552968535,Tipo_3_Final,0,GM,LIB_193
CELL_0194,2.0053398389657695,Tipo_2_Intermediario_2,24,DM,LIB_194
CELL_0195,0.8280930196226478,Tipo_1_Intermediario_1,48,GM,LIB_195
CELL_0196,0.8591352316232879,Tipo_1_Intermediario_1,72,DM,LIB_196
CELL_0197,2.588930859454236,Tipo_2_Intermediario_2,0,GM,LIB_197
CELL_0198,4.5481946982145045,Tipo_3_Final,24,DM,LIB_198
CELL_0199,4.3622651387932265,Tipo_3_Final,48,GM,LIB_199
CELL_0200,3.0271243838618065,Tipo_3_Final,72,DM,LIB_200
CELL_0201,2.05462138713541,Tipo_2_Intermediario_2,0,GM,LIB_201
CELL_0202,0.1757834523921681,Tipo_0_Inicial,24,DM,LIB_202
CELL_0203,0.352588429366823,Tipo_0_Inicial,48,GM,LIB_203
CELL_0204,4.576461000355011,Tipo_3_Final,72,DM,LIB_204
CELL_0205,1.864987893931179,Tipo_2_Intermediario_2,0,GM,LIB_205
CELL_0206,0.01847921122198882,Tipo_0_Inicial,24,DM,LIB_206
CELL_0207,0.21399380287189865,Tipo_0_Inicial,48,GM,LIB_207
CELL_0208,2.178324774580482,Tipo_2_Intermediario_2,72,DM,LIB_208
CELL_0209,0.010148874103594005,Tipo_0_Inicial,0,GM,LIB_209
CELL_0210,0.3506316322083981,Tipo_0_Inicial,24,DM,LIB_210
CELL_0211,1.5913956922778634,Tipo_2_Intermediario_2,48,GM,LIB_211
CELL_0212,2.3546305733096253,Tipo_2_Intermediario_2,72,DM,LIB_212
CELL_0213,2.1108829642704974,Tipo_2_Intermediario_2,0,GM,LIB_213
CELL_0214,0.507899734616049,Tipo_0_Inicial,24,DM,LIB_214
CELL_0215,2.4908345777970777,Tipo_2_Intermediario_2,48,GM,LIB_215
CELL_0216,0.5416475181056118,Tipo_0_Inicial,72,DM,LIB_216
CELL_0217,0.7872698178361689,Tipo_1_Intermediario_1,0,GM,LIB_217
CELL_0218,2.7447151033315813,Tipo_3_Final,24,DM,LIB_218
CELL_0219,2.097547628605536,Tipo_2_Intermediario_2,48,GM,LIB_219
CELL_0220,3.783912154926802,Tipo_3_Final,72,DM,LIB_220
CELL_0221,2.143626576339525,Tipo_2_Intermediario_2,0,GM,LIB_221
CELL_0222,1.6800886111745148,Tipo_2_Intermediario_2,24,DM,LIB_222
CELL_0223,0.19671412289682097,Tipo_0_Inicial,48,GM,LIB_223
CELL_0224,0.9168326144140401,Tipo_1_Intermediario_1,72,DM,LIB_224
CELL_0225,0.6163202957176623,Tipo_1_Intermediario_1,0,GM,LIB_225
CELL_0226,0.5594004073248425,Tipo_1_Intermediario_1,24,DM,LIB_226
CELL_0227,7.2246188123258515,Tipo_3_Final,48,GM,LIB_227
CELL_0228,0.9987749940800476,Tipo_1_Intermediario_1,72,DM,LIB_228
CELL_0229,4.452110422497046,Tipo_3_Final,0,GM,LIB_229
CELL_0230,1.9946687714729663,Tipo_2_Intermediario_2,24,DM,LIB_230
CELL_0231,3.1676505053767996,Tipo_3_Final,48,GM,LIB_231
CELL_0232,1.3968706487775409,Tipo_2_Intermediario_2,72,DM,LIB_232
CELL_0233,1.72031180528317,Tipo_2_Intermediario_2,0,GM,LIB_233
CELL_0234,1.356586866683387,Tipo_1_Intermediario_1,24,DM,LIB_234
CELL_0235,0.434429790650477,Tipo_0_Inicial,48,GM,LIB_235
CELL_0236,2.5635236061316076,Tipo_2_Intermediario_2,72,DM,LIB_236
CELL_0237,0.6591547367325259,Tipo_1_Intermediario_1,0,GM,LIB_237
CELL_0238,0.04923296216137723,Tipo_0_Inicial,24,DM,LIB_238
CELL_0239,2.073937572590548,Tipo_2_Intermediario_2,48,GM,LIB_239
CELL_0240,0.3898671404496454,Tipo_0_Inicial,72,DM,LIB_240
CELL_0241,5.642166294546606,Tipo_3_Final,0,GM,LIB_241
CELL_0242,6.1551248255760465,Tipo_3_Final,24,DM,LIB_242
CELL_0243,4.927019769267683,Tipo_3_Final,48,GM,LIB_243
CELL_0244,0.9245747929947334,Tipo_1_Intermediario_1,72,DM,LIB_244
CELL_0245,0.031154630743888766,Tipo_0_Inicial,0,GM,LIB_245
CELL_0246,5.2710469146637795,Tipo_3_Final,24,DM,LIB_246
CELL_0247,1.1178765541061226,Tipo_1_Intermediario_1,48,GM,LIB_247
CELL_0248,6.801684032244112,Tipo_3_Final,72,DM,LIB_248
CELL_0249,6.627470952260411,Tipo_3_Final,0,GM,LIB_249
CELL_0250,3.834774034358838,Tipo_3_Final,24,DM,LIB_250
CELL_0251,0.6975521363443206,Tipo_1_Intermediario_1,48,GM,LIB_251
CELL_0252,0.9725838641973872,Tipo_1_Intermediario_1,72,DM,LIB_252
CELL_0253,3.8094533049561594,Tipo_3_Final,0,GM,LIB_253
CELL_0254,0.7622924628614342,Tipo_1_Intermediario_1,24,DM,LIB_254
CELL_0255,0.37143723259150957,Tipo_0_Inicial,48,GM,LIB_255
CELL_0256,1.6274739841204555,Tipo_2_Intermediario_2,72,DM,LIB_256
CELL_0257,5.502586941614084,Tipo_3_Final,0,GM,LIB_257
CELL_0258,2.3816511955158743,Tipo_2_Intermediario_2,24,DM,LIB_258
CELL_0259,1.688224672871311,Tipo_2_Intermediario_2,48,GM,LIB_259
CELL_0260,0.20445639469864577,Tipo_0_Inicial,72,DM,LIB_260
CELL_0261,1.9090614310354355,Tipo_2_Intermediario_2,0,GM,LIB_261
CELL_0262,9.221139495692634,Tipo_3_Final,24,DM,LIB_262
CELL_0263,0.3018411732845283,Tipo_0_Inicial,48,GM,LIB_263
CELL_0264,1.4609906499630074,Tipo_2_Intermediario_2,72,DM,LIB_264
CELL_0265,4.197217275801589,Tipo_3_Final,0,GM,LIB_265
CELL_0266,2.70006849670734,Tipo_2_Intermediario_2,24,DM,LIB_266
CELL_0267,2.388148850603346,Tipo_2_Intermediario_2,48,GM,LIB_267
CELL_0268,2.42457511244898,Tipo_2_Intermediario_2,72,DM,LIB_268
CELL_0269,0.8909846846298982,Tipo_1_Intermediario_1,0,GM,LIB_269
CELL_0270,0.6951241685341903,Tipo_1_Intermediario_1,24,DM,LIB_270
CELL_0271,3.3147490145194247,Tipo_3_Final,48,GM,LIB_271
CELL_0272,3.3226563981740576,Tipo_3_Final,72,DM,LIB_272
CELL_0273,4.03590009473583,Tipo_3_Final,0,GM,LIB_273
CELL_0274,4.889231923673273,Tipo_3_Final,24,DM,LIB_274
CELL_0275,1.4321864738658074,Tipo_2_Intermediario_2,48,GM,LIB_275
CELL_0276,1.3923687551023984,Tipo_2_Intermediario_2,72,DM,LIB_276
CELL_0277,3.201899864616975,Tipo_3_Final,0,GM,LIB_277
CELL_0278,2.0994381497756005,Tipo_2_Intermediario_2,24,DM,LIB_278
CELL_0279,2.421101297023034,Tipo_2_Intermediario_2,48,GM,LIB_279
CELL_0280,3.1772389499084097,Tipo_3_Final,72,DM,LIB_280
CELL_0281,4.414646952693534,Tipo_3_Final,0,GM,LIB_281
CELL_0282,0.8249648142753084,Tipo_1_Intermediario_1,24,DM,LIB_282
CELL_0283,0.9418735774551127,Tipo_1_Intermediario_1,48,GM,LIB_283
CELL_0284,0.1973920783747211,Tipo_0_Inicial,72,DM,LIB_284
CELL_0285,1.7268280532188693,Tipo_2_Intermediario_2,0,GM,LIB_285
CELL_0286,0.073208208421714,Tipo_0_Inicial,24,DM,LIB_286
CELL_0287,1.2532138963642192,Tipo_1_Intermediario_1,48,GM,LIB_287
CELL_0288,1.564589171374252,Tipo_2_Intermediario_2,72,DM,LIB_288
CELL_0289,0.675261320629045,Tipo_1_Intermediario_1,0,GM,LIB_289
CELL_0290,1.7872650602923505,Tipo_2_Intermediario_2,24,DM,LIB_290
CELL_0291,0.06195012420294909,Tipo_0_Inicial,48,GM,LIB_291
CELL_0292,0.07612699856557877,Tipo_0_Inicial,72,DM,LIB_292
CELL_0293,3.458702739076272,Tipo_3_Final,0,GM,LIB_293
CELL_0294,0.8931700484154894,Tipo_1_Intermediario_1,24,DM,LIB_294
CELL_0295,0.271778082594856,Tipo_0_Inicial,48,GM,LIB_295
CELL_0296,1.4773071765580312,Tipo_2_Intermediario_2,72,DM,LIB_296
CELL_0297,2.9392958808914704,Tipo_3_Final,0,GM,LIB_297
CELL_0298,0.4862360068598067,Tipo_0_Inicial,24,DM,LIB_298
CELL_0299,1.9504392373129857,Tipo_2_Intermediario_2,48,GM,LIB_299
CELL_0300,0.17842205797979457,Tipo_0_Inicial,72,DM,LIB_300
CELL_0301,0.10613019182061881,Tipo_0_Inicial,0,GM,LIB_301
CELL_0302,1.5158178812510419,Tipo_2_Intermediario_2,24,DM,LIB_302
CELL_0303,1.5558208853894844,Tipo_2_Intermediario_2,48,GM,LIB_303
CELL_0304,2.0290748964092318,Tipo_2_Intermediario_2,72,DM,LIB_304
CELL_0305,2.5899211258333685,Tipo_2_Intermediario_2,0,GM,LIB_305
CELL_0306,7.4471140173999855,Tipo_3_Final,24,DM,LIB_306
CELL_0307,1.4525822384607125,Tipo_2_Intermediario_2,48,GM,LIB_307
CELL_0308,0.7800394282119576,Tipo_1_Intermediario_1,72,DM,LIB_308
CELL_0309,3.1713079594653726,Tipo_3_Final,0,GM,LIB_309
CELL_0310,0.6317029308722746,Tipo_1_Intermediario_1,24,DM,LIB_310
CELL_0311,1.1559668625466026,Tipo_1_Intermediario_1,48,GM,LIB_311
CELL_0312,0.1634103371673398,Tipo_0_Inicial,72,DM,LIB_312
CELL_0313,0.05135521908294876,Tipo_0_Inicial,0,GM,LIB_313
CELL_0314,6.574759846537204,Tipo_3_Final,24,DM,LIB_314
CELL_0315,3.615535284230125,Tipo_3_Final,48,GM,LIB_315
CELL_0316,2.3812854655986833,Tipo_2_Intermediario_2,72,DM,LIB_316
CELL_0317,1.0517192889302838,Tipo_1_Intermediario_1,0,GM,LIB_317
CELL_0318,0.3806130722842175,Tipo_0_Inicial,24,DM,LIB_318
CELL_0319,0.3402414831457083,Tipo_0_Inicial,48,GM,LIB_319
CELL_0320,0.5760119782531672,Tipo_1_Intermediario_1,72,DM,LIB_320
CELL_0321,1.5935812966266292,Tipo_2_Intermediario_2,0,GM,LIB_321
CELL_0322,2.5076985755535515,Tipo_2_Intermediario_2,24,DM,LIB_322
CELL_0323,2.158780699393597,Tipo_2_Intermediario_2,48,GM,LIB_323
CELL_0324,0.6568245227779919,Tipo_1_Intermediario_1,72,DM,LIB_324
CELL_0325,6.196206997112613,Tipo_3_Final,0,GM,LIB_325
CELL_0326,2.6780348097504527,Tipo_2_Intermediario_2,24,DM,LIB_326
CELL_0327,1.6164609638626626,Tipo_2_Intermediario_2,48,GM,LIB_327
CELL_0328,1.8920609440748701,Tipo_2_Intermediario_2,72,DM,LIB_328
CELL_0329,1.0880757310641027,Tipo_1_Intermediario_1,0,GM,LIB_329
CELL_0330,0.569322584548127,Tipo_1_Intermediario_1,24,DM,LIB_330
CELL_0331,0.8800282586462248,Tipo_1_Intermediario_1,48,GM,LIB_331
CELL_0332,2.8363636955134264,Tipo_3_Final,72,DM,LIB_332
CELL_0333,0.028996159441608552,Tipo_0_Inicial,0,GM,LIB_333
CELL_0334,0.2467607844799521,Tipo_0_Inicial,24,DM,LIB_334
CELL_0335,0.09418875390504106,Tipo_0_Inicial,48,GM,LIB_335
CELL_0336,0.08316290383458486,Tipo_0_Inicial,72,DM,LIB_336
CELL_0337,3.868406067231317,Tipo_3_Final,0,GM,LIB_337
CELL_0338,2.4324812234013766,Tipo_2_Intermediario_2,24,DM,LIB_338
CELL_0339,1.2855691888257847,Tipo_1_Intermediario_1,48,GM,LIB_339
CELL_0340,0.2059138368956265,Tipo_0_Inicial,72,DM,LIB_340
CELL_0341,1.3530359315944664,Tipo_1_Intermediario_1,0,GM,LIB_341
CELL_0342,1.2829006641887424,Tipo_1_Intermediario_1,24,DM,LIB_342
CELL_0343,0.38038942560044997,Tipo_0_Inicial,48,GM,LIB_343
CELL_0344,1.1377982626046477,Tipo_1_Intermediario_1,72,DM,LIB_344
CELL_0345,1.0166732291664138,Tipo_1_Intermediario_1,0,GM,LIB_345
CELL_0346,1.913444865826269,Tipo_2_Intermediario_2,24,DM,LIB_346
CELL_0347,2.016229072081824,Tipo_2_Intermediario_2,48,GM,LIB_347
CELL_0348,0.09272464804106946,Tipo_0_Inicial,72,DM,LIB_348
CELL_0349,0.938768009310123,Tipo_1_Intermediario_1,0,GM,LIB_349
CELL_0350,1.966249989565457,Tipo_2_Intermediario_2,24,DM,LIB_350
CELL_0351,1.3988789052155794,Tipo_2_Intermediario_2,48,GM,LIB_351
