	cell_id	n_genes	total_counts
G378	G378	805	5967.569799999999
G379	G379	805	7109.088599999999
G380	G380	805	6135.5438
G381	G381	805	7163.9808
G382	G382	805	7273.3045
G383	G383	805	9896.1541
G384	G384	805	5676.0875
G385	G385	805	6443.5208999999995
G386	G386	805	6957.3217
G387	G387	805	8059.7417000000005
G388	G388	805	5568.4452
G389	G389	805	5729.7477
G390	G390	805	7563.636
G391	G391	805	5799.875399999999
G392	G392	805	6466.4618
G393	G393	805	5966.8391
G394	G394	805	7417.2501
G395	G395	805	6592.0953
G396	G396	805	5642.5560000000005
G397	G397	805	6140.5444
G398	G398	805	7046.8729
G399	G399	805	8820.1026
G400	G400	805	6648.078100000001
G401	G401	805	7527.9373
G402	G402	805	10597.5492
G403	G403	805	7041.3812
G404	G404	805	5921.808800000001
G405	G405	805	7964.197400000001
G406	G406	805	7276.7457
G407	G407	805	8074.1728
G408	G408	805	5496.911099999999
G409	G409	805	5556.3369
G410	G410	805	7588.4478
G411	G411	805	6080.9673999999995
G412	G412	805	5527.624
G413	G413	805	6580.217000000001
G414	G414	805	6666.628699999999
G415	G415	805	4740.5972
G416	G416	805	6297.4956
G417	G417	805	7242.8122
G418	G418	805	5666.0365
G419	G419	805	6627.638599999999
G420	G420	805	7233.392599999999
G421	G421	805	7562.0818
G422	G422	805	6608.0684
G423	G423	805	9136.7667
G424	G424	805	6363.2403
G425	G425	805	7166.9890000000005
G426	G426	805	6726.4912
G427	G427	805	6803.1175
G428	G428	805	6634.0725
G429	G429	805	5047.003700000001
G430	G430	805	7798.9727
G431	G431	805	7845.0373
G432	G432	805	6541.7475
G433	G433	805	8313.995099999998
G434	G434	805	7452.657999999999
G435	G435	805	6692.4048
G436	G436	805	6531.2186
G437	G437	805	5949.1191
G438	G438	805	5372.8742999999995
G439	G439	805	6459.9403
G440	G440	805	6953.9391
G441	G441	805	7329.268900000001
G442	G442	805	6947.7562
G443	G443	805	7367.1609
G444	G444	805	6983.2274
G445	G445	805	5294.275799999999
G446	G446	805	4974.5071
G447	G447	805	5613.8704
G448	G448	805	6670.8571
G449	G449	805	6236.5851999999995
G450	G450	805	7805.502399999999
G451	G451	805	8105.302299999999
G452	G452	805	8025.009300000001
G453	G453	805	6887.9382000000005
G454	G454	805	6173.8475
G455	G455	805	5593.815699999999
G456	G456	805	7449.957
G457	G457	805	6491.415800000001
G458	G458	805	7178.6915
G459	G459	805	7650.049800000001
G460	G460	805	6859.576300000001
G461	G461	805	6338.0287
G462	G462	805	7507.3087
G463	G463	805	6785.1075
G464	G464	805	9949.766
G465	G465	805	7428.8491
G466	G466	805	6787.1772
G467	G467	805	5926.1704
G468	G468	805	6161.959500000001
G469	G469	805	6284.6273
G470	G470	805	5669.5849
G471	G471	805	6712.1547
G472	G472	805	8336.713800000001
G473	G473	805	6605.6034
G474	G474	805	7774.8396
G475	G475	805	7457.3778
G476	G476	805	7431.375099999999
G477	G477	805	6512.799800000001
G478	G478	805	6403.223400000001
G479	G479	805	5861.9241999999995
G480	G480	805	8265.6773
G481	G481	805	7121.720299999999
G482	G482	805	7195.8728
G483	G483	805	7493.9904
G484	G484	805	6332.274399999999
G485	G485	805	4480.632099999999
G486	G486	805	6153.4745
G487	G487	805	7400.9513
G488	G488	805	8651.192599999998
G489	G489	805	7064.8273
G490	G490	805	8135.8659
G491	G491	805	5529.991
G492	G492	805	6555.4624
G493	G493	805	6878.4
G494	G494	805	7276.8928000000005
G495	G495	805	7893.7094
G496	G496	805	4520.740100000001
G497	G497	805	5584.1705999999995
G498	G498	805	5780.3979
G499	G499	805	9384.6014
G500	G500	805	7897.460999999999
G501	G501	805	7451.081899999999
G502	G502	805	6004.009999999999
G503	G503	805	7073.656800000001
G504	G504	805	7258.8646
G505	G505	805	8219.5842
G506	G506	805	4823.171
G507	G507	805	7562.3027999999995
G508	G508	805	6450.9698
G509	G509	805	4385.6505
G510	G510	805	6488.2420999999995
G511	G511	805	5750.5527
G512	G512	805	7969.9337000000005
G513	G513	805	7622.4365
G514	G514	805	6609.6531
G515	G515	805	5645.5077
G516	G516	805	4961.357599999999
G517	G517	805	5624.4741
G518	G518	805	6859.4733
G519	G519	805	8200.7719
G520	G520	805	6024.8239
G521	G521	805	7939.8418
G522	G522	805	7416.6401000000005
G523	G523	805	4877.963400000001
G524	G524	805	7033.8691
G525	G525	805	9123.1415
G526	G526	805	7355.9061
G527	G527	805	5917.592500000001
G528	G528	805	6300.5511
G529	G529	805	6179.1236
G530	G530	805	6200.9139
G531	G531	805	6872.2346
G532	G532	805	8164.4838
G533	G533	805	6252.241099999999
G534	G534	805	8886.3669
G535	G535	805	7483.448899999999
G536	G536	805	7197.2255000000005
G537	G537	805	7982.474999999999
G538	G538	805	5896.4665
G539	G539	805	7020.7854
G540	G540	805	6178.9624
G541	G541	805	7110.848199999999
G542	G542	805	7039.5519
G543	G543	805	7955.693
G544	G544	805	6772.734399999999
G545	G545	805	6365.079299999999
G546	G546	805	7751.8191
G547	G547	805	6352.4223
G548	G548	805	6984.8236
G549	G549	805	7302.761
G550	G550	805	6352.423699999999
G551	G551	805	7099.63
G552	G552	805	6327.8462
G553	G553	805	5857.3022
G554	G554	805	6275.9643
G555	G555	805	6389.815
G556	G556	805	6719.4323
G557	G557	805	6335.237
G558	G558	805	6782.408
G559	G559	805	6892.0347
G560	G560	805	6952.3925
G561	G561	805	5719.806199999999
G562	G562	805	7297.5247
G563	G563	805	5816.1439
G564	G564	805	6803.1431999999995
G565	G565	805	7266.9441
G566	G566	805	6837.3784000000005
G567	G567	805	5607.846600000001
G568	G568	805	6944.7925
G569	G569	805	7985.5392
G570	G570	805	7483.3017
G571	G571	805	5874.6202
G572	G572	805	10997.912400000001
G573	G573	805	6383.9842
G574	G574	805	7633.9208
G575	G575	805	8120.4188
G576	G576	805	5960.957700000001
G577	G577	805	9076.204600000001
G578	G578	805	6943.2973999999995
G579	G579	805	6709.2041
G580	G580	805	6530.0634
G581	G581	805	6439.337100000001
G582	G582	805	5546.6209
G583	G583	805	7184.280699999999
G584	G584	805	6824.8091
G585	G585	805	6844.8264
G586	G586	805	6550.924999999999
G587	G587	805	6288.116
G588	G588	805	3704.9593999999997
G589	G589	805	6805.0563
G590	G590	805	6150.8385
G591	G591	805	6513.868399999999
G592	G592	805	7534.747899999999
G593	G593	805	9294.8018
G594	G594	805	7408.816699999999
G595	G595	805	6755.8615
G596	G596	805	7262.403
G597	G597	805	6433.7279
G598	G598	805	7625.2985
G599	G599	805	7817.5625
G600	G600	805	7593.6209
G601	G601	805	6616.0879
G602	G602	805	6898.759399999999
G603	G603	805	8875.8881
G604	G604	805	5942.9401
G605	G605	805	7309.4197
G606	G606	805	5442.9792
G607	G607	805	7661.857300000001
G608	G608	805	7032.856899999999
G609	G609	805	7810.970300000001
G610	G610	805	5532.7153
G611	G611	805	6495.6982
G612	G612	805	6223.668
G613	G613	805	7206.1613
G614	G614	805	6972.8498
G615	G615	805	6460.9342
G616	G616	805	7437.052000000001
G617	G617	805	6350.4977
G618	G618	805	3931.1357
G619	G619	805	7066.431500000001
G620	G620	805	6846.492399999999
G621	G621	805	5994.237
G622	G622	805	6342.971600000001
G623	G623	805	7172.774299999999
G624	G624	805	7058.894
G625	G625	805	4561.3574
G626	G626	805	5211.092699999999
G627	G627	805	5580.486199999999
G628	G628	805	8080.9439999999995
G629	G629	805	7110.2262
G630	G630	805	5691.5422
G631	G631	805	6471.0094
G632	G632	805	6872.651
G633	G633	805	7148.1134
G634	G634	805	5980.536599999999
G635	G635	805	8259.6829
G636	G636	805	7369.759599999999
G637	G637	805	5515.8591
G638	G638	805	6290.1748
G639	G639	805	7032.6559
G640	G640	805	6242.1924
G641	G641	805	6701.9897
G642	G642	805	7695.065
G643	G643	805	5640.6272
G644	G644	805	7098.769
G645	G645	805	6271.3184
G646	G646	805	4133.4091
G647	G647	805	6232.3677
G648	G648	805	7182.109600000001
G649	G649	805	4255.0917
G650	G650	805	8022.4408
G651	G651	805	3451.5416
G652	G652	805	6136.2873
G653	G653	805	6830.3488
G654	G654	805	6441.8498
G655	G655	805	8122.171899999999
G656	G656	805	7598.5501
G657	G657	805	7587.4245
G658	G658	805	8107.6419
G659	G659	805	8566.910800000001
G660	G660	805	8189.3372
G661	G661	805	6685.5313
G662	G662	805	8357.311099999999
G663	G663	805	7068.6746
G664	G664	805	6721.4952
G665	G665	805	6584.4918
G666	G666	805	7144.5165
G667	G667	805	7108.232300000001
G668	G668	805	8934.214100000001
G669	G669	805	6162.4317
G670	G670	805	7746.939700000001
G671	G671	805	7657.6852
G672	G672	805	5375.5348
G673	G673	805	8125.5366
G674	G674	805	8045.3471
G675	G675	805	7710.9573
G676	G676	805	10064.7788
G677	G677	805	5921.1446
G678	G678	805	6204.0874
G679	G679	805	5894.4709
G680	G680	805	6386.7528999999995
G681	G681	805	7059.8411
G682	G682	805	7422.198899999999
G683	G683	805	6849.4122
G684	G684	805	8617.304
G685	G685	805	6006.357599999999
G686	G686	805	5708.466
G687	G687	805	6822.659100000001
G688	G688	805	6885.763999999999
G689	G689	805	6764.6337
G690	G690	805	7541.5082999999995
G691	G691	805	7206.7759
G692	G692	805	7992.4121
G693	G693	805	6096.985000000001
G694	G694	805	6615.5885
G695	G695	805	5891.2082
G696	G696	805	4692.5056
G697	G697	805	6799.3691
G698	G698	805	6797.4508
G699	G699	805	7565.8862
G700	G700	805	7242.840699999999
G701	G701	805	7498.3247
G702	G702	805	8134.3504
G703	G703	805	7018.1008
G704	G704	805	6633.3277
G705	G705	805	7465.0595
G706	G706	805	7267.1883
G707	G707	805	7164.7572
G708	G708	805	6996.1831
G709	G709	805	4464.6779
G710	G710	805	7325.811
G711	G711	805	3374.182
G712	G712	805	5939.522999999999
G713	G713	805	6980.6522
G714	G714	805	7600.6497
G715	G715	805	6520.2582999999995
G716	G716	805	10251.0208
G717	G717	805	7218.8557
G718	G718	805	6642.187800000001
G719	G719	805	8430.9355
G720	G720	805	6417.3567
G721	G721	805	6488.9101
G722	G722	805	6706.3087
G723	G723	805	7211.862
G724	G724	805	7952.5329
G725	G725	805	8832.9499
G726	G726	805	7414.494
G727	G727	805	5439.5806
G728	G728	805	6921.2246
G729	G729	805	6568.9064
G730	G730	805	6277.3532
G731	G731	805	7776.8467
G732	G732	805	7793.555
G733	G733	805	8042.938699999999
G734	G734	805	7222.5214
G735	G735	805	7062.2489000000005
G736	G736	805	6461.8495
G737	G737	805	8573.9227
G738	G738	805	7817.3063999999995
G739	G739	805	5399.645
G740	G740	805	6678.0581
G741	G741	805	7037.7107
G742	G742	805	3830.2254
G743	G743	805	7467.029199999999
G744	G744	805	5517.1199
G745	G745	805	5694.5226
G746	G746	805	7476.2886
G747	G747	805	7585.3813
G748	G748	805	5765.7356
G749	G749	805	7068.3452
G750	G750	805	6563.9578
G751	G751	805	5080.2137999999995
G752	G752	805	5069.975
G753	G753	805	7392.1612000000005
G754	G754	805	7934.3681
G755	G755	805	10220.503800000002
G756	G756	805	6106.5972
G757	G757	805	6789.9503
G758	G758	805	6055.0882
G759	G759	805	6984.6649
G760	G760	805	4756.4246
G761	G761	805	5506.7688
G762	G762	805	9233.461899999998
G763	G763	805	5280.4836
G764	G764	805	7570.4954
G765	G765	805	8162.0563
G766	G766	805	6874.1379
G767	G767	805	7847.713400000001
G768	G768	805	6414.8523000000005
G769	G769	805	6618.128900000001
G770	G770	805	7385.023
G771	G771	805	4036.2289
G772	G772	805	7130.8585
G773	G773	805	6123.3161
G774	G774	805	6752.410600000001
G775	G775	805	7666.3165
G776	G776	805	6335.0749
G777	G777	805	6279.4666
G778	G778	805	6580.24
G779	G779	805	6672.711899999999
G780	G780	805	7002.0333
G781	G781	805	7122.8639
G782	G782	805	6299.0596000000005
G783	G783	805	7583.0784
G784	G784	805	9536.766800000001
G785	G785	805	7696.3575
G786	G786	805	8525.1867
G787	G787	805	6952.0754
G788	G788	805	8164.9531
G789	G789	805	5883.609
G790	G790	805	4997.3465
G791	G791	805	7389.7312
G792	G792	805	7552.7128
G793	G793	805	8903.137600000002
G794	G794	805	6288.2891
G795	G795	805	6711.4917
G796	G796	805	4729.5984
G797	G797	805	7011.1227
G798	G798	805	8041.4254
G799	G799	805	6860.3031
G800	G800	805	6622.6754
G801	G801	805	7982.2929
G802	G802	805	6216.6975
G803	G803	805	7134.1149000000005
G804	G804	805	8733.316200000001
G805	G805	805	7286.450999999999
G806	G806	805	5728.0752
G807	G807	805	7019.018399999999
G808	G808	805	6227.6094
G809	G809	805	8421.688600000001
G810	G810	805	9916.294399999999
G811	G811	805	6317.086300000001
G812	G812	805	7582.9597
G813	G813	805	6506.2988
G814	G814	805	6812.272199999999
G815	G815	805	6277.2415
G816	G816	805	7024.5934
G817	G817	805	7129.2025
G818	G818	805	7418.221600000001
G819	G819	805	6803.340400000001
G820	G820	805	6891.812
G821	G821	805	7437.6624
G822	G822	805	5105.2221
G823	G823	805	6188.7581
G824	G824	805	6532.0019
G825	G825	805	6097.232
G826	G826	805	7761.2209
G827	G827	805	7314.9026
G828	G828	805	6950.8329
G829	G829	805	7591.5598
G830	G830	805	8546.104599999999
G831	G831	805	7499.0191
G832	G832	805	7642.9461
G833	G833	805	6260.0339
G834	G834	805	6737.0007000000005
G835	G835	805	6879.311299999999
G836	G836	805	6161.4123
G837	G837	805	6752.1985
G838	G838	805	6918.1748
G839	G839	805	6406.6875
G840	G840	805	6282.365900000001
G841	G841	805	5364.287700000001
G842	G842	805	7110.0043000000005
G843	G843	805	5974.854600000001
G844	G844	805	7463.9289
G845	G845	805	8766.437600000001
G846	G846	805	8757.106899999999
G847	G847	805	8967.924200000001
G848	G848	805	6129.0352
G849	G849	805	6011.6863
G850	G850	805	7644.648499999999
G851	G851	805	6233.2523
G852	G852	805	6320.831700000001
G853	G853	805	8358.8466
G854	G854	805	6381.721500000001
G855	G855	805	6768.1743
G856	G856	805	8759.501
G857	G857	805	8174.5221
G858	G858	805	6058.8627
G859	G859	805	6789.8986
G860	G860	805	8893.657600000002
G861	G861	805	4039.0978000000005
G862	G862	805	7968.5193
G863	G863	805	6514.7925
G864	G864	805	6384.8756
G865	G865	805	6107.785900000001
G866	G866	805	6890.8832999999995
G867	G867	805	7868.6412
G868	G868	805	6209.398499999999
G869	G869	805	6064.747300000001
G870	G870	805	8254.3528
G871	G871	805	7076.437099999999
G872	G872	805	8849.310000000001
G873	G873	805	7750.0103
G874	G874	805	5979.3167
G875	G875	805	6730.999199999999
G876	G876	805	7047.9256000000005
G877	G877	805	7529.2712
G878	G878	805	6655.0589
G879	G879	805	8600.637299999999
G880	G880	805	5918.968199999999
G881	G881	805	6947.3857
G882	G882	805	8280.389
G883	G883	805	7343.818
G884	G884	805	6754.1529
G885	G885	805	6085.1421
G886	G886	805	7417.7829
G887	G887	805	7134.0985
G888	G888	805	5631.1567
G889	G889	805	4478.8964
G890	G890	805	9085.6533
G891	G891	805	7622.1848
G892	G892	805	4924.9164
G893	G893	805	6137.4611
G894	G894	805	7345.2510999999995
G895	G895	805	4937.6505
G896	G896	805	6831.7796
G897	G897	805	8214.7929
G898	G898	805	7554.23
G899	G899	805	7140.4838
G900	G900	805	7362.5026
G901	G901	805	6253.1269
G902	G902	805	6716.3323
G903	G903	805	5690.2359
G904	G904	805	5817.8646
G905	G905	805	7040.6019
G906	G906	805	6495.6759
G907	G907	805	6741.9054
G908	G908	805	6814.1148
G909	G909	805	4405.7587
G910	G910	805	7289.186900000001
G911	G911	805	6946.5867
G912	G912	805	7265.6954000000005
G913	G913	805	7563.784
G914	G914	805	7547.8141
G915	G915	805	7273.8351
G916	G916	805	6134.814899999999
G917	G917	805	6535.0505
G918	G918	805	7623.918000000001
G919	G919	805	5846.378699999999
G920	G920	805	7151.0129
G921	G921	805	6865.547699999999
G922	G922	805	5394.9082
G923	G923	805	4293.5549
G924	G924	805	6923.0998
G925	G925	805	5008.9747
G926	G926	805	6504.9816
G927	G927	805	5996.7057
G928	G928	805	5920.5112
G929	G929	805	6878.025
G930	G930	805	5510.3358
G931	G931	805	7580.476299999999
G932	G932	805	7994.2567
G933	G933	805	5726.5378
G934	G934	805	7200.14
G935	G935	805	6518.608
G936	G936	805	7498.004500000001
G937	G937	805	6424.2044000000005
G938	G938	805	7817.8366000000005
G939	G939	805	6336.5166
G940	G940	805	5572.658799999999
G941	G941	805	6517.5436
G942	G942	805	8758.4886
G943	G943	805	8893.716699999999
G944	G944	805	7907.9701000000005
G945	G945	805	7123.179700000001
G946	G946	805	7496.9041
G947	G947	805	7069.0839
G948	G948	805	7243.6725
G949	G949	805	7293.2112
G950	G950	805	6097.276900000001
G951	G951	805	10786.3693
G952	G952	805	6421.041
G953	G953	805	7537.6539
G954	G954	805	6437.4636
G955	G955	805	7020.5426
