G1	gene_name	highly_variable
7.0592	7.0592	False
6.9736	6.9736	True
6.9304	6.9304	False
6.9423	6.9423	False
7.0548	7.0548	False
7.2935	7.2935	True
7.0582	7.0582	False
7.1736	7.1736	False
7.0998	7.0998	False
7.0111	7.0111	True
7.0228	7.0228	False
7.1777	7.1777	False
7.2968	7.2968	False
7.1188	7.1188	False
6.9991	6.9991	True
7.3418	7.3418	False
7.005	7.005	False
6.9711	6.9711	False
7.2148	7.2148	False
7.1215	7.1215	True
7.1015	7.1015	False
7.2165	7.2165	True
7.2311	7.2311	False
7.1802	7.1802	False
7.1855	7.1855	False
7.3329	7.3329	False
7.1272	7.1272	True
7.1723	7.1723	False
7.255	7.255	False
7.127	7.127	True
6.9864	6.9864	False
7.0676	7.0676	False
6.938	6.938	False
7.1103	7.1103	False
7.0522	7.0522	False
7.0556	7.0556	False
7.0502	7.0502	False
7.0817	7.0817	False
7.0934	7.0934	False
7.2419	7.2419	True
7.121	7.121	False
7.1794	7.1794	False
7.0788	7.0788	False
7.032	7.032	False
7.2559	7.2559	False
8.1852	8.1852	False
7.8154	7.8154	False
7.9036	7.9036	False
8.0062	8.0062	False
8.0863	8.0863	False
8.0831	8.0831	False
7.8747	7.8747	False
7.6232	7.6232	True
7.7372	7.7372	False
7.9793	7.9793	False
8.0271	8.0271	False
7.7375	7.7375	False
8.0477	8.0477	False
8.0106	8.0106	False
8.0338	8.0338	False
6.9911	6.9911	False
7.1449	7.1449	False
7.1447	7.1447	False
6.995	6.995	False
7.3538	7.3538	False
7.3081	7.3081	True
6.771	6.771	True
6.8663	6.8663	False
8.1784	8.1784	False
8.1231	8.1231	False
8.5867	8.5867	False
8.5973	8.5973	True
8.4123	8.4123	False
8.2846	8.2846	True
8.3834	8.3834	False
7.9835	7.9835	True
8.1795	8.1795	False
6.6049	6.6049	False
6.9305	6.9305	False
6.9317	6.9317	True
7.8846	7.8846	False
7.6324	7.6324	False
6.9477	6.9477	False
7.0491	7.0491	False
8.3588	8.3588	False
6.667	6.667	False
6.7549	6.7549	False
6.9751	6.9751	False
7.0498	7.0498	False
7.1787	7.1787	False
7.2413	7.2413	False
7.2507	7.2507	False
7.4632	7.4632	False
7.581	7.581	True
6.7038	6.7038	False
7.327	7.327	True
7.1241	7.1241	False
7.5171	7.5171	False
7.6279	7.6279	False
7.3738	7.3738	False
7.6514	7.6514	False
7.7249	7.7249	False
7.2874	7.2874	False
7.9356	7.9356	False
7.8576	7.8576	False
6.8122	6.8122	False
6.8479	6.8479	True
6.8201	6.8201	False
6.9363	6.9363	False
6.7993	6.7993	False
6.8573	6.8573	True
6.6246	6.6246	False
6.869	6.869	False
6.5452	6.5452	True
6.4794	6.4794	False
7.0607	7.0607	True
7.0737	7.0737	False
6.6822	6.6822	False
6.67	6.67	True
7.2342	7.2342	True
7.2348	7.2348	False
6.6014	6.6014	False
6.6942	6.6942	False
7.1483	7.1483	False
7.246	7.246	False
6.7419	6.7419	False
6.7012	6.7012	False
7.0982	7.0982	True
7.4606	7.4606	False
7.0397	7.0397	False
6.6165	6.6165	False
7.2388	7.2388	False
7.0309	7.0309	True
6.667	6.667	False
6.8558	6.8558	False
7.2165	7.2165	True
7.1333	7.1333	False
6.8571	6.8571	True
6.9769	6.9769	False
6.9258	6.9258	False
6.9077	6.9077	True
6.9457	6.9457	True
6.9877	6.9877	False
7.007	7.007	True
6.8883	6.8883	True
6.9943	6.9943	False
6.7182	6.7182	False
6.8574	6.8574	False
6.6082	6.6082	True
6.8328	6.8328	True
6.7135	6.7135	False
6.803	6.803	True
7.0138	7.0138	False
6.8435	6.8435	True
6.8511	6.8511	True
6.9366	6.9366	True
7.0338	7.0338	False
6.9815	6.9815	True
7.3073	7.3073	False
7.7046	7.7046	False
6.3792	6.3792	False
6.5357	6.5357	False
6.4231	6.4231	False
6.3934	6.3934	False
6.7092	6.7092	False
6.6468	6.6468	True
7.3975	7.3975	False
7.7801	7.7801	False
8.34	8.34	True
8.5087	8.5087	False
7.0019	7.0019	True
6.9055	6.9055	False
7.0313	7.0313	False
6.9614	6.9614	False
6.4884	6.4884	False
6.7376	6.7376	False
7.1277	7.1277	False
6.7335	6.7335	False
6.8049	6.8049	False
6.6849	6.6849	False
6.6441	6.6441	True
6.7092	6.7092	True
6.5187	6.5187	False
6.8608	6.8608	True
6.7497	6.7497	False
6.9007	6.9007	False
7.0256	7.0256	True
8.016	8.016	False
8.167	8.167	False
7.1559	7.1559	False
6.8312	6.8312	False
7.4525	7.4525	False
7.1625	7.1625	False
7.2312	7.2312	False
7.2342	7.2342	False
6.84	6.84	True
6.8968	6.8968	False
6.8731	6.8731	False
6.7106	6.7106	False
6.9383	6.9383	True
7.5995	7.5995	False
7.7691	7.7691	True
7.0175	7.0175	False
7.855	7.855	False
7.7795	7.7795	False
7.3372	7.3372	False
6.8869	6.8869	True
6.7822	6.7822	False
7.0375	7.0375	False
6.9708	6.9708	False
7.0931	7.0931	False
6.9951	6.9951	True
7.0549	7.0549	True
7.0024	7.0024	True
6.9362	6.9362	False
6.5813	6.5813	False
6.9251	6.9251	False
7.1073	7.1073	False
7.0268	7.0268	False
6.7915	6.7915	True
14.48	14.48	False
7.8494	7.8494	False
7.6318	7.6318	False
7.7121	7.7121	False
8.1587	8.1587	False
7.5844	7.5844	False
7.7912	7.7912	False
7.0643	7.0643	True
6.9893	6.9893	False
7.137	7.137	True
7.3854	7.3854	False
7.328	7.328	False
7.1004	7.1004	True
6.6075	6.6075	False
6.5246	6.5246	True
7.3719	7.3719	False
7.7801	7.7801	False
7.8162	7.8162	True
6.7418	6.7418	False
7.1619	7.1619	True
7.0634	7.0634	False
6.6479	6.6479	False
6.8697	6.8697	False
6.8774	6.8774	False
6.5812	6.5812	True
7.0874	7.0874	False
7.0751	7.0751	True
6.8721	6.8721	False
7.1111	7.1111	False
6.7998	6.7998	False
6.7094	6.7094	False
6.8892	6.8892	False
6.7882	6.7882	False
7.0006	7.0006	True
6.9013	6.9013	True
6.6958	6.6958	False
8.177	8.177	False
8.5113	8.5113	False
6.7023	6.7023	True
6.6681	6.6681	False
7.0445	7.0445	False
6.7872	6.7872	False
7.0513	7.0513	True
7.0784	7.0784	False
6.8593	6.8593	False
7.0437	7.0437	False
6.7925	6.7925	True
6.7541	6.7541	False
7.031	7.031	False
7.1287	7.1287	False
6.9139	6.9139	False
6.8745	6.8745	False
6.783	6.783	True
6.8832	6.8832	True
7.015	7.015	False
6.8425	6.8425	False
6.9748	6.9748	True
7.1123	7.1123	True
7.0219	7.0219	False
6.8874	6.8874	False
6.9825	6.9825	False
7.2388	7.2388	True
7.0826	7.0826	False
7.0387	7.0387	False
6.8561	6.8561	False
6.8535	6.8535	False
7.4055	7.4055	False
7.0992	7.0992	False
7.6301	7.6301	False
7.1987	7.1987	False
6.8038	6.8038	False
7.9043	7.9043	False
7.3865	7.3865	True
6.7787	6.7787	False
6.6893	6.6893	False
6.5046	6.5046	False
6.7564	6.7564	True
6.1368	6.1368	False
7.0151	7.0151	False
7.0268	7.0268	False
6.9903	6.9903	False
6.9059	6.9059	False
7.0247	7.0247	True
6.9208	6.9208	False
7.1204	7.1204	False
6.9947	6.9947	True
7.3616	7.3616	False
7.4131	7.4131	False
7.0595	7.0595	False
7.0057	7.0057	True
7.2396	7.2396	False
6.8277	6.8277	True
6.7804	6.7804	False
6.8309	6.8309	False
6.8223	6.8223	False
7.038	7.038	True
7.1935	7.1935	False
7.0038	7.0038	False
7.1493	7.1493	False
7.945	7.945	True
7.6718	7.6718	False
7.798	7.798	False
7.1979	7.1979	False
7.242	7.242	False
7.1943	7.1943	False
7.7801	7.7801	False
8.5945	8.5945	True
7.4208	7.4208	False
7.678	7.678	False
7.4458	7.4458	False
7.9043	7.9043	False
8.177	8.177	False
7.4249	7.4249	False
7.5996	7.5996	False
7.0868	7.0868	False
6.4042	6.4042	False
6.5003	6.5003	False
7.1546	7.1546	False
6.8449	6.8449	False
6.2273	6.2273	False
7.4135	7.4135	False
6.744	6.744	False
7.4209	7.4209	False
7.5046	7.5046	False
5.8043	5.8043	True
7.6883	7.6883	False
6.7285	6.7285	True
6.9683	6.9683	False
6.6873	6.6873	True
7.2304	7.2304	False
6.9738	6.9738	False
7.6388	7.6388	False
7.0855	7.0855	False
6.4208	6.4208	True
6.9163	6.9163	True
7.2877	7.2877	True
7.182	7.182	True
6.8787	6.8787	True
7.011	7.011	False
6.8642	6.8642	False
6.8664	6.8664	False
7.1031	7.1031	True
7.0524	7.0524	False
6.7459	6.7459	False
6.9465	6.9465	False
6.9496	6.9496	False
6.6967	6.6967	True
7.1725	7.1725	True
6.6871	6.6871	False
6.6005	6.6005	False
7.1556	7.1556	False
6.4483	6.4483	False
6.802	6.802	False
7.2084	7.2084	True
6.7052	6.7052	False
6.3671	6.3671	False
7.7821	7.7821	False
7.8116	7.8116	False
7.9506	7.9506	False
7.7569	7.7569	False
7.5236	7.5236	False
7.5736	7.5736	False
6.8505	6.8505	False
6.6133	6.6133	False
7.3772	7.3772	False
7.5094	7.5094	False
7.0734	7.0734	False
7.3804	7.3804	True
7.2038	7.2038	False
7.6587	7.6587	True
7.4861	7.4861	False
7.2661	7.2661	False
7.2799	7.2799	True
7.1337	7.1337	False
7.0012	7.0012	True
7.0018	7.0018	True
6.7883	6.7883	False
7.007	7.007	True
7.0971	7.0971	False
6.8606	6.8606	False
6.8714	6.8714	False
6.9464	6.9464	False
6.8676	6.8676	False
6.8802	6.8802	False
6.8449	6.8449	False
7.1023	7.1023	False
7.088	7.088	False
7.3556	7.3556	False
7.1389	7.1389	False
7.2353	7.2353	True
7.4109	7.4109	False
7.4156	7.4156	False
7.0007	7.0007	True
7.4694	7.4694	False
7.2677	7.2677	False
7.0746	7.0746	False
8.177	8.177	False
8.2409	8.2409	False
8.0514	8.0514	False
8.3954	8.3954	False
8.665	8.665	False
7.1578	7.1578	False
6.8858	6.8858	True
7.2152	7.2152	False
6.5432	6.5432	False
6.5945	6.5945	False
6.7513	6.7513	False
6.6677	6.6677	False
6.8489	6.8489	False
6.6847	6.6847	True
6.9057	6.9057	True
6.8092	6.8092	False
7.011	7.011	False
7.1943	7.1943	False
6.5975	6.5975	False
6.7913	6.7913	True
6.7521	6.7521	False
6.8915	6.8915	False
6.9797	6.9797	False
6.7086	6.7086	False
6.7184	6.7184	False
6.8359	6.8359	False
6.8386	6.8386	False
6.8174	6.8174	False
6.7376	6.7376	False
6.7581	6.7581	False
6.8702	6.8702	False
7.0793	7.0793	False
7.5484	7.5484	False
6.5867	6.5867	False
6.7757	6.7757	False
6.8867	6.8867	False
6.6848	6.6848	False
6.7555	6.7555	False
7.2549	7.2549	False
7.4769	7.4769	False
7.2538	7.2538	False
7.2469	7.2469	False
7.3638	7.3638	False
7.186	7.186	True
7.1116	7.1116	False
7.0335	7.0335	False
7.4419	7.4419	False
7.2309	7.2309	False
7.5007	7.5007	False
7.5005	7.5005	False
7.0538	7.0538	False
6.9153	6.9153	False
7.0561	7.0561	True
7.0697	7.0697	False
7.1847	7.1847	True
6.9875	6.9875	False
6.7691	6.7691	False
6.8378	6.8378	False
6.7825	6.7825	False
6.8575	6.8575	False
